,https://roic.ai/company/LASR,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,101325000,138580000,191359000,176619000,222789000,270146000
2,COGS,78159000,94306000,124398000,124280000,163425000,192839000
3,Gross Profit,23166000,44274000,66961000,52339000,59364000,77307000
4,Gross Profit Ratio,0.2286,0.3195,0.3499,0.2963,0.2665,0.2862
5,Research and Development Exp.,15239000,15123000,21054000,28137000,41164000,54814000
6,General and Administrative Exp.,- -,- -,28844000,34111000,39248000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,28844000,34111000,39248000,52710000
9,Other Expenses,17265000,19353000,- -,- -,- -,- -
10,Operating Expenses,32504000,34476000,49898000,62248000,80412000,107524000
11,COGS and Expenses,110663000,128782000,174296000,186528000,243837000,300363000
12,Interest Income ,- -,- -,728000,2609000,78000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,8099000,7922000,8288000,9564000,13685000,15059000
15,EBITDA,-4221000,14617000,25826000,2799000,-6907000,-14985000
16,EBITDA ratio,-0.0417,0.1055,0.1350,0.0158,-0.0310,-0.0555
17,Operating Income,-9338000,9798000,17063000,-9909000,-21048000,-30217000
18,Operating Income ratio,-0.0922,0.0707,0.0892,-0.0561,-0.0945,-0.1119
19,Total Other Income Expenses (Gains),-2982000,-3103000,475000,3144000,456000,173000
20,Income Before Tax,-12320000,6695000,17538000,-6765000,-20592000,-30044000
21,Income Before Tax Ratio,-0.1216,0.0483,0.0916,-0.0383,-0.0924,-0.1112
22,Income Tax expense (Gain),1882000,4858000,3600000,6119000,340000,-375000
23,Net Income,-14202000,1837000,13938000,-12884000,-20932000,-29669000
24,Net Income ratio,-0.1402,0.0133,0.0728,-0.0729,-0.0940,-0.1098
25,EPS,-0.55,0.07,0.38,-0.35,-0.55,-0.69
26,EPS Diluted,-0.55,0.06,0.32,-0.35,-0.55,-0.69
27,Weighted Average Shares Outstanding,25830000,25830000,24862000,37119000,38367000,42884000
28,Weighted Average Shares Outstanding Diluted,29124000,29124000,29959000,37119000,38367000,42884000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1124796/000112479619000032/0001124796-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1124796/000112479620000037/0001124796-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1124796/000112479621000048/0001124796-21-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1124796/000112479622000028/0001124796-22-000028-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,13500000,36687000,149478000,117252000,102282000,146534000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
