,https://roic.ai/company/TTD,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,44548000,113836000,202926000,308217000,477294000,661058000,836033000,1196467000
2,COGS,12559000,22967000,39876000,66230000,114098000,156180000,178812000,221554000
3,Gross Profit,31989000,90869000,163050000,241987000,363196000,504878000,657221000,974913000
4,Gross Profit Ratio,0.7181,0.7982,0.8035,0.7851,0.7609,0.7637,0.7861,0.8148
5,Research and Development Exp.,7250000,12819000,27313000,52806000,83892000,116752000,166654000,226137000
6,General and Administrative Exp.,9385000,13276000,32163000,58446000,84910000,143048000,171617000,374661000
7,Selling and Marketing Exp.,14590000,26794000,46056000,61379000,87071000,132882000,174742000,249298000
8,"Selling, General and Administrative Exp.",23975000,40070000,78219000,119825000,171981000,275930000,346359000,623959000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,31225000,52889000,105532000,172631000,255873000,392682000,513013000,850096000
11,COGS and Expenses,43784000,75856000,145408000,238861000,369971000,548862000,691825000,1071650000
12,Interest Income ,- -,- -,- -,- -,1883000,- -,656000,- -
13,Interest Expense (Gain),843000,1141000,3075000,1791000,1550000,- -,- -,- -
14,Depreciation and Amortization,680000,1828000,3798000,7209000,11822000,21662000,28632000,42219000
15,EBITDA,580000,32824000,50707000,72625000,119109000,137882000,172535000,164255000
16,EBITDA ratio,0.0130,0.2883,0.2499,0.2356,0.2496,0.2086,0.2064,0.1373
17,Operating Income,764000,37980000,57518000,69356000,107323000,112196000,144208000,124817000
18,Operating Income ratio,0.0172,0.3336,0.2834,0.2250,0.2249,0.1697,0.1725,0.1043
19,Total Other Income Expenses (Gains),-1707000,-8125000,-13684000,-5731000,-1586000,4024000,-305000,-2781000
20,Income Before Tax,-943000,29855000,43834000,63625000,105737000,116220000,143903000,122036000
21,Income Before Tax Ratio,-0.0212,0.2623,0.2160,0.2064,0.2215,0.1758,0.1721,0.1020
22,Income Tax expense (Gain),-948000,13926000,23352000,12827000,17597000,7902000,-98414000,-15726000
23,Net Income,5000,15929000,20482000,50798000,88140000,108318000,242317000,137762000
24,Net Income ratio,0.0001,0.1399,0.1009,0.1648,0.1847,0.1639,0.2898,0.1151
