,https://roic.ai/company/KUKE,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,152241000,146054000,162881000,301982000
2,COGS,- -,34114000,32343000,44281000,129149000
3,Gross Profit,- -,118127000,113711000,118600000,172833000
4,Gross Profit Ratio,- -,0.7759,0.7786,0.7281,0.5723
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,45025000,27312000,65018000,132237000
7,Selling and Marketing Exp.,- -,21454000,18252000,25808000,73615000
8,"Selling, General and Administrative Exp.",- -,66479000,45564000,90826000,205852000
9,Other Expenses,- -,-824000,-1696000,-3064000,1792000
10,Operating Expenses,- -,65655000,43868000,87762000,207644000
11,COGS and Expenses,- -,99769000,76211000,132043000,336793000
12,Interest Income ,- -,59000,258000,1621000,79000
13,Interest Expense (Gain),- -,1910000,3242000,10105000,7684000
14,Depreciation and Amortization,- -,5365000,6631000,12103000,- -
15,EBITDA,- -,56034000,75080000,9407000,-49679000
16,EBITDA ratio,- -,0.3681,0.5141,0.0578,-0.1645
17,Operating Income,- -,52462000,68847000,-3099000,-47860000
18,Operating Income ratio,- -,0.3446,0.4714,-0.0190,-0.1585
19,Total Other Income Expenses (Gains),- -,-1851000,-2984000,-8493000,-8096000
20,Income Before Tax,- -,50611000,65863000,-11592000,-55956000
21,Income Before Tax Ratio,- -,0.3324,0.4509,-0.0712,-0.1853
22,Income Tax expense (Gain),- -,10147000,9101000,3622000,102000
23,Net Income,- -,38612000,56106000,-16423000,-57465000
24,Net Income ratio,- -,0.2536,0.3841,-0.1008,-0.1903
25,EPS,- -,1.31,1.90,-0.67,-1.83
26,EPS Diluted,- -,1.31,1.90,-0.67,-1.83
27,Weighted Average Shares Outstanding,- -,29566723,29566723,24566723,31421000
28,Weighted Average Shares Outstanding Diluted,- -,29566723,29566723,24566723,31469000
29,SEC Link,undefined,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,13696000,31128000,23010000,25719000,59045000
32,Short-Term Investments,- -,- -,1245000,- -,- -
33,Cash and Short-Term Investments,13696000,31128000,24255000,25719000,59045000
34,Net Receivables,79964000,119490000,185382000,190084000,118233000
35,Inventory,430000,1005000,1807000,950000,7307000
36,Other Current Assets,3569000,41474000,11167000,22235000,52913000
37,Total Current Assets,97659000,193097000,222611000,238988000,237498000
38,PP&E,5499000,4527000,14847000,33053000,63503000
39,Goodwill,- -,- -,- -,237225000,237225000
40,Intangible Assets,67395000,130412000,168505000,263101000,473349000
41,Intangible Assets,67395000,130412000,168505000,500326000,710574000
42,Investments,- -,- -,2325000,491000,1000000
43,Tax Assets,3185000,3723000,3796000,8917000,7736000
44,Other Non-Current Assets,11784000,28789000,91542000,95578000,95004000
45,Total Non-Current Assets,87863000,167451000,281015000,638365000,877817000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,185522000,360548000,503626000,877353000,1115315000
48,Accounts Payable,12098000,22955000,34697000,27310000,33166000
49,Short-Term Debt,7500000,41861000,60217000,67660000,43979000
50,Tax Payable,4676000,8170000,9790000,10413000,1485000
51,Deferred Revenue,10794000,14341000,16049000,24314000,23506000
52,Other Current Liabilities,44153000,54485000,68470000,85036000,60824000
53,Total Current Liabilities,74545000,133642000,179433000,204320000,161475000
54,Long-Term Debt,2063000,- -,9496000,9830000,6839000
55,Deferred Revenue,707000,1097000,436000,587000,366000
56,Deferred Tax Liabilities,- -,- -,- -,1447000,1417000
57,Other Non-Current Liabilities,- -,- -,31700000,- -,- -
58,Total Non-Current Liabilities,2770000,1097000,41632000,11864000,8622000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,4563000,2161000,14713000,17490000,3279000
61,Total Liabilities,77315000,134739000,221065000,216184000,170097000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,105000,118000,118000,162000,194000
64,Retained Earnings,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,106718000,222455000,278584000,655939000,938549000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -
67,Total Stockholders Equity,106823000,222573000,278702000,656101000,938743000
68,Total Liabilities And Stockholders Equity,184138000,357312000,499767000,872285000,1108840000
69,Minority Interest,1384000,3236000,3859000,5068000,6475000
70,Total Liabilities & Equity,185522000,360548000,503626000,877353000,1115315000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,38612000,56106000,-16423000,- -
74,Depreciation and Amortization,- -,5365000,6631000,12103000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,19416000,- -
77,Change in Working Capital,- -,-12297000,-53665000,-28991000,- -
78,Accounts Receivable,- -,-31495000,-67359000,-25909000,- -
79,Inventory,- -,-575000,-116000,859000,- -
80,Accounts Payable,- -,10857000,11742000,-7655000,- -
81,Other Working Capital,- -,3937000,1047000,8416000,- -
82,Other Non-Cash Items,- -,9538000,8316000,40182000,- -
83,Cash Provided by Operating Activities,- -,41218000,17388000,26287000,- -
84,CAPEX,- -,-94441000,-75020000,-127074000,- -
85,Acquisitions Net,- -,- -,- -,573000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,521000,219000,- -
88,Other Investing Activites,- -,-129507000,-24362000,-111282000,- -
89,Cash Used for Investing Activites,- -,-131312000,-37308000,-121337000,- -
90,Debt Repayment,- -,-7402000,-41696000,-7162000,- -
91,Common Stock Issued,- -,77138000,- -,90406000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,37790000,53498000,14515000,- -
95,Cash Used/Provided by Financing Activities,- -,107526000,11802000,97759000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,17432000,-8118000,2709000,- -
98,Cash at the End of Period,- -,31128000,23010000,25719000,- -
99,Cash at the Beginning of Period,- -,13696000,31128000,23010000,- -
100,Free Cash Flow,- -,-53223000,-57632000,-100787000,- -
101,SEC Link,undefined,- -,- -,- -,undefined
102,Forex Rate,undefined,0.1453,0.1436,0.1532,0.1572
