,https://roic.ai/company/CSBR,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2140000,2160000,2330000,2200000,2176574,2210348,2128221,2006406,1999173,1797283,- -,- -,1399940,3710000,4893000,6882000,7149000,8323000,11550000,8863000,11182000,15411000,20241000,27067000,32123000,41040000
2,COGS,1060000,1040000,1210000,1170000,1787283,639705,595286,501873,601399,553895,- -,- -,- -,1980000,1979000,3142000,4899000,5328000,6263000,7633000,8686000,9703000,10553000,14265000,16882000,21446000
3,Gross Profit,1080000,1120000,1120000,1030000,389291,1570643,1532935,1504533,1397774,1243388,- -,- -,- -,1730000,2914000,3740000,2250000,2995000,5287000,1230000,2496000,5708000,9688000,12802000,15241000,19594000
4,Gross Profit Ratio,0.5047,0.5185,0.4807,0.4682,0.1789,0.7106,0.7203,0.7499,0.6992,0.6918,- -,- -,- -,0.4663,0.5955,0.5434,0.3147,0.3598,0.4577,0.1388,0.2232,0.3704,0.4786,0.4730,0.4745,0.4774
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199743,1721000,2695000,2951000,2937000,1920000,2265000,4845000,4194000,4293000,4401000,4798000,5853000,7196000
6,General and Administrative Exp.,960000,990000,1000000,950000,322475,1687590,1600000,- -,- -,- -,- -,- -,- -,- -,- -,4611000,5450000,4631000,6127000,5340000,5173000,4963000,4071000,4678000,6614000,6512000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1413000,2928000,2665000,3155000,4283000,3445000,3261000,2570000,3056000,4242000,5520000
8,"Selling, General and Administrative Exp.",960000,990000,1000000,950000,322475,1687590,1600000,- -,- -,- -,- -,- -,- -,- -,- -,6024000,8378000,7296000,9282000,9623000,8618000,8224000,6641000,7734000,10856000,12032000
9,Other Expenses,70000,60000,50000,60000,51794,351984,80247,1650527,1505461,1489932,144117,170058,1193611,2055000,3147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1030000,1050000,1050000,1010000,374269,2039574,1680247,1650527,1505461,1489932,144117,170058,1393354,3776000,5842000,8975000,11315000,9216000,11547000,14468000,12812000,12517000,11042000,12532000,16709000,19228000
11,COGS and Expenses,2090000,2090000,2260000,2180000,2161552,2679279,2275533,2152400,2106860,2043827,144117,170058,1393354,5756000,7821000,12117000,16214000,14544000,17810000,22101000,21498000,22220000,21595000,26797000,33591000,40674000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,70000,50000,60000,60000,51794,56365,48419,48419,48419,48419,- -,11046,170127,4000,32000,42000,105000,203000,213000,214000,156000,168000,360000,606000,825000,1184000
