,https://roic.ai/company/GLDG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,251418,989577,1441200,41002,62512,108487,236583,288741,270568,213412,275163,185623
3,Gross Profit,-251418,-989577,-1441200,-41002,-62512,-108487,-236583,-288741,-270568,-213412,-275163,-185623
4,Gross Profit Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,423361,2181776,3174571,2402385,2752006,2489573,5958584,5941936,4547472,4410558,8923875,9429497
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",423361,2181776,3174571,2402385,2752006,2489573,5958584,5941936,4547472,4410558,8923875,9429497
9,Other Expenses,- -,6207,22222,3015339,1875568,1361298,1354457,1663519,2020314,1702078,1682402,2416732
10,Operating Expenses,423361,2187983,3196793,5417724,4627574,3850871,7313041,7605455,6567786,6112636,10606277,11846229
11,COGS and Expenses,674779,3177560,4637993,5458726,4690086,3959358,7549624,7894196,6838354,6326048,10881440,12031852
12,Interest Income ,- -,30853,100624,31534,27969,24080,52218,201056,188833,155298,73646,7561
13,Interest Expense (Gain),- -,- -,- -,6000,- -,- -,- -,- -,- -,- -,2807,145687
14,Depreciation and Amortization,- -,6207,22222,41002,62512,108487,236583,288741,270568,233275,275163,185623
15,EBITDA,-674779,-3171353,-4615771,-5386190,-4725866,-3588719,-7313041,-7605455,-6567786,-6025716,-10537694,-14770333
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-674779,-3177560,-4637993,-5527546,-5298529,-4343334,-7603988,-7919258,-6853139,-6318475,-10873313,108692949
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
19,Total Other Income Expenses (Gains),- -,30853,100624,25534,249487,127827,67005,192115,256735,102501,-214330,502602
20,Income Before Tax,-674779,-3146707,-4537369,-5502012,-5049042,-4215507,-7536983,-7727143,-6596404,-6215974,-11087643,109195551
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9011367
23,Net Income,-674779,-3146707,-4537369,-5502012,-5049042,-4215507,-7536983,-7727143,-6596404,-6215974,-11087643,100355240
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
25,EPS,-0.02,-0.09,-0.11,-0.13,-0.07,-0.05,-0.08,-0.06,-0.05,-0.05,-0.08,0.67
26,EPS Diluted,-0.02,-0.09,-0.11,-0.13,-0.07,-0.05,-0.08,-0.06,-0.05,-0.05,-0.08,0.66
27,Weighted Average Shares Outstanding,35041811,33331706,39700066,41966940,71472649,80931563,98200853,124100317,135074277,137873334,146046711,149407112
28,Weighted Average Shares Outstanding Diluted,35041811,33331706,39700066,41966940,71472649,80931563,98200853,124100317,135074277,137873334,146046711,152509190
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,6162062,5962909,5520141,225827,798512,1445056,21338388,13961100,9644214,6477885,9193089,11658308
32,Short-Term Investments,- -,- -,- -,20000,15000,5000,15000,20000,15000,50000,100000,50000
33,Cash and Short-Term Investments,6162062,5962909,5520141,245827,813512,1450056,21353388,13981100,9659214,6527885,9293089,11708308
34,Net Receivables,122337,45324,141681,101634,61246,67055,114143,165566,126591,70810,62966,40096
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10000,80872,157561,78863,109592,76653,170637,198707,174923,265469,765987,528804
37,Total Current Assets,6294399,6089105,5819383,426324,984350,1593764,21638168,14345373,9960728,6864164,10122042,12277208
38,PP&E,25000,243089,11480769,23965720,23315457,19772246,34600948,62613503,61139002,59468795,57676378,56264829
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,1655615,1723004,1350434,1622390,1604901,1388080,1388352,1073514,131089616
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,553816,553816,553816,553816,523816
45,Total Non-Current Assets,25000,243089,11480769,25621335,25038461,21122680,36223338,64772220,63080898,61410963,59303708,187878261
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6319399,6332194,17300152,26047659,26022811,22716444,57861506,79117593,73041626,68275127,69425750,200155469
48,Accounts Payable,22072,313640,171186,975125,952526,1312972,1945800,2472541,1435686,410614,923197,658097
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,426103,12536101
50,Tax Payable,- -,- -,- -,69914,69913,50776,113220,70345,56299,60729,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,111975,73078,425274,1002020,516699,407989,298151,218299,320718,1402079,1707374,379418
53,Total Current Liabilities,134047,386718,596460,1977145,1469225,1720961,2243951,2690840,1756404,1812693,3056674,13573616
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46039,109767
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9867859
57,Other Non-Current Liabilities,- -,- -,204851,229313,252244,307928,298117,783028,795960,816694,815828,899829
58,Total Non-Current Liabilities,- -,- -,204851,229313,252244,307928,298117,783028,795960,816694,861867,10877455
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82142,124220
61,Total Liabilities,134047,386718,801311,2206458,1721469,2028889,2542068,3473868,2552364,2629387,3918541,24451071
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,30175354,34126149,38334494,83847180,110838669,113207461,115499094,128181627,131082494
64,Retained Earnings,-700350,-3847057,-8384426,-13886438,-18935480,-23150987,-30687970,-38415113,-45011517,-51227491,-59934831,41183972
65,Other Comprehensive Income/Loss,- -,545954,732364,351224,2131713,-1428472,2160228,3220169,2293318,1374137,-3944001,3437932
66,Other Total Stockholders Equity,- -,- -,- -,7201061,6978960,6932520,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,6185352,5945476,16498841,23841201,24301342,20687555,55319438,75643725,70489262,65645740,64302795,175704398
68,Total Liabilities And Stockholders Equity,6319399,6332194,17300152,26047659,26022811,22716444,57861506,79117593,73041626,68275127,68221336,200155469
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1204414,- -
70,Total Liabilities & Equity,6319399,6332194,17300152,26047659,26022811,22716444,57861506,79117593,73041626,68275127,69425750,200155469
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-674779,-3146707,-4537369,-5502012,-5049042,-4215507,-7536983,-7727143,-6596404,-6215974,-11087643,100355240
74,Depreciation and Amortization,- -,6207,22222,41002,62512,108487,236583,288741,270568,233275,275163,185623
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9011367
76,Stock Based Compensation,- -,491867,635332,64137,-2112,496324,1351988,1672133,1079506,- -,2624526,3013479
77,Change in Working Capital,93289,255928,-289669,519375,-6219,152299,649362,157691,-24850,12381,353020,641221
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,72069,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,438144,735911,- -,- -,- -,712831,1209501
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,139758,- -,- -
82,Other Non-Cash Items,- -,- -,-24924,-2595,131021,258338,74289,42944,43051,5970318,247413,-121123107
83,Cash Provided by Operating Activities,-581490,-2392705,-4194408,-4880093,-4863840,-3200059,-5224761,-5565634,-5228129,- -,-7587521,-7916177
84,CAPEX,- -,-61258,-948815,-412328,-145617,-150170,-138416,-2330357,-106824,-152070,-955066,-56297
85,Acquisitions Net,- -,- -,- -,- -,-193650,-180443,-116100,-26758,-15000,-151700,- -,-2711323
86,Purchases of Investments,-25000,-20538,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-299200,- -,- -,- -,- -,17028,-339609,380000
89,Cash Used for Investing Activites,-25000,-81796,-948815,-412328,-638467,-330613,-254516,-2357115,-121824,-286742,-1294675,-2387620
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -,-101922,-119120
91,Common Stock Issued,6652622,2272464,4493877,- -,6109230,4276088,25627283,540470,1071842,- -,7459636,1269022
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2884,206578,-1893,19229,-20885,46314,6357,-8816,1652167,3974717,11615616
95,Cash Used/Provided by Financing Activities,6652622,2275348,4700455,-1893,6128459,4255203,25373597,546827,1063026,1652167,11332431,12765518
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-53467,-77987,-988,-1366,-29959,92231,264969,3498
97,Net Change In Cash,6046132,-199153,-442768,-5294314,572685,646544,19893332,-7377288,-4316886,-3166329,2715204,2465219
98,Cash at the End of Period,6162062,5962909,5520141,225827,798512,1445056,21338388,13961100,9644214,- -,9193089,11658308
99,Cash at the Beginning of Period,115930,6162062,5962909,5520141,225827,798512,1445056,21338388,13961100,- -,6477885,9193089
100,Free Cash Flow,-581490,-2453963,-5143223,-5292421,-5009457,-3350229,-5363177,-7895991,-5334953,- -,-8542587,-7972474
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.9738,0.981,1.0063,0.9419,0.876,0.7483,0.7442,0.7753,0.7519,0.7531,0.769,0.7825
