,https://roic.ai/company/VRTV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,6509200000,6012000000,5652400000,7406500000,8717700000,8326600000,8364700000,8696200000,7659400000,6345600000,6850500000
2,COGS,5475300000,5036700000,4736800000,6180900000,7160300000,6826400000,6846600000,7155700000,6206200000,5040200000,5417900000
3,Gross Profit,1033900000,975300000,915600000,1225600000,1557400000,1500200000,1518100000,1540500000,1453200000,1305400000,1432600000
4,Gross Profit Ratio,0.1588,0.1622,0.1620,0.1655,0.1786,0.1802,0.1815,0.1771,0.1897,0.2057,0.2091
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,409000000,580600000,391300000,689100000,853900000,826200000,872600000,867600000,- -,- -,732700000
7,Selling and Marketing Exp.,923200000,904600000,862400000,1115300000,1375700000,1331300000,1389500000,1418100000,1332500000,1147700000,419300000
8,"Selling, General and Administrative Exp.",1332200000,1485200000,1253700000,1804400000,2229600000,2157500000,2262100000,2285700000,1332500000,1147700000,1152000000
9,Other Expenses,-393400000,-566600000,-374200000,-651500000,-797000000,-771500000,-818400000,-814100000,53500000,57700000,55200000
10,Operating Expenses,938800000,918600000,879500000,1152900000,1432600000,1386000000,1443700000,1471600000,1386000000,1205400000,1207200000
11,COGS and Expenses,6414100000,5955300000,5616300000,7333800000,8592900000,8212400000,8290300000,8627300000,7592200000,6245600000,6625100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),66700000,- -,27400000,11800000,22600000,21900000,28600000,39700000,35500000,23000000,15700000
14,Depreciation and Amortization,24500000,15200000,25100000,37600000,56900000,54700000,54200000,53500000,53500000,57700000,55200000
15,EBITDA,134300000,28700000,53100000,27700000,124400000,117400000,80900000,83000000,60200000,123700000,268400000
16,EBITDA ratio,0.0206,0.0048,0.0094,0.0037,0.0143,0.0141,0.0097,0.0095,0.0079,0.0195,0.0392
17,Operating Income,51500000,21600000,-1800000,-6400000,78600000,75900000,21200000,15800000,20900000,47800000,210000000
18,Operating Income ratio,0.0079,0.0036,-0.0003,-0.0009,0.0090,0.0091,0.0025,0.0018,0.0027,0.0075,0.0307
19,Total Other Income Expenses (Gains),5200000,1900000,2200000,-15200000,-33700000,-35100000,-23100000,-26000000,-49700000,-4800000,-12500000
20,Income Before Tax,56700000,23500000,400000,-21600000,44900000,40800000,-1900000,-10200000,-28800000,43000000,197500000
21,Income Before Tax Ratio,0.0087,0.0039,0.0001,-0.0029,0.0052,0.0049,-0.0002,-0.0012,-0.0038,0.0068,0.0288
22,Income Tax expense (Gain),21200000,9100000,400000,-2100000,18200000,19800000,11400000,5500000,700000,8800000,52900000
23,Net Income,21900000,4400000,200000,-19600000,26700000,21000000,-13300000,-15700000,-29500000,34200000,144600000
24,Net Income ratio,0.0034,0.0007,0.0000,-0.0026,0.0031,0.0025,-0.0016,-0.0018,-0.0039,0.0054,0.0211
25,EPS,2.68,0.53,0.02,-1.62,1.67,1.31,-0.85,-0.99,-1.84,2.14,9.50
26,EPS Diluted,2.68,0.53,0.02,-1.62,1.67,1.30,-0.85,-0.99,-1.84,2.08,9.01
27,Weighted Average Shares Outstanding,8160000,8160000,8160000,12080000,16000000,15970000,15700000,15820000,16060000,15960000,15220000
28,Weighted Average Shares Outstanding Diluted,8160000,8160000,8160000,12080000,16000000,16150000,15700000,15820000,16060000,16480000,16050000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1599489/000162828015001897/vrtv-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1599489/000159948916000035/0001599489-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948917000005/0001599489-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948918000005/0001599489-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948919000003/0001599489-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948920000004/0001599489-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1599489/000159948921000003/0001599489-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1599489/000159948922000004/0001599489-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,30600000,22200000,57600000,54400000,69600000,80300000,64300000,38000000,120600000,49300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,30600000,22200000,57600000,54400000,69600000,80300000,64300000,38000000,120600000,49300000
