,https://roic.ai/company/ORPH,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,45865000,55817000,99048000,154952000,285413000,261136000
6,General and Administrative Exp.,- -,- -,7220000,7703000,31994000,75334000,49842000,342199000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,7220000,7703000,31994000,75334000,49842000,342199000
9,Other Expenses,- -,- -,- -,- -,- -,1366000,699000,5199000
10,Operating Expenses,- -,- -,53085000,63520000,131042000,231652000,335954000,608534000
11,COGS and Expenses,- -,- -,53085000,63520000,131042000,231652000,335954000,608534000
12,Interest Income ,- -,- -,- -,2000,- -,5000,316000,45000
13,Interest Expense (Gain),- -,- -,- -,71000,647000,3453000,4803000,14114000
14,Depreciation and Amortization,- -,- -,554000,706000,627000,1366000,3803000,5200000
15,EBITDA,- -,- -,-52531000,-62838000,-130456000,-230281000,-331914000,-603441000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,-53085000,-63520000,-131042000,-231652000,-335954000,-608534000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-317000,85000,-662000,-3448000,-7043000,-26627000
20,Income Before Tax,- -,- -,-53402000,-63435000,-131704000,-235100000,-342997000,-635161000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,-5688000,-5500000,-5500000,-5500000,-5500000,-1915000
23,Net Income,- -,- -,-47714000,-57935000,-126204000,-229600000,-337497000,-633246000
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,- -,-4.66,-5.65,-10.46,-11.50,-16.87,-22.32
26,EPS Diluted,- -,- -,-4.66,-5.65,-10.46,-11.50,-16.87,-22.32
27,Weighted Average Shares Outstanding,- -,- -,10248928,10248928,12064113,19965614,20002139,28366469
28,Weighted Average Shares Outstanding Diluted,- -,- -,10248928,10248928,12064113,19965614,20002139,28366469
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,25732000,68015000,14349000,631735000,394706000,123588000,726929000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,25732000,68015000,14349000,631735000,394706000,123588000,726929000
34,Net Receivables,- -,7769000,6519000,8921000,16218000,14445000,11282000,18454000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,190000,5970000,4624000,- -,14233000,13355000,38281000
37,Total Current Assets,- -,33691000,80504000,27894000,647953000,423384000,148225000,783664000
38,PP&E,- -,1694000,1487000,987000,1851000,1940000,17587000,19546000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,9853000,10744000,10539000,12454000
41,Intangible Assets,- -,- -,- -,- -,9853000,10744000,10539000,12454000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,2065000
44,Other Non-Current Assets,- -,179000,2961000,3060000,3160000,5281000,4403000,4764000
45,Total Non-Current Assets,- -,1873000,4448000,4047000,14864000,17965000,32529000,38829000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,35564000,84952000,31941000,662817000,441349000,180754000,822493000
48,Accounts Payable,- -,997000,2447000,4718000,13436000,18090000,1093000,29937000
49,Short-Term Debt,- -,1000,- -,- -,- -,- -,15689000,37006000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,4159000
51,Deferred Revenue,- -,- -,- -,- -,- -,299000,95000,- -
52,Other Current Liabilities,- -,3019000,8362000,9714000,33679000,34606000,49111000,99684000
53,Total Current Liabilities,- -,4017000,10809000,14432000,47115000,52995000,65988000,166627000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,61419000,33707000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,105000,378000,1634000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,105000,61797000,35341000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,12689000,13534000
61,Total Liabilities,- -,4017000,10809000,14432000,47115000,53100000,127785000,201968000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2175000,3346000,3361000,19928000,19939000,19984000,34698000
64,Retained Earnings,- -,-94878000,-154202000,-212137000,-338341000,-564823000,-899018000,-1502921000
65,Other Comprehensive Income/Loss,- -,-612000,-1402000,-2102000,-2227000,9112000,7982000,6494000
66,Other Total Stockholders Equity,- -,124862000,226401000,228387000,936342000,924021000,924021000,2082254000
67,Total Stockholders Equity,- -,31547000,74143000,17509000,615702000,388249000,52969000,620525000
68,Total Liabilities And Stockholders Equity,- -,35564000,84952000,31941000,662817000,441349000,180754000,822493000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,35564000,84952000,31941000,662817000,441349000,180754000,822493000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,- -,-47714000,-57935000,-126204000,-229600000,-337497000,-633246000
74,Depreciation and Amortization,- -,- -,554000,706000,627000,1366000,3803000,5200000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-1915000
76,Stock Based Compensation,- -,- -,- -,- -,122000,2105000,2549000,28105000
77,Change in Working Capital,- -,- -,-58000,2094000,29910000,-8635000,2076000,48262000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,804000,408000,119000,- -,2251000,14518000
83,Cash Provided by Operating Activities,- -,- -,-46414000,-54727000,-95426000,-234764000,-326818000,-539076000
84,CAPEX,- -,- -,-495000,-238000,-1491000,-2346000,-3285000,-5101000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-1603000,-508000,-2736000
89,Cash Used for Investing Activites,- -,- -,-495000,-238000,-1491000,-2346000,-3285000,-5101000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-10535000
91,Common Stock Issued,- -,- -,85970000,1330000,757912000,- -,19000,1280786000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-215000,-30000,-43609000,- -,58920000,-110829000
95,Cash Used/Provided by Financing Activities,- -,- -,85755000,1300000,714303000,- -,58939000,1159422000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,81000,46000,-11904000
97,Net Change In Cash,- -,- -,38846000,-53665000,617386000,-237029000,-271118000,603341000
98,Cash at the End of Period,- -,- -,68015000,14349000,631735000,394706000,123588000,726929000
99,Cash at the Beginning of Period,- -,- -,29169000,68014000,14349000,631735000,394706000,123588000
100,Free Cash Flow,- -,- -,-46909000,-54965000,-96917000,-237110000,-330103000,-544177000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,undefined,0.1455,0.1415,0.1611,0.1536,0.1501,0.1641
