,https://roic.ai/company/BVH,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7390000,1833000,11996000,3559000,11322000,16086000,231747000,258531000,404905000,514938000,1097303000,1149544000,938907000,770064000,351365000,323246000,559723000,582273000,479789000,557035000,666659000,709115000,757919000,813340000,947593000,946871000,519471000,757113000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130490000,142890000,189791000,186941000,202203000,218735000,341017000,348819000,194131000,88316000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349299000,414145000,476868000,522174000,555716000,594605000,606576000,598052000,325340000,668797000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7280,0.7435,0.7153,0.7364,0.7332,0.7311,0.6401,0.6316,0.6263,0.8834
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1166000,1232000,1153000,1153000,1190000,1264000,92316000,97000000,201280000,249338000,294250000,331632000,280228000,162110000,137690000,188442000,362842000,302616000,324477000,363330000,564753000,613233000,682923000,721655000,537941000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,7897000,13833000,16868000,21036000,32735000,35067000,20002000,16335000,8646000,8598000,6413000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1166000,1232000,1153000,1153000,1190000,1264000,92316000,104897000,215113000,266206000,315286000,364367000,315295000,182112000,154025000,197088000,371440000,309029000,324477000,363330000,564753000,613233000,682923000,721655000,537941000,- -,- -,465806000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212817000,-13049000,-22315000,2138000,-43865000,-149544000,-159990000,-186674000,-191025000,-8603000,580258000,370935000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326615000,319465000,415209000,453243000,496249000,530630000,529338000,580258000,370935000,465806000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,457105000,462355000,605000000,640184000,698452000,749365000,870355000,929077000,565066000,658517000
12,Interest Income ,1400000,1290000,1307000,666000,1336000,1529000,328896000,326001000,310124000,261874000,809600000,363344000,371900000,377886000,319098000,241053000,272348000,231944000,105486000,106271000,86492000,88765000,85437000,83708000,85501000,86326000,- -,81691000
13,Interest Expense (Gain),8276000,4574000,3634000,2719000,1912000,1613000,211406000,188838000,153115000,113385000,88901000,145326000,166608000,196517000,151169000,92512000,124667000,93964000,59964000,50621000,47402000,40408000,36037000,35205000,41938000,45782000,- -,35329000
14,Depreciation and Amortization,1441000,762000,772000,683000,575000,526000,9656000,5184000,12488000,20939000,19292000,20135000,31845000,23693000,28389000,24016000,7447000,16653000,7630000,4563000,9399000,10511000,8089000,21444000,25739000,27720000,24771000,- -
15,EBITDA,35374000,13268000,14241000,17442000,2499000,13748000,238059000,224892000,189091000,185512000,206420000,248491000,195704000,119505000,136422000,75031000,28371000,120304000,249834000,110616000,107508000,96797000,108867000,131621000,134418000,107851000,-58126000,81497000
