,https://roic.ai/company/VAPO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,30122000,35597000,42377000,48104000,125733000,113292000
2,COGS,20183000,22357000,25605000,26793000,62687000,60104000
3,Gross Profit,9939000,13240000,16772000,21311000,63046000,53188000
4,Gross Profit Ratio,0.3300,0.3719,0.3958,0.4430,0.5014,0.4695
5,Research and Development Exp.,6211000,7569000,8771000,13376000,16956000,18410000
6,General and Administrative Exp.,5939000,8020000,11186000,18410000,24039000,31375000
7,Selling and Marketing Exp.,20026000,26221000,33927000,37689000,65065000,60140000
8,"Selling, General and Administrative Exp.",25965000,34241000,45113000,56099000,89104000,91515000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,32176000,41810000,53884000,69475000,106060000,109925000
11,COGS and Expenses,52359000,64167000,79489000,96268000,168747000,170029000
12,Interest Income ,8000,3000,118000,860000,257000,91000
13,Interest Expense (Gain),716000,2232000,3064000,5096000,4711000,2595000
14,Depreciation and Amortization,1336000,1534000,2167000,3078000,4769000,5648000
15,EBITDA,-21020000,-27239000,-37237000,-43031000,-42022000,-51633000
16,EBITDA ratio,-0.6978,-0.7652,-0.8787,-0.8945,-0.3342,-0.4558
17,Operating Income,-22223000,-28871000,-37233000,-48164000,-43014000,-57165000
18,Operating Income ratio,-0.7378,-0.8111,-0.8786,-1.0012,-0.3421,-0.5046
19,Total Other Income Expenses (Gains),-849000,-2134000,-5235000,-3041000,-8488000,-2711000
20,Income Before Tax,-23072000,-31005000,-42468000,-51205000,-51502000,-59876000
21,Income Before Tax Ratio,-0.7660,-0.8710,-1.0021,-1.0645,-0.4096,-0.5285
22,Income Tax expense (Gain),- -,- -,- -,-146000,- -,-76000
23,Net Income,-23072000,-31005000,-42468000,-51059000,-51502000,-59800000
24,Net Income ratio,-0.7660,-0.8710,-1.0021,-1.0614,-0.4096,-0.5278
25,EPS,-3.09,-3.36,-14.62,-2.74,-2.16,-2.51
26,EPS Diluted,-3.09,-3.36,-14.62,-2.74,-2.16,-2.51
27,Weighted Average Shares Outstanding,7479586,9252998,2905085,18604707,23818447,23818447
28,Weighted Average Shares Outstanding Diluted,7479586,9252998,2905085,18604707,23818447,23818447
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1253176/000156459019009008/0001564590-19-009008-index.htm,https://www.sec.gov/Archives/edgar/data/1253176/000156459020008683/0001564590-20-008683-index.html,https://www.sec.gov/Archives/edgar/data/1253176/000156459021008100/0001564590-21-008100-index.htm,https://www.sec.gov/Archives/edgar/data/1253176/000156459022006714/0001564590-22-006714-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,5846000,26508000,58223000,71655000,113683000,57071000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5846000,26508000,58223000,71655000,113683000,57071000
34,Net Receivables,5884000,6955000,7107000,8243000,23488000,10909000
35,Inventory,8204000,11458000,13710000,9137000,19873000,36562000
36,Other Current Assets,1792000,2302000,2683000,4066000,5041000,5205000
37,Total Current Assets,21726000,47223000,81723000,93101000,162085000,109747000
38,PP&E,6888000,10913000,13416000,15086000,20573000,29202000
39,Goodwill,- -,- -,- -,588000,16226000,15300000
40,Intangible Assets,- -,- -,- -,353000,5694000,4398000
41,Intangible Assets,- -,- -,- -,941000,21920000,19698000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,66000,- -,78000
44,Other Non-Current Assets,2241000,2099000,2107000,2696000,- -,1360000
45,Total Non-Current Assets,9129000,13012000,15523000,18789000,42493000,50338000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,30855000,60235000,97246000,111890000,204578000,160085000
48,Accounts Payable,1967000,2252000,3148000,2753000,4967000,5923000
49,Short-Term Debt,2490000,3020000,3163000,3491000,1572000,6608000
50,Tax Payable,70000,153000,305000,983000,1717000,- -
51,Deferred Revenue,63000,64000,79000,481000,6000,2081000
52,Other Current Liabilities,4686000,9281000,7653000,9465000,35432000,28559000
53,Total Current Liabilities,9206000,14617000,14043000,16190000,41977000,43171000
54,Long-Term Debt,9462000,18932000,31317000,41787000,- -,39726000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,108454000,153543000,325000,174000,15229000,10521000
58,Total Non-Current Liabilities,117916000,172475000,31642000,41961000,15229000,50247000
59,Other Liabilities,- -,- -,- -,- -,75005000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,8351000,- -
61,Total Liabilities,127122000,187092000,45685000,58151000,101753000,93418000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,17000,21000,26000,26000
64,Retained Earnings,-140909000,-171914000,-214382000,-265441000,- -,-376743000
65,Other Comprehensive Income/Loss,-3973000,-5142000,-7109000,44000,41000,26000
66,Other Total Stockholders Equity,48614000,50198000,273035000,319115000,113838000,443358000
67,Total Stockholders Equity,-96267000,-126857000,51561000,53739000,113905000,66667000
68,Total Liabilities And Stockholders Equity,30855000,60235000,97246000,111890000,215658000,160085000
69,Minority Interest,- -,- -,- -,- -,-11080000,- -
70,Total Liabilities & Equity,30855000,60235000,97246000,111890000,204578000,160085000
