,https://roic.ai/company/EVA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,103324000,179887000,290136000,457374000,464276000,543221000,573741000,684393000,875079000,874962000
2,COGS,99215000,164547000,270029000,395753000,385118000,459520000,501914000,600213000,767956000,711248000
3,Gross Profit,4109000,15340000,20107000,61621000,79158000,83701000,71827000,84180000,107123000,163714000
4,Gross Profit Ratio,0.0398,0.0853,0.0693,0.1347,0.1705,0.1541,0.1252,0.1230,0.1224,0.1871
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,22242000,16373000,11132000,23922000,33098000,30107000,27641000,36389000,45345000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",22242000,16373000,11132000,23922000,33098000,30107000,27641000,36389000,45345000,129537000
9,Other Expenses,- -,- -,- -,-5562000,-4044000,- -,- -,- -,- -,805855000
10,Operating Expenses,22242000,16373000,11132000,18360000,29054000,30107000,27641000,36389000,45345000,935392000
11,COGS and Expenses,121457000,180920000,281161000,426455000,435031000,495353000,532692000,648756000,813301000,935392000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1237000,5460000,8724000,10551000,15642000,31744000,36471000,39344000,44902000,-45996000
14,Depreciation and Amortization,7731000,11887000,19009000,30738000,27722000,40361000,40745000,51581000,77471000,92919000
15,EBITDA,-25201000,11908000,27997000,64334000,62631000,89618000,84168000,87982000,136066000,-59232000
16,EBITDA ratio,-0.2439,0.0662,0.0965,0.1407,0.1349,0.1650,0.1467,0.1286,0.1555,-0.0677
17,Operating Income,-18133000,-1033000,8975000,41180000,37942000,47868000,41800000,44679000,61778000,-97252000
18,Operating Income ratio,-0.1755,-0.0057,0.0309,0.0900,0.0817,0.0881,0.0729,0.0653,0.0706,-0.1111
19,Total Other Income Expenses (Gains),-1627000,-4464000,-8790000,-20994000,-24479000,-33495000,-34848000,-47622000,-44629000,-8903000
20,Income Before Tax,-19760000,-5497000,185000,20186000,13463000,14373000,6952000,-2943000,17149000,-106155000
21,Income Before Tax Ratio,-0.1912,-0.0306,0.0006,0.0441,0.0290,0.0265,0.0121,-0.0043,0.0196,-0.1213
22,Income Tax expense (Gain),- -,- -,- -,2623000,- -,- -,- -,- -,69000,169000
23,Net Income,-34169000,-5439000,264000,20422000,19267000,17513000,6952000,-2943000,13624000,-106324000
24,Net Income ratio,-0.3307,-0.0302,0.0009,0.0447,0.0415,0.0322,0.0121,-0.0043,0.0156,-0.1215
25,EPS,-1.44,-0.23,0.01,0.80,0.95,0.65,0.04,-0.54,-0.36,-2.36
26,EPS Diluted,-1.44,-0.23,0.01,0.79,0.91,0.61,0.04,-0.54,-0.36,-2.36
27,Weighted Average Shares Outstanding,23810276,23810276,23810276,23893000,24907000,26308000,26426000,31791000,36813000,45015000
28,Weighted Average Shares Outstanding Diluted,23810276,23810276,23810276,24176000,25464000,27256000,27446000,31791000,36813000,45015000
