,https://roic.ai/company/INLB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,890000,341990,179490,113020,324026,243926,1401860,4933960,8121733,21937227
2,COGS,- -,- -,390000,143820,115660,117310,158322,80678,1018110,2556190,4825959,13324284
3,Gross Profit,- -,- -,500000,198170,63830,-4290,165704,163248,383750,2377770,3295774,8612943
4,Gross Profit Ratio,- -,- -,0.5618,0.5795,0.3556,-0.0380,0.5114,0.6693,0.2737,0.4819,0.4058,0.3926
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,23112,- -,4103167,1310376,962155,869649,729382,157493,394399,4116827,5521131,9890917
7,Selling and Marketing Exp.,- -,- -,- -,282375,206774,241944,42210,3544,- -,741866,265028,1170982
8,"Selling, General and Administrative Exp.",23112,- -,4103167,1592751,1168929,1111593,771592,161037,394399,4858693,5786159,11061899
9,Other Expenses,- -,37406,152618,- -,- -,- -,- -,- -,654218,1901290,2835565,3152307
10,Operating Expenses,23112,37406,4255785,1592751,1168929,1111593,771592,161037,1048617,6759983,8621724,14214206
11,COGS and Expenses,20000,40000,4650000,1736570,1272730,1871020,929914,241715,2055680,15075000,6303950,27538490
12,Interest Income ,- -,- -,3017,- -,289,- -,- -,- -,29858,71376,- -,- -
13,Interest Expense (Gain),- -,- -,270852,1764191,1365153,2961153,992175,268782,1989,342718,6959705,5295349
14,Depreciation and Amortization,- -,- -,60954,62956,65751,64480,9928,3504,49786,676134,979158,1260665
15,EBITDA,-20000,-40000,-3768194,-1497923,-15651326,-1715047,-2123433,5715,-548115,-8805848,-4446778,-4349758
16,EBITDA ratio,-Infinity,-Infinity,-4.2339,-4.3800,-87.1989,-15.1747,-6.5533,0.0234,-0.3910,-1.7847,-0.5475,-0.1983
17,Operating Income,-23112,-37406,-3781379,-1394582,-1105098,-1115877,-605888,2211,-691431,-10141039,-5425950,-5601263
18,Operating Income ratio,-Infinity,-Infinity,-4.2487,-4.0778,-6.1569,-9.8733,-1.8699,0.0091,-0.4932,-2.0554,-0.6681,-0.2553
19,Total Other Income Expenses (Gains),3112,-2594,-318621,-1930488,-15977132,-3624803,-2519648,-268782,70251,192399,-6959691,-5304509
20,Income Before Tax,-20000,-40000,-4100000,-3325070,-17082230,-4740680,-3125536,-266571,-621180,-9948640,-12385641,-10905772
21,Income Before Tax Ratio,-Infinity,-Infinity,-4.6067,-9.7227,-95.1709,-41.9455,-9.6459,-1.0928,-0.4431,-2.0164,-1.5250,-0.4971
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,88830,- -,-85984,- -
23,Net Income,-20000,-40000,-4100000,-3325070,-17082230,-4740680,-3125536,-266571,-688720,-9824700,-12299657,-10905772
24,Net Income ratio,-Infinity,-Infinity,-4.6067,-9.7227,-95.1709,-41.9455,-9.6459,-1.0928,-0.4913,-1.9912,-1.5144,-0.4971
25,EPS,-0.04,-0.08,-3.20,-2.00,-6.80,-1.40,-0.80,-0.04,-0.20,-0.16,-0.20,-0.14
26,EPS Diluted,-0.04,-0.08,-3.20,-2.00,-6.80,-1.40,-0.80,-0.04,-0.20,-0.16,-0.20,-0.14
27,Weighted Average Shares Outstanding,445500,520890,1254626,1716206,2487101,3320335,3813843,7463081,2738332,61531802,61621955,78592889
28,Weighted Average Shares Outstanding Diluted,445500,520890,1254626,1716206,2487101,3320335,3813843,7463081,2738332,61531802,61621955,78592889
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1500123/000110807812000095/0001108078-12-000095-index.html,https://www.sec.gov/Archives/edgar/data/1500123/000155479513000029/0001554795-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479514000012/0001554795-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479515000010/0001554795-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479516000564/0001554795-16-000564-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1500123/000155479520000013/0001554795-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479521000008/0001554795-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1500123/000155479522000016/0001554795-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,19940,42580,41750,26709,86827,1674270,21090,84677,1454460
32,Short-Term Investments,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,19940,52580,41750,26709,86827,1674270,21090,84677,1454460
34,Net Receivables,- -,- -,610000,35020,3140,530,44352,- -,961460,437030,352598,1448280
35,Inventory,- -,- -,10000,51420,71610,45460,5704,6996,- -,- -,- -,6391351
36,Other Current Assets,20000,- -,140000,10690,66210,8470,5921,14179,624820,2504790,2455015,1302558
37,Total Current Assets,20000,- -,760000,117070,193540,96210,82686,108002,3260550,2962910,2892290,10596649
38,PP&E,- -,- -,20000,31620,20040,14070,4142,638,1234040,7170420,7208760,11634786
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1116400,1116396,58064816
40,Intangible Assets,- -,- -,330000,291070,292400,- -,- -,- -,- -,1839880,7765114,18659095
41,Intangible Assets,- -,- -,330000,291070,292400,- -,- -,- -,- -,2956280,8881510,76723911
42,Investments,- -,- -,- -,290,290,- -,- -,- -,100000,100000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,30000,2410,2390,2390,2387,- -,449090,1284710,- -,17853787
45,Total Non-Current Assets,- -,- -,380000,325390,315120,16460,6529,638,1783130,11511410,16090270,106212484
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000,- -,1140000,442460,508660,112670,89215,108640,5043680,14474320,18982560,116809133
48,Accounts Payable,- -,- -,1890000,1868210,1639530,1640330,1692057,1692256,725510,1076550,1977207,3759818
49,Short-Term Debt,- -,- -,477500,75951,1352337,72500,335318,531000,25000,4771714,5523630,5869988
