,https://roic.ai/company/IGXT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,265901,862731,976610,1278700,1337000,440000,1208000,948000,1659000,5095000,5220000,5195000,1824000,742000,1544000,1535000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433000,319000,373000,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,265901,862731,976610,1278700,1337000,440000,1208000,948000,1659000,4662000,4901000,4822000,1824000,742000,1544000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9150,0.9389,0.9282,1.0000,1.0000,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,510407,777773,2085433,1421700,1565000,1336000,1723000,561000,1075000,1033000,1766000,2615000,5104000,3774000,2637000,2717000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,1459844,1381300,2730000,1513000,1645000,- -,- -,- -,- -,- -,- -,- -,4437000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",108,7545,9906,488602,919622,1459844,1381300,2730000,1513000,1645000,1954000,2290000,2072000,3605000,3965000,4999000,5800000,4437000,3753000
9,Other Expenses,- -,- -,- -,33912,-132365,-376835,-237900,44000,37000,46000,72000,74000,171000,511000,735000,719000,718000,734000,- -
10,Operating Expenses,- -,- -,- -,1032921,1565030,3168442,2565100,4339000,2886000,3414000,2587000,3439000,3276000,5882000,7315000,10822000,10292000,7808000,6470000
11,COGS and Expenses,108,7545,9906,1032921,944022,3168442,2565100,4339000,2886000,3414000,2587000,3439000,3709000,6201000,7688000,10822000,10292000,7808000,- -
12,Interest Income ,- -,- -,- -,- -,27357,30864,- -,- -,- -,- -,- -,34000,28000,4000,11000,11000,97000,422000,- -
13,Interest Expense (Gain),- -,297,1217,54724,349110,766136,784400,98000,3000,3000,- -,- -,123000,203000,569000,1121000,1207000,1202000,-1488000
14,Depreciation and Amortization,- -,- -,- -,33912,42005,51772,44600,44000,37000,46000,72000,74000,171000,511000,735000,719000,718000,734000,- -
15,EBITDA,-108,-7545,-9906,-692500,-709678,-2140060,-1241700,-2954000,-2412000,-2201000,-1567000,-1672000,1585000,-466000,-1747000,-8268000,-8735000,-5108000,-10806000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-2.6044,-0.8226,-2.1913,-0.9711,-2.2094,-5.4818,-1.8220,-1.6530,-1.0078,0.3111,-0.0893,-0.3363,-4.5329,-11.7722,-3.3083,-7.0397
17,Operating Income,-108,-7545,-9906,-767020,-1100793,-2191832,-1286400,-3002000,-2446000,-2206000,-1639000,-1780000,1386000,-981000,-2493000,-8998000,-9550000,-6264000,-7982000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-2.8846,-1.2759,-2.2443,-1.0060,-2.2453,-5.5591,-1.8262,-1.7289,-1.0729,0.2720,-0.1879,-0.4799,-4.9331,-12.8706,-4.0570,-5.2000
19,Total Other Income Expenses (Gains),- -,- -,- -,-14116,- -,-766136,-784300,-94000,-6000,-44000,- -,34000,-95000,-199000,-558000,-1110000,-1110000,-780000,-1336000
20,Income Before Tax,- -,- -,- -,-781136,-1100793,-2957968,-2070700,-3096000,-2452000,-2250000,-1639000,-1746000,1291000,-1180000,-3051000,-10108000,-10660000,-7044000,-9318000
21,Income Before Tax Ratio,- -,- -,- -,-2.9377,-1.2759,-3.0288,-1.6194,-2.3156,-5.5727,-1.8626,-1.7289,-1.0524,0.2534,-0.2261,-0.5873,-5.5417,-14.3666,-4.5622,-6.0704
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-151581,-130300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000
23,Net Income,-108,-7842,-11123,-781136,-1100793,-2806387,-1940400,-3096000,-2452000,-2250000,-1639000,-1746000,1291000,-1180000,-3051000,-10108000,-10660000,-7044000,-9312000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-2.9377,-1.2759,-2.8736,-1.5175,-2.3156,-5.5727,-1.8626,-1.7289,-1.0524,0.2534,-0.2261,-0.5873,-5.5417,-14.3666,-4.5622,-6.0664
25,EPS,-0.00,-0.01,-0.01,-0.05,-0.07,-0.14,-0.07,-0.08,-0.05,-0.04,-0.03,-0.03,0.01,-0.02,-0.04,-0.14,-0.11,-0.07,-0.09
26,EPS Diluted,-0.00,-0.01,-0.01,-0.05,-0.07,-0.14,-0.07,-0.08,-0.05,-0.04,-0.03,-0.03,0.01,-0.02,-0.04,-0.14,-0.11,-0.07,-0.09
27,Weighted Average Shares Outstanding,1500000,1500000,1500000,14335000,16042791,19657224,24527541,35325107,43736003,49637908,54023739,63182224,63524023,63956543,66152830,74121922,93525413,108440888,102908037
28,Weighted Average Shares Outstanding Diluted,1500000,1500000,1500000,14335000,16042791,19657224,24527541,35325107,43736003,49637908,54023739,63182224,70855146,63956543,66152830,74121922,93525413,108440888,102908037
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1098880/000120445908000616/0001204459-08-000616-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1098880/000106299320001503/0001062993-20-001503-index.htm,https://www.sec.gov/Archives/edgar/data/1098880/000106299321002995/0001062993-21-002995-index.htm,https://www.sec.gov/Archives/edgar/data/1098880/000106299322008487/0001062993-22-008487-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,227578,- -,555999,1524900,1144000,3505000,2059000,5005000,4399000,2865000,612000,1591000,6815000,1332000,1205000,3945000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3884000,3313000,4180000,580000,1038000,6004000
33,Cash and Short-Term Investments,- -,- -,- -,227578,- -,555999,1524900,1144000,3505000,2059000,5005000,4399000,2865000,4496000,4904000,10995000,1912000,2243000,9949000
34,Net Receivables,- -,- -,- -,188483,- -,586219,1130100,475000,723000,1495000,412000,760000,1237000,1290000,937000,1231000,381000,1249000,680000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000,382000,244000,62000
36,Other Current Assets,- -,- -,- -,72914,- -,322156,48100,47000,68000,102000,133000,96000,70000,566000,203000,462000,545000,569000,746000
37,Total Current Assets,- -,- -,- -,488975,- -,1464374,2703100,1666000,4296000,3656000,5550000,5255000,4172000,6352000,6044000,13063000,3220000,4305000,11437000
38,PP&E,- -,- -,- -,161861,235244,157156,158400,159000,149000,387000,588000,983000,4238000,5730000,6346000,6248000,6365000,6561000,1003000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,125000,116000,79000,46000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,125000,116000,79000,46000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000,708000,757000,707000,1435000,252000,5465000
45,Total Non-Current Assets,- -,- -,- -,161861,235244,157156,158400,159000,274000,503000,667000,1029000,4744000,6438000,7103000,6955000,7800000,6813000,6468000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,650836,235244,1621530,2861500,1825000,4570000,4159000,6217000,6284000,8916000,12790000,13147000,20018000,11020000,11118000,17905000
48,Accounts Payable,- -,2224,350,129994,- -,- -,- -,- -,- -,- -,- -,- -,1595000,897000,1305000,2030000,1941000,1989000,- -
49,Short-Term Debt,- -,- -,- -,24026,- -,714502,- -,- -,- -,- -,- -,- -,184000,704000,772000,692000,6506000,2213000,285000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
