,https://roic.ai/company/AITX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,72256,114024,87385,6750,- -,- -,106476,114671,260768,360888
2,COGS,32404,69809,68324,- -,- -,- -,45000,4522,83760,98167
3,Gross Profit,39852,44215,19061,6750,- -,- -,61476,110149,177008,262721
4,Gross Profit Ratio,0.5515,0.3878,0.2181,1.0000,- -,- -,0.5774,0.9606,0.6788,0.7280
5,Research and Development Exp.,- -,- -,30000,63178,- -,- -,493000,540971,332520,378236
6,General and Administrative Exp.,- -,- -,- -,- -,- -,301575,2391664,3529088,1536568,2757955
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,301575,2391664,3529088,1536568,2757955
9,Other Expenses,4113886,352793,646689,595679,572471,- -,130081,114612,102241,120846
10,Operating Expenses,4113886,352793,676689,658857,572471,301575,3014745,4184671,1971329,3257037
11,COGS and Expenses,4146290,422602,745013,658857,572471,301575,3059745,4189193,2055089,3355204
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),14373,10598,109047,375412,647990,811383,12411883,6747025,3465098,3379833
14,Depreciation and Amortization,8165,9214,14874,11874,18583,767,130081,114612,102241,120846
15,EBITDA,-4065869,-353364,-642754,-662142,-553888,-343808,-11707037,22223174,-2646310,-2398232
16,EBITDA ratio,-56.2703,-3.0990,-7.3554,-98.0951,-Infinity,-Infinity,-109.9500,193.7994,-10.1481,-6.6454
17,Operating Income,-4074034,-308578,-657628,-652107,-619965,-295786,-3516825,-4147694,-1782806,-2994869
18,Operating Income ratio,-56.3833,-2.7063,-7.5256,-96.6084,-Infinity,-Infinity,-33.0293,-36.1704,-6.8368,-8.2986
19,Total Other Income Expenses (Gains),- -,-64598,-109047,-375412,-647990,34141684,-20732176,19509231,-4430843,-2904042
20,Income Before Tax,- -,-373176,-766675,-1027519,-1267955,33845898,-24249001,15361537,-6213649,-5898911
21,Income Before Tax Ratio,- -,-3.2728,-8.7735,-152.2250,-Infinity,Infinity,-227.7415,133.9618,-23.8283,-16.3455
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4088407,-373176,-766675,-1049428,-1267955,33845898,-24249001,15361537,-6213649,-5898911
24,Net Income ratio,-56.5822,-3.2728,-8.7735,-155.4708,-Infinity,Infinity,-227.7415,133.9618,-23.8283,-16.3455
25,EPS,-11049.75,-1008.58,-1659.47,-1049428.00,-316988.75,1990935.18,-193992.01,5500.00,-21.06,-0.01
26,EPS Diluted,-11049.75,-1008.58,-1659.47,-1049428.00,-316988.75,1990935.18,-193992.01,-100.00,-31.46,-0.01
27,Weighted Average Shares Outstanding,370,370,462,1,4,17,125,2772,197539,1015115270
28,Weighted Average Shares Outstanding Diluted,370,370,462,1,4,17,125,195617,197539,1015115270
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1498148/000116169719000466/0001161697-19-000466-index.htm,https://www.sec.gov/Archives/edgar/data/1498148/000116169720000334/0001161697-20-000334-index.htm,https://www.sec.gov/Archives/edgar/data/1498148/000116169721000289/0001161697-21-000289-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,18690,18718,32618,2679,2223,3100,24773,21192,13307,1044418
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18690,18718,32618,2679,2223,3100,24773,21192,13307,1044418
34,Net Receivables,5702,3794,755,5250,- -,- -,68000,39964,50117,98544
35,Inventory,17135,22010,3815,- -,- -,- -,316113,273496,24789,64071
36,Other Current Assets,- -,- -,- -,- -,3484,- -,83103,32029,- -,- -
37,Total Current Assets,41527,44522,37188,7929,5707,3100,491989,366681,88213,1207033
38,PP&E,37839,32625,17751,80130,3739,- -,158205,224368,255429,356461
39,Goodwill,108724,54724,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,16333,12333,- -,- -,- -,- -,56248,- -,- -,- -
41,Intangible Assets,125057,67057,- -,- -,- -,- -,56248,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,30141,- -,- -,3859
45,Total Non-Current Assets,162896,99682,17751,80130,3739,- -,244594,224368,255429,360320
