,https://roic.ai/company/TMDX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,6209000,7685000,13017000,23604000,25639000,30262000
2,COGS,5443000,5548000,7283000,9741000,9004000,9103000
3,Gross Profit,766000,2137000,5734000,13863000,16635000,21159000
4,Gross Profit Ratio,0.1234,0.2781,0.4405,0.5873,0.6488,0.6992
5,Research and Development Exp.,15637000,14957000,13656000,19870000,18831000,22304000
6,General and Administrative Exp.,- -,7606000,12315000,23596000,24188000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,7606000,12315000,23596000,24188000,38283000
9,Other Expenses,8115000,- -,- -,- -,- -,- -
10,Operating Expenses,23752000,22563000,25971000,43466000,43019000,60587000
11,COGS and Expenses,29195000,28111000,33254000,53207000,52023000,69690000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),979000,1072000,2720000,4353000,3985000,3874000
14,Depreciation and Amortization,426000,630000,769000,1222000,1577000,1817000
15,EBITDA,-22660000,-19089000,-20226000,-27932000,-23154000,-38488000
16,EBITDA ratio,-3.6495,-2.4839,-1.5538,-1.1834,-0.9031,-1.2718
17,Operating Income,-22986000,-20426000,-20237000,-29603000,-26384000,-39428000
18,Operating Income ratio,-3.7020,-2.6579,-1.5547,-1.2542,-1.0291,-1.3029
19,Total Other Income Expenses (Gains),-1079000,-365000,-3478000,-3904000,-2332000,-4751000
20,Income Before Tax,-24065000,-20791000,-23715000,-33507000,-28716000,-44179000
21,Income Before Tax Ratio,-3.8758,-2.7054,-1.8218,-1.4195,-1.1200,-1.4599
22,Income Tax expense (Gain),- -,32000,41000,40000,32000,36000
23,Net Income,-24065000,-20823000,-23756000,-33547000,-28748000,-44215000
24,Net Income ratio,-3.8758,-2.7096,-1.8250,-1.4212,-1.1213,-1.4611
25,EPS,-1.66,-1.44,-1.60,-2.36,-1.16,-1.79
26,EPS Diluted,-1.66,-1.44,-1.60,-2.36,-1.16,-1.79
27,Weighted Average Shares Outstanding,14478118,14478118,14478118,14204787,24702764,24702764
28,Weighted Average Shares Outstanding Diluted,14478118,14478118,14478118,14204787,24702764,24702764
