,https://roic.ai/company/MUSA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,15592117000,18919216000,19655436000,18083335000,17209919000,12699411000,11594553000,12826553000,14362300000,14034600000,11264300000,17360500000
2,COGS,14771158000,17987670000,18726832000,17116484000,16092587000,11740898000,10578439000,11764615000,13273600000,12908100000,9821400000,15511600000
3,Gross Profit,820959000,931546000,928604000,966851000,1117332000,958513000,1016114000,1061938000,1088700000,1126500000,1442900000,1848900000
4,Gross Profit Ratio,0.0527,0.0492,0.0472,0.0535,0.0649,0.0755,0.0876,0.0828,0.0758,0.0803,0.1281,0.1065
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,132999000,120901000,129277000,122669000,141171000,136200000,144600000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,132999000,120901000,129277000,122669000,141171000,136200000,144600000,- -,193600000
9,Other Expenses,589728000,620305000,720630000,568929000,601960000,574472000,593580000,633624000,677300000,713600000,883500000,1042400000
10,Operating Expenses,589728000,620305000,720630000,701928000,722861000,703749000,716249000,774795000,813500000,858200000,883500000,1236000000
11,COGS and Expenses,15360886000,18607975000,19447462000,17818412000,16815448000,12444647000,11294688000,12539410000,14087100000,13766300000,10704900000,16747600000
12,Interest Income ,110000,32000,172000,1099000,244000,2177000,578000,1309000,1500000,3200000,1000000,100000
13,Interest Expense (Gain),3835000,408000,505000,14509000,36646000,33531000,39704000,46660000,52900000,54900000,51200000,82400000
14,Depreciation and Amortization,60698000,64879000,76622000,74130000,79234000,86568000,98610000,116966000,134000000,152200000,161000000,212600000
15,EBITDA,307003000,512267000,222867000,425023000,486084000,377137000,490345000,403648000,460800000,409500000,721300000,816900000
16,EBITDA ratio,0.0197,0.0271,0.0113,0.0235,0.0282,0.0297,0.0423,0.0315,0.0321,0.0292,0.0640,0.0471
17,Operating Income,231231000,311241000,146986000,264923000,394471000,254764000,299865000,283193000,325100000,268500000,559000000,604000000
18,Operating Income ratio,0.0148,0.0165,0.0075,0.0147,0.0229,0.0201,0.0259,0.0221,0.0226,0.0191,0.0496,0.0348
19,Total Other Income Expenses (Gains),-3465000,-428000,-1246000,-7246000,-25048000,-36475000,52166000,-43171000,-51200000,-66100000,-49900000,-82100000
20,Income Before Tax,227766000,310813000,145740000,257677000,369423000,218289000,352031000,240022000,273900000,202400000,509100000,521900000
21,Income Before Tax Ratio,0.0146,0.0164,0.0074,0.0142,0.0215,0.0172,0.0304,0.0187,0.0191,0.0144,0.0452,0.0301
22,Income Tax expense (Gain),85029000,122960000,62172000,101351000,126341000,80698000,130539000,-5242000,60300000,47600000,123000000,125000000
23,Net Income,157441000,324020000,83568000,235033000,243863000,176340000,221492000,245264000,213600000,154800000,386100000,396900000
24,Net Income ratio,0.0101,0.0171,0.0043,0.0130,0.0142,0.0139,0.0191,0.0191,0.0149,0.0110,0.0343,0.0229
25,EPS,3.37,6.93,1.30,5.03,5.29,4.06,5.64,6.85,6.54,4.90,13.25,15.36
26,EPS Diluted,3.35,6.93,1.29,5.02,5.26,4.02,5.59,6.78,6.48,4.86,13.08,15.14
27,Weighted Average Shares Outstanding,46722000,46743000,47625000,46743000,46104000,43434000,39269000,35816000,32674000,31594000,29132000,25779000
28,Weighted Average Shares Outstanding Diluted,46959000,46743000,47817000,46858000,46417000,43794000,39646000,36156000,32983000,31858000,29526000,26153000
