,https://roic.ai/company/DIDI,2018,2019,2020
0,INCOME STATEMENT, , , 
1,Revenue,135288024000,154786128000,141736152000
2,COGS,127842449000,139664754000,125824104000
3,Gross Profit,7445575000,15121374000,15912048000
4,Gross Profit Ratio,0.0550,0.0977,0.1123
5,Research and Development Exp.,4377452000,5347420000,6316802000
6,General and Administrative Exp.,7907028000,10292803000,12246702000
7,Selling and Marketing Exp.,7603624000,7494528000,11136486000
8,"Selling, General and Administrative Exp.",15510652000,17787331000,23383188000
9,Other Expenses,- -,- -,- -
10,Operating Expenses,19888104000,23134751000,29699990000
11,COGS and Expenses,147730553000,162799505000,155524094000
12,Interest Income ,1457683000,1361129000,1228580000
13,Interest Expense (Gain),44101000,70317000,136347000
14,Depreciation and Amortization,2784556000,4011688000,5269089000
15,EBITDA,-12663040000,-5994462000,-5412264000
16,EBITDA ratio,-0.0936,-0.0387,-0.0382
17,Operating Income,-12442529000,-8013377000,-13787942000
18,Operating Income ratio,-0.0920,-0.0518,-0.0973
19,Total Other Income Expenses (Gains),-3049896000,-2067672000,2877202000
20,Income Before Tax,-15492425000,-10081049000,-10910740000
21,Income Before Tax Ratio,-0.1145,-0.0651,-0.0770
22,Income Tax expense (Gain),-513915000,-348008000,-303202000
23,Net Income,-14977782000,-9728459000,-10514498000
24,Net Income ratio,-0.1107,-0.0629,-0.0742
25,EPS,-3.76,-2.34,-2.57
26,EPS Diluted,-3.76,-2.34,-2.57
27,Weighted Average Shares Outstanding,4160050468,4160050468,4160050468
28,Weighted Average Shares Outstanding Diluted,4160050468,4160050468,4160050468
29,SEC Link,- -,- -,- -
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,14462888000,12790790000,19372084000
32,Short-Term Investments,38269026000,41360209000,37397569000
33,Cash and Short-Term Investments,52731914000,54150999000,56769653000
34,Net Receivables,5391931000,6152942000,7736945000
35,Inventory,153611000,201231000,261550000
36,Other Current Assets,1623338000,2248439000,3913331000
37,Total Current Assets,59900794000,62753611000,68681479000
38,PP&E,6506960000,8777134000,12401519000
39,Goodwill,50255028000,50163242000,49124172000
40,Intangible Assets,9537660000,7426030000,5297396000
41,Intangible Assets,59792688000,57589272000,54421568000
42,Investments,16307424000,13413860000,7677985000
43,Tax Assets,43956000,88055000,190951000
44,Other Non-Current Assets,260148000,2098601000,3891893000
45,Total Non-Current Assets,82911176000,81966922000,78583916000
46,Other Assets,- -,- -,- -
47,Total Assets,142811970000,144720533000,147265395000
48,Accounts Payable,3260143000,3499247000,4487439000
49,Short-Term Debt,1750000000,1059827000,6505425000
50,Tax Payable,751532000,1075466000,496392000
51,Deferred Revenue,458480000,719758000,915430000
52,Other Current Liabilities,6770152000,9266589000,14451371000
53,Total Current Liabilities,12238775000,14545421000,26359665000
54,Long-Term Debt,- -,1703113000,2624864000
55,Deferred Revenue,- -,- -,- -
56,Deferred Tax Liabilities,1663667000,1214523000,843715000
57,Other Non-Current Liabilities,99068000,99694000,3732670000
58,Total Non-Current Liabilities,1762735000,3017330000,7201249000
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,- -,1366340000,1850505000
61,Total Liabilities,14001510000,17562751000,33560914000
62,Preferred Stock,186278055000,189847244000,189838979000
63,Common Stock,13000,13000,16000
64,Retained Earnings,-65815884000,-75742871000,-86411179000
65,Other Comprehensive Income/Loss,2507369000,3932255000,-1984697000
66,Other Total Stockholders Equity,5804570000,8944586000,12177847000
67,Total Stockholders Equity,128774123000,126981227000,113620966000
68,Total Liabilities And Stockholders Equity,142775633000,144543978000,147181880000
69,Minority Interest,36337000,176555000,83515000
70,Total Liabilities & Equity,142811970000,144720533000,147265395000
71,SEC Link,- -,- -,- -
72,CASH FLOW STATEMENT, , , 
73,Net Income,-14977782000,-9728459000,-10514498000
74,Depreciation and Amortization,2784556000,4011688000,5269089000
75,Deferred Income Tax,-564862000,-493243000,-473704000
76,Stock Based Compensation,1678476000,3140016000,3413292000
77,Change in Working Capital,-2567783000,580089000,3612761000
78,Accounts Receivable,-1363288000,-1182810000,-477036000
79,Inventory,- -,- -,- -
80,Accounts Payable,-622364000,249902000,1225952000
81,Other Working Capital,200687000,261278000,195672000
82,Other Non-Cash Items,4418943000,3934559000,-169318000
83,Cash Provided by Operating Activities,-9228452000,1444650000,1137622000
84,CAPEX,-5483694000,-2252488000,-5799097000
85,Acquisitions Net,-1915834000,- -,- -
86,Purchases of Investments,-57627013000,-58135860000,-72219366000
87,Sales/Maturities of Investments,48618621000,54003403000,77807896000
88,Other Investing Activites,-2041528000,234167000,-1735756000
89,Cash Used for Investing Activites,-18449448000,-6150778000,-1946323000
90,Debt Repayment,-1400000000,-2053143000,-976886000
91,Common Stock Issued,- -,- -,- -
92,Common Stock Repurchased,-2533127000,-199655000,-12389000
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,27209996000,5204560000,10263325000
95,Cash Used/Provided by Financing Activities,23276869000,2951762000,9274050000
96,Effect of Forex Changes on Cash,833683000,510824000,-514434000
97,Net Change In Cash,-3172881000,-1672098000,6581294000
98,Cash at the End of Period,14462888000,12790790000,19372084000
99,Cash at the Beginning of Period,17635769000,14462888000,12790790000
100,Free Cash Flow,-14712146000,-807838000,-4661475000
101,SEC Link,- -,- -,- -
102,Forex Rate,0.1453,0.1436,0.1532
