,https://roic.ai/company/SACH,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,1546126,2559550,3540393,6332743,10047479,9707350,13048271,30424552
2,COGS,- -,- -,- -,664134,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,5668609,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,0.8951,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,75895,210407,350229,988259,1685118,2012960,2362496,2243038
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",75895,210407,350229,988259,1685118,2012960,2362496,2243038
9,Other Expenses,- -,- -,649771,73142,413246,3987040,- -,14862818
10,Operating Expenses,- -,- -,1000000,1061401,2098364,6000000,- -,17105856
11,COGS and Expenses,- -,- -,- -,1725535,- -,- -,- -,17105856
12,Interest Income ,1418814,2477876,3648427,5434502,8960883,9751733,13821831,- -
13,Interest Expense (Gain),13281,221698,505135,664134,1665891,2938237,5547406,- -
14,Depreciation and Amortization,- -,- -,- -,28358,32529,63566,61865,1215200
15,EBITDA,1483093,2528601,3555762,5553340,9470205,9197814,14603136,14533896
16,EBITDA ratio,0.9592,0.9879,1.0043,0.8769,0.9425,0.9475,1.1192,0.4777
17,Operating Income,1469812,2306903,3050627,4860669,-185443,- -,- -,- -
18,Operating Income ratio,0.9506,0.9013,0.8617,0.7675,-0.0185,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,179,7957228,- -,- -,- -
20,Income Before Tax,1469812,2306903,3050627,4860848,7771785,6196011,8993865,13318696
21,Income Before Tax Ratio,0.9506,0.9013,0.8617,0.7676,0.7735,0.6383,0.6893,0.4378
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,1469812,2306903,3050627,4860848,7771785,6196011,8993865,13318696
24,Net Income ratio,0.9506,0.9013,0.8617,0.7676,0.7735,0.6383,0.6893,0.4378
25,EPS,0.17,0.24,0.26,0.38,0.50,0.32,0.41,0.60
26,EPS Diluted,0.17,0.24,0.26,0.38,0.50,0.32,0.41,0.60
27,Weighted Average Shares Outstanding,8533237,8533237,11533237,11956246,15425772,19415237,22118522,22118522
28,Weighted Average Shares Outstanding Diluted,8533237,8533237,11533237,11956246,15425772,19415237,22118522,22118522
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1682220/000114420417019485/0001144204-17-019485-index.htm,https://www.sec.gov/Archives/edgar/data/1682220/000114420418018601/0001144204-18-018601-index.html,https://www.sec.gov/Archives/edgar/data/1682220/000114420419017051/0001144204-19-017051-index.html,https://www.sec.gov/Archives/edgar/data/1682220/000110465920039904/0001104659-20-039904-index.html,https://www.sec.gov/Archives/edgar/data/1682220/000110465921044384/0001104659-21-044384-index.htm,https://www.sec.gov/Archives/edgar/data/1682220/000141057822000767/0001410578-22-000767-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,5874921,1834082,1561863,954223,99310,18841937,19408028,102572558
32,Short-Term Investments,- -,- -,- -,- -,- -,15949802,37293703,102572558
33,Cash and Short-Term Investments,5874921,1834082,1561863,954223,99310,34791739,56701731,205145116
