,https://roic.ai/company/QIWI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,6157635000,8158097000,8911438000,11666050000,14718727000,17716967000,17880000000,20897000000,30610000000,39336000000,40622000000
2,COGS,3750969000,5572609000,5454288000,6396499000,7273099000,8695104000,8646000000,9763000000,15129000000,16160000000,22602000000
3,Gross Profit,2406666000,2585488000,3457150000,5269551000,7445628000,9021863000,9234000000,11134000000,15481000000,23176000000,18020000000
4,Gross Profit Ratio,0.3908,0.3169,0.3879,0.4517,0.5059,0.5092,0.5164,0.5328,0.5057,0.5892,0.4436
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1070926000,1211873000,1424694000,1866559000,2078914000,2400771000,2523000000,4322000000,6469000000,10450000000,1734000000
7,Selling and Marketing Exp.,205407000,147076000,39924000,171914000,513358000,241606000,165000000,1294000000,2369000000,1967000000,301000000
8,"Selling, General and Administrative Exp.",1276333000,1358949000,1464618000,2038473000,2592272000,2642377000,2688000000,5616000000,8838000000,12417000000,2035000000
9,Other Expenses,278364000,270948000,301349000,415634000,692672000,1153480000,1316000000,1203000000,2171000000,3465000000,1889000000
10,Operating Expenses,1554697000,1629897000,1765967000,2454107000,3284944000,3795857000,4004000000,6819000000,11009000000,15882000000,3924000000
11,COGS and Expenses,5305666000,7202506000,7220255000,8850606000,10558043000,12490961000,12650000000,16582000000,26138000000,32042000000,26526000000
12,Interest Income ,5393000,6146000,25510000,22204000,1692000,16198000,36000000,- -,- -,- -,- -
13,Interest Expense (Gain),2145000,4064000,7520000,28686000,41513000,109312000,64000000,- -,- -,- -,- -
14,Depreciation and Amortization,191262000,156586000,137101000,113100000,353400000,688666000,796000000,796000000,864000000,1324000000,1266000000
15,EBITDA,1091152000,921166000,1462488000,2624521000,6313559000,6862398000,3952000000,4608000000,5323000000,7648000000,13227000000
16,EBITDA ratio,0.1772,0.1129,0.1641,0.2250,0.4289,0.3873,0.2210,0.2205,0.1739,0.1944,0.3256
17,Operating Income,816461000,901202000,1485666000,2543254000,4010051000,4864158000,4137000000,3991000000,4449000000,6440000000,14064000000
18,Operating Income ratio,0.1326,0.1105,0.1667,0.2180,0.2724,0.2745,0.2314,0.1910,0.1453,0.1637,0.3462
19,Total Other Income Expenses (Gains),4776000,-74700000,-29796000,-98371000,1852372000,1286610000,-1030000000,-151000000,52000000,-61000000,301000000
20,Income Before Tax,821237000,826502000,1455870000,2444883000,5862423000,6150768000,3107000000,3840000000,4501000000,6379000000,14365000000
21,Income Before Tax Ratio,0.1334,0.1013,0.1634,0.2096,0.3983,0.3472,0.1738,0.1838,0.1470,0.1622,0.3536
22,Income Tax expense (Gain),204346000,240523000,407729000,609509000,894506000,877006000,618000000,698000000,875000000,1492000000,3119000000
23,Net Income,693399000,519993000,910138000,1873226000,5024140000,5187414000,2474000000,3114000000,3584000000,4832000000,8842000000
24,Net Income ratio,0.1126,0.0637,0.1021,0.1606,0.3413,0.2928,0.1384,0.1490,0.1171,0.1228,0.2177
25,EPS,13.33,10.00,17.50,36.00,94.09,89.72,40.91,51.25,58.56,78.20,142.04
26,EPS Diluted,13.17,10.00,17.50,35.70,92.73,89.49,40.79,50.92,58.06,77.60,141.66
