,https://roic.ai/company/FKWL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1245000,- -,- -,- -,302069,1002953,10385090,34723299,24000504,101898119,46514496,24266604,32750254,30952897,46344233,59804694,48565524,30065833,36468900,75072298,184115345
2,COGS,5431000,- -,- -,- -,207638,678155,7689730,27029015,18824010,87873396,31456165,19038346,25516854,26574293,37944155,49879514,39347065,24874119,30729411,60547813,151651324
3,Gross Profit,-4186000,- -,- -,- -,94431,324798,2695360,7694284,5176494,14024723,15058331,5228258,7233400,4378604,8400078,9925180,9218459,5191714,5739489,14524485,32464021
4,Gross Profit Ratio,-3.3622,- -,- -,- -,0.3126,0.3238,0.2595,0.2216,0.2157,0.1376,0.3237,0.2155,0.2209,0.1415,0.1813,0.1660,0.1898,0.1727,0.1574,0.1935,0.1763
5,Research and Development Exp.,1152000,- -,- -,- -,24200,36300,- -,- -,- -,- -,- -,- -,2770000,2780000,2915143,2990496,3445124,3372016,2955581,3746502,4567863
6,General and Administrative Exp.,4351000,- -,- -,- -,718159,581919,1382426,3300071,2859707,6358631,9405256,7485670,4632236,4512592,4973277,4815725,4898956,4511568,4891365,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4351000,- -,- -,- -,718159,581919,1382426,3300071,2859707,6358631,9405256,7485670,4632236,4512592,4973277,4815725,4898956,4511568,4891365,3699859,5077848
9,Other Expenses,-17610000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-330856,-64201,-16282,-147166
10,Operating Expenses,-12107000,- -,- -,- -,742359,618219,1382426,3300071,2859707,6358631,9405256,7485670,7402236,7292592,7888420,7806221,8344080,7552728,7782745,7430079,9498545
11,COGS and Expenses,-5467000,- -,- -,- -,949997,1296374,9072156,30329086,21683717,94232027,40861421,26524016,32919090,33866885,45832575,57685735,47691145,32426847,38512156,67977892,161149869
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,84845,79005,46486,31460,19541,13585,23264,10301,9650,10007,138462,159749,8789
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
