,https://roic.ai/company/UMHL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3158296,1521590,1031620,410820,1204550,3681484
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544169,309570,125510,27760,231170,2145418
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2614127,1212020,906110,383060,973380,1536066
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8277,0.7965,0.8783,0.9324,0.8081,0.4172
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2225,17250,- -,269892,25010,666842,559553,94775,84641,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2225,17250,- -,269892,25010,666842,559553,94775,84641,2926809,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,204937,- -,- -,- -,- -,- -,- -,- -,1403376,1499324,811814,854212,815111
10,Operating Expenses,- -,- -,- -,204937,- -,- -,- -,559553,94775,84641,2926809,1403376,1499324,811814,854212,815111
11,COGS and Expenses,- -,2225,17250,204937,269892,25010,666842,560000,90000,80000,3470978,1712950,1624830,839580,1085380,2960529
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,534,1644,2358,2895,3780,169201,15171,25323,22675,24366,24033,17142
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47623,70060,67995,73409,78170,88276
15,EBITDA,- -,-2225,-17250,-204937,-269892,-25010,-666842,-560000,-90000,-90000,-266764,-113647,-407720,-286085,155243,686403
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0845,-0.0747,-0.3952,-0.6964,0.1289,0.1864
17,Operating Income,- -,- -,- -,-204937,-269892,-25010,-666842,-559553,-94775,-84641,-312682,-191355,-593211,-428754,119171,720955
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0990,-0.1258,-0.5750,-1.0437,0.0989,0.1958
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-1644,-2358,-447,4775,-5359,-15171,-25325,-22679,-24366,-24031,-17142
20,Income Before Tax,- -,- -,- -,-204937,- -,-26654,-669200,-560000,-90000,-90000,-327853,-216680,-615890,-453120,95140,703813
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.1038,-0.1424,-0.5970,-1.1030,0.0790,0.1912
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27701,10770,112380,- -,- -,205271
