,https://roic.ai/company/COMS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,2323072,2698469,951734,637836,1685650,2988393,1454337,858054,472159,1468462,562078,2722713,4712212,9426836
2,COGS,1155627,1532073,530268,318936,828842,1305853,854471,675253,282753,557725,338579,2214166,2990716,4595961
3,Gross Profit,1167445,1166396,421466,318900,856808,1682540,599866,182801,189406,910737,223499,508547,1721496,4830875
4,Gross Profit Ratio,0.5025,0.4322,0.4428,0.5000,0.5083,0.5630,0.4125,0.2130,0.4011,0.6202,0.3976,0.1868,0.3653,0.5125
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174257,2012689
6,General and Administrative Exp.,- -,- -,1907604,1995867,2639883,1717622,777920,1904793,9163556,9732219,- -,8639364,14325078,17484764
7,Selling and Marketing Exp.,- -,- -,- -,- -,239769,816273,- -,- -,- -,- -,- -,- -,6222,24049
8,"Selling, General and Administrative Exp.",- -,- -,1907604,1995867,2879652,2533895,777920,1904793,9163556,9732219,- -,8639364,14331300,17508813
9,Other Expenses,1822605,2080819,254510,1,243318,491176,- -,- -,- -,- -,10069841,- -,7567184,12531452
10,Operating Expenses,1822605,2080819,2162114,1995868,3122970,3025071,777920,1904793,9163556,9732219,10069841,8639364,22072741,32052954
11,COGS and Expenses,2978232,3612892,2692382,2314804,3951812,4330924,1632391,2580046,9446309,10289944,10408420,10853530,25063457,36648915
12,Interest Income ,25753,9909,898,662,134,164,6681,235,192,- -,- -,- -,- -,2114
13,Interest Expense (Gain),- -,65208,58820,138833,170675,150951,69311,2372,1904,349994,1627297,344496,8399663,11309143
14,Depreciation and Amortization,66819,28160,214215,248522,243319,517507,3384,2477,57890,204122,328723,329984,7702726,12531452
15,EBITDA,-602337,-956506,-1576627,-1536188,-2120450,-1107587,-167989,-2113070,-8916068,-7979399,-8367972,-7800833,-15580766,-16147269
16,EBITDA ratio,-0.2593,-0.3545,-1.6566,-2.4084,-1.2579,-0.3706,-0.1155,-2.4626,-18.8836,-5.4338,-14.8876,-2.8651,-3.3065,-1.7129
17,Operating Income,-655160,-914423,-1740648,-1676967,-2266162,-1342531,-178054,-1721992,-8974150,-8821482,-9846342,-8130817,-20252835,-27221416
18,Operating Income ratio,-0.2820,-0.3389,-1.8289,-2.6292,-1.3444,-0.4492,-0.1224,-2.0069,-19.0066,-6.0073,-17.5178,-2.9863,-4.2979,-2.8877
19,Total Other Income Expenses (Gains),-14296,-135451,-109014,-246576,-268282,-238906,-62630,-395927,-1712,287967,-477650,-344496,-11430320,-12766448
20,Income Before Tax,-669456,-1049874,-1849662,-1923543,-2534444,-1581437,-240684,-2117919,-8975862,-8533515,-10323992,-8475313,-31683155,-39987864
21,Income Before Tax Ratio,-0.2882,-0.3891,-1.9435,-3.0157,-1.5035,-0.5292,-0.1655,-2.4683,-19.0103,-5.8112,-18.3675,-3.1128,-6.7236,-4.2419
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,5571,- -,- -,- -,- -,-4137900,-2906400
23,Net Income,-669156,-1049874,-1849662,-1923543,-2534444,-1776045,-240684,-2123490,-8975862,-8533515,-10323992,-8475313,-27545255,-37081464
24,Net Income ratio,-0.2880,-0.3891,-1.9435,-3.0157,-1.5035,-0.5943,-0.1655,-2.4748,-19.0103,-5.8112,-18.3675,-3.1128,-5.8455,-3.9336
25,EPS,-242.27,-303.37,-303.37,-182.02,-121.35,-60.67,-7.85,-18.00,-13.35,-3.69,-3.45,-2.67,-1.71,-0.82
26,EPS Diluted,-242.27,-303.37,-303.37,-182.02,-121.35,-60.67,-7.85,-18.00,-13.35,-3.69,-3.45,-2.67,-1.71,-0.82
27,Weighted Average Shares Outstanding,2762,3510,5815,12004,17873,27379,30645,131560,678139,2306501,2985452,3182355,16238016,45293697
28,Weighted Average Shares Outstanding Diluted,2762,3510,5815,12004,17873,27379,30645,131560,678139,2306501,2985452,3182355,16238016,45293697
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1178727/000101376212000474/0001013762-12-000474-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376213000331/0001013762-13-000331-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376214000308/0001013762-14-000308-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376215000274/0001013762-15-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000101376216001358/0001013762-16-001358-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390017002536/0001213900-17-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390018003379/0001213900-18-003379-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390019004682/0001213900-19-004682-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390020016652/0001213900-20-016652-index.htm,https://www.sec.gov/Archives/edgar/data/1178727/000121390021018749/0001213900-21-018749-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25668,101397,51120,187025,273132,659204,706211,1369896,2659734,2015214,615375,2282365,812452,730502
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,25668,101397,51120,187025,273132,659204,706211,1369896,2659734,2015214,615375,2282365,812452,730502
34,Net Receivables,812908,134199,103861,31535,288201,74056,38791,30170,83288,394000,110065,18000,2170254,787333
35,Inventory,- -,- -,- -,- -,- -,- -,- -,39404,118795,459885,991697,307925,4671396,4538432
36,Other Current Assets,27044,47365,41399,50324,240388,519330,32594,50169,55624,120614,103008,89613,1011267,1624943
37,Total Current Assets,865620,282961,196380,268884,801721,1252590,777596,1489639,2917441,2989713,1820145,2697903,8665369,7681210
38,PP&E,54425,122332,106640,91894,97960,2189,2651,27024,136296,118843,155937,53230,3657788,5079620
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,99799,99799,99799,99799,99799,56386796,64898222
40,Intangible Assets,427694,675778,1205748,938942,- -,- -,70223,103609,1460000,1289667,997667,705667,51277482,53187714
