,https://roic.ai/company/CSTE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,198791000,259671000,296564000,356554000,447402000,499515000,538543000,588147000,575871000,545974000,486412000,643892000
2,COGS,120503000,155377000,169169000,194436000,257751000,299290000,326057000,390924000,412457000,397335000,352470000,472394000
3,Gross Profit,78288000,104294000,127395000,162118000,189651000,200225000,212486000,197223000,163414000,148639000,133942000,171498000
4,Gross Profit Ratio,0.3938,0.4016,0.4296,0.4547,0.4239,0.4008,0.3946,0.3353,0.2838,0.2722,0.2754,0.2663
5,Research and Development Exp.,2273000,2487000,2100000,2002000,2628000,3052000,3290000,4164000,3635000,4146000,3974000,4216000
6,General and Administrative Exp.,20896000,30018000,28423000,32904000,36111000,36612000,40181000,45930000,43323000,40681000,39081000,50845000
7,Selling and Marketing Exp.,16048000,34043000,46911000,51209000,55870000,59521000,70343000,81789000,74786000,66770000,62047000,85725000
8,"Selling, General and Administrative Exp.",36944000,64061000,75334000,84113000,91981000,96133000,110524000,127719000,118109000,107451000,101128000,136570000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,39217000,66548000,77434000,86115000,94609000,99185000,113814000,131883000,121744000,111597000,105102000,140786000
11,COGS and Expenses,159720000,221925000,246603000,280551000,352360000,398475000,439871000,522807000,534201000,508932000,457572000,613180000
12,Interest Income ,445000,286000,520000,655000,403000,77000,152000,1035000,1472000,1018000,870000,- -
13,Interest Expense (Gain),1566000,1775000,1947000,2347000,3770000,3432000,3895000,4126000,4176000,3910000,4307000,7590000
14,Depreciation and Amortization,10034000,14615000,14368000,14994000,17176000,22334000,28254000,29926000,28591000,28587000,29460000,35407000
15,EBITDA,47657000,49042000,62768000,91021000,113123000,117375000,119748000,67656000,61732000,51602000,45685000,63913000
16,EBITDA ratio,0.2397,0.1889,0.2117,0.2553,0.2528,0.2350,0.2224,0.1150,0.1072,0.0945,0.0939,0.0993
17,Operating Income,39071000,37746000,49961000,76003000,95042000,96386000,92804000,40543000,32767000,24683000,22521000,27429000
18,Operating Income ratio,0.1965,0.1454,0.1685,0.2132,0.2124,0.1930,0.1723,0.0689,0.0569,0.0452,0.0463,0.0426
19,Total Other Income Expenses (Gains),-2370000,-4775000,-2773000,-1314000,-1045000,-3085000,-3318000,-5583000,-3639000,-5578000,-10199000,-7590000
20,Income Before Tax,36701000,32971000,47188000,74689000,93997000,93301000,89486000,34960000,29128000,19105000,12322000,19839000
21,Income Before Tax Ratio,0.1846,0.1270,0.1591,0.2095,0.2101,0.1868,0.1662,0.0594,0.0506,0.0350,0.0253,0.0308
22,Income Tax expense (Gain),7399000,3600000,6821000,10336000,13738000,13843000,13003000,7402000,4560000,6243000,4700000,1950000
23,Net Income,28658000,29052000,39632000,63344000,78439000,77766000,74596000,26202000,24405000,12862000,7218000,18966000
24,Net Income ratio,0.1442,0.1119,0.1336,0.1777,0.1753,0.1557,0.1385,0.0446,0.0424,0.0236,0.0148,0.0295
25,EPS,1.04,1.06,1.21,1.83,2.25,2.21,2.15,0.73,0.72,0.37,0.21,0.51
26,EPS Diluted,1.04,1.06,1.21,1.80,2.22,2.19,2.15,0.73,0.72,0.37,0.21,0.51
27,Weighted Average Shares Outstanding,19565000,19565000,32641701,34666514,34932000,35252596,34706303,34334197,34357691,34383895,34419129,34462000
28,Weighted Average Shares Outstanding Diluted,19565000,19565000,32699748,35209946,35394499,35463698,34763920,34385870,34409182,34459599,34473911,34570000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1504379/000114420413017203/0001144204-13-017203-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891314001621/zk1414642.htm,https://www.sec.gov/Archives/edgar/data/1504379/000117891315000862/zk1516386.htm,https://www.sec.gov/Archives/edgar/data/1504379/000117891316004626/0001178913-16-004626-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891317000750/0001178913-17-000750-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891318000806/0001178913-18-000806-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891319000828/0001178913-19-000828-index.html,https://www.sec.gov/Archives/edgar/data/1504379/000117891320000901/0001178913-20-000901-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,29033000,22248000,42280000,62747000,106270000,138707000,93562000,139372000,114248000,74315000
32,Short-Term Investments,- -,- -,43700000,70000000,12047000,60000,- -,- -,- -,- -,8112000,11228000
33,Cash and Short-Term Investments,- -,- -,72733000,92248000,54327000,62807000,106270000,138707000,93562000,139372000,122360000,85543000
34,Net Receivables,- -,36798000,48723000,60638000,63307000,73370000,82645000,99641000,93930000,104095000,111303000,118258000
35,Inventory,- -,48085000,50550000,57867000,80212000,95479000,101474000,132940000,158492000,122686000,152073000,204725000
36,Other Current Assets,- -,13474000,11581000,14519000,15639000,18045000,19911000,6679000,4120000,8253000,- -,- -
37,Total Current Assets,- -,98357000,183587000,225272000,213485000,249701000,310300000,377967000,350104000,374406000,385736000,408526000
38,PP&E,- -,69657000,72987000,93634000,172993000,225438000,222818000,216653000,213338000,276823000,346811000,375802000
39,Goodwill,- -,42442000,42955000,39702000,37960000,35821000,35656000,37029000,35283000,35218000,- -,- -
40,Intangible Assets,- -,20626000,16898000,13372000,10059000,6883000,4546000,2241000,- -,- -,427780000,- -
41,Intangible Assets,- -,63068000,59853000,53074000,48019000,42704000,40202000,39270000,35283000,35218000,- -,55427000
42,Investments,- -,3285000,5000000,- -,- -,- -,- -,- -,- -,- -,10926000,8647000
