,https://roic.ai/company/HCI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,7660000,49533000,68378000,68615000,94839000,162886000,241088000,266108000,285952000,258217000,244406000,231292000,242474000,311048000,407915000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310437000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9980,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,100000,- -,- -,- -,- -,- -,- -,- -,16483000,20140000,19037000,25127000,25908000,31112000,33829000,45428000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",100000,- -,- -,- -,- -,- -,- -,- -,16483000,20140000,19037000,25127000,25908000,31112000,33829000,45428000
9,Other Expenses,- -,6000000,29000000,51000000,60000000,77000000,113000000,135000000,148517000,159860000,198963000,234873000,178092000,174888000,-20026000,- -
10,Operating Expenses,100000,6000000,29000000,51000000,60000000,77000000,113000000,135000000,165000000,180000000,218000000,260000000,204000000,206000000,13803000,45428000
11,COGS and Expenses,100000,6029000,28738000,50629000,60029000,78434000,113306000,134635000,165146000,179760000,211361000,260030000,204390000,206381000,274120000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,3607000,10453000,10754000,11079000,16767000,18096000,12898000,11576000,6400000
14,Depreciation and Amortization,- -,- -,37000,74000,178000,576000,1591000,2103000,4958000,5251000,5408000,9591000,10996000,8942000,8747000,- -
15,EBITDA,-100000,1631000,20832000,17823000,8764000,16981000,51171000,112163000,116373000,122197000,63343000,10734000,55994000,57933000,57251000,17633000
16,EBITDA ratio,-Infinity,0.2129,0.4206,0.2607,0.1277,0.1791,0.3142,0.4652,0.4373,0.4273,0.2453,0.0439,0.2421,0.2389,0.1841,0.0432
17,Operating Income,-100000,- -,20795000,- -,- -,- -,- -,106453000,100962000,- -,- -,- -,- -,- -,296634000,11233000
18,Operating Income ratio,-Infinity,- -,0.4198,- -,- -,- -,- -,0.4416,0.3794,- -,- -,- -,- -,- -,0.9537,0.0275
19,Total Other Income Expenses (Gains),- -,24000,- -,1248000,2215000,3708000,1424000,- -,- -,1261000,1470000,1756000,1999000,1882000,-259706000,- -
20,Income Before Tax,-100000,1631000,20795000,17749000,8586000,16405000,49580000,106453000,100962000,106192000,46856000,-15624000,26902000,36093000,36928000,11233000
21,Income Before Tax Ratio,-Infinity,0.2129,0.4198,0.2596,0.1251,0.1730,0.3044,0.4416,0.3794,0.3714,0.1815,-0.0639,0.1163,0.1489,0.1187,0.0275
22,Income Tax expense (Gain),- -,614000,8140000,6839000,3164000,6441000,19423000,40891000,38298000,40331000,17835000,-8731000,9177000,9517000,9348000,3991000
23,Net Income,-100000,1017000,12655000,10910000,5422000,9964000,30157000,65562000,62664000,65861000,29021000,-6893000,17725000,26576000,27580000,7242000
24,Net Income ratio,-Infinity,0.1328,0.2555,0.1596,0.0790,0.1051,0.1851,0.2719,0.2355,0.2303,0.1124,-0.0282,0.0766,0.1096,0.0887,0.0178
25,EPS,-0.03,0.29,2.15,1.62,0.88,1.49,3.45,5.82,5.90,6.51,2.95,-0.75,2.34,3.32,3.55,0.90
26,EPS Diluted,-0.03,0.29,2.08,1.52,0.81,1.34,3.02,5.63,5.36,5.90,2.92,-0.75,2.34,3.31,3.49,0.90
27,Weighted Average Shares Outstanding,3500000,3454667,5892000,6734568,6179000,6132000,8647826,11247079,10621695,10116897,9837627,8558000,7878000,7580000,7351000,8023000
28,Weighted Average Shares Outstanding Diluted,3500000,3454667,6070000,7177632,6674000,7445000,9879139,11626643,11691791,11162881,9938699,8558000,7895000,10238000,9694000,8023000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1400810/000119312509053827/0001193125-09-053827-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312510071463/0001193125-10-071463-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312511081369/0001193125-11-081369-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312512143523/0001193125-12-143523-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312513107280/0001193125-13-107280-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312514095565/0001193125-14-095565-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312515085302/0001193125-15-085302-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312516493381/0001193125-16-493381-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312517052232/0001193125-17-052232-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312518073515/0001193125-18-073515-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000119312519069081/0001193125-19-069081-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000156459020009164/0001564590-20-009164-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000156459021012867/0001564590-21-012867-index.htm,https://www.sec.gov/Archives/edgar/data/1400810/000095017022003351/0000950170-22-003351-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15729000,81060000,43453000,54849000,100355000,230214000,293398000,314716000,267738000,280531000,255884000,239458000,229218000,431341000,96000
32,Short-Term Investments,- -,17055000,27582000,11521000,- -,- -,44829000,129800000,142634000,173246000,219283000,296395000,249202000,203330000,71722000,196000
33,Cash and Short-Term Investments,- -,32784000,108642000,54974000,54849000,100355000,275043000,423198000,457350000,440984000,499814000,552279000,488660000,432548000,503063000,292000
34,Net Receivables,- -,3256000,5534000,5075000,6002000,12630000,11017000,24622000,47630000,58595000,27551000,141479000,146477000,165069000,169590000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-33116000,-16596000,-6002000,-12630000,-285954000,-447765000,-504892000,-499534000,-527277000,-693742000,-635109000,-597563000,-672576000,- -
37,Total Current Assets,- -,- -,81060000,43453000,54849000,100355000,106000,55000,88000,45000,88000,16000,28000,54000,77000,292000
38,PP&E,- -,36000,267000,399000,7755000,10499000,10853000,13132000,12292000,11786000,11374000,12465000,13338000,14698000,16769000,- -
39,Goodwill,- -,- -,- -,- -,- -,161000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4899000,4995000,4800000,4192000,3568000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,161000,- -,- -,- -,- -,4899000,4995000,4800000,4192000,3568000,- -
42,Investments,- -,17055000,27582000,34836000,29448000,39849000,44829000,129800000,149661000,201963000,250648000,321928000,323483000,267723000,151248000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11739000
44,Other Non-Current Assets,- -,- -,-27582000,-34836000,-29448000,63954000,221315000,-70716000,-59082000,-97049000,-193398000,-151101000,168638000,-74963000,- -,- -
45,Total Non-Current Assets,- -,- -,267000,399000,7755000,114463000,276997000,72216000,102871000,116700000,73523000,188287000,510259000,211650000,171585000,11739000
46,Other Assets,- -,39993000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1112821000,- -
47,Total Assets,- -,39993000,81327000,43852000,62604000,214818000,277103000,72271000,102959000,116745000,73611000,188303000,510287000,211704000,941313000,1176000
48,Accounts Payable,- -,1893000,6136000,- -,- -,- -,1377000,4660000,218000,1084000,3294000,15000,14000,76000,87000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89990000,- -,9750000,27764000,- -
50,Tax Payable,- -,1266000,4704000,167000,310000,4956000,8813000,543000,- -,- -,- -,- -,- -,- -,- -,11000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,4983000,- -,- -,- -,- -,11925000,- -
52,Other Current Liabilities,- -,- -,-2573000,2438000,584000,2368000,2471000,234240000,289868000,263768000,284161000,320449000,401258000,443605000,-27851000,- -
53,Total Current Liabilities,- -,- -,3563000,2438000,584000,2368000,3848000,238900000,290086000,269835000,287455000,410454000,401272000,453431000,11925000,- -
