,https://roic.ai/company/USPH,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,600000,2400000,8400000,17200000,24900000,32200000,38800000,44000000,49935000,63222000,80948000,94739000,105568000,118308000,132122000,135194000,151686000,187686000,201409000,211233000,237006000,252088000,264058000,305074000,331302000,356546000,414051000,453911000,481969000,422969000,495022000
2,COGS,500000,1700000,6200000,13200000,17400000,22100000,27300000,30800000,34092000,42900000,54880000,64531000,74604000,85275000,96210000,99351000,114325000,140083000,146239000,151816000,172513000,189503000,199357000,228907000,252941000,274534000,323434000,352248000,369495000,328519000,377840000
3,Gross Profit,100000,700000,2200000,4000000,7500000,10100000,11500000,13200000,15843000,20322000,26068000,30208000,30964000,33033000,35912000,35843000,37361000,47603000,55170000,59417000,64493000,62585000,64701000,76167000,78361000,82012000,90617000,101663000,112474000,94450000,117182000
4,Gross Profit Ratio,0.1667,0.2917,0.2619,0.2326,0.3012,0.3137,0.2964,0.3000,0.3173,0.3214,0.3220,0.3189,0.2933,0.2792,0.2718,0.2651,0.2463,0.2536,0.2739,0.2813,0.2721,0.2483,0.2450,0.2497,0.2365,0.2300,0.2189,0.2240,0.2334,0.2233,0.2367
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,4800000,4800000,5600000,6487000,7607000,9120000,11334000,13967000,16802000,16425000,17247000,17326000,23727000,23570000,22986000,24777000,24782000,25931000,30399000,31067000,32479000,35889000,41349000,45049000,42037000,46533000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",400000,1700000,3500000,4500000,4200000,4800000,4800000,5600000,6487000,7607000,9120000,11334000,13967000,16802000,16425000,17247000,17326000,23727000,23570000,22986000,24777000,24782000,25931000,30399000,31067000,32479000,35889000,41349000,45049000,42037000,46533000
9,Other Expenses,- -,200000,600000,1300000,1700000,1700000,1900000,2100000,2090000,2331000,- -,- -,- -,238000,604000,- -,- -,- -,3348000,3241000,3785000,- -,- -,- -,- -,- -,- -,- -,- -,-13501000,-4597000
10,Operating Expenses,400000,1900000,4100000,5800000,5900000,6500000,6700000,7700000,8577000,9938000,9120000,11334000,13967000,17040000,17029000,17247000,17326000,23727000,26918000,26227000,28562000,24782000,25931000,30399000,31067000,32479000,35889000,41349000,45049000,28536000,41936000
11,COGS and Expenses,900000,3600000,10300000,19000000,23300000,28600000,34000000,38500000,42669000,52838000,64000000,75865000,88571000,102315000,113239000,116598000,131651000,163810000,173157000,178043000,201075000,214285000,225288000,259306000,284008000,307013000,359323000,393597000,414544000,357055000,419776000
