,https://roic.ai/company/SENS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,38000,332000,6373000,18913000,21301000,4949000,- -
2,COGS,- -,- -,- -,- -,660000,9758000,27059000,40749000,22315000,- -
3,Gross Profit,- -,- -,- -,38000,-328000,-3385000,-8146000,-19448000,-17366000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,-0.9880,-0.5311,-0.4307,-0.9130,-3.5090,- -
5,Research and Development Exp.,- -,- -,12881000,18251000,26347000,30735000,31863000,38430000,20413000,- -
6,General and Administrative Exp.,- -,- -,5726000,9807000,13022000,15336000,19839000,23229000,20801000,- -
7,Selling and Marketing Exp.,- -,- -,95000,792000,2736000,6857000,27730000,49555000,20550000,- -
8,"Selling, General and Administrative Exp.",- -,- -,5821000,10599000,15758000,22193000,47569000,72784000,41351000,29154000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,18702000,28850000,42105000,52928000,79432000,111214000,61764000,- -
11,COGS and Expenses,- -,- -,18702000,28850000,42765000,62686000,106491000,151963000,84079000,- -
12,Interest Income ,- -,- -,- -,9000,80000,135000,2001000,1933000,175000,243000
13,Interest Expense (Gain),- -,- -,191000,1100000,1602000,3099000,8282000,11799000,16167000,- -
14,Depreciation and Amortization,- -,- -,189000,118000,155000,227000,270000,1001000,1141000,- -
15,EBITDA,- -,- -,-18513000,-28659000,-42173000,-55775000,-85419000,-102749000,-157860000,- -
16,EBITDA ratio,- -,- -,-Infinity,-754.1842,-127.0271,-8.7518,-4.5164,-4.8237,-31.8974,- -
17,Operating Income,- -,- -,-18702000,-28812000,-42433000,-56313000,-87578000,-130662000,-79130000,-57182000
18,Operating Income ratio,- -,- -,-Infinity,-758.2105,-127.8102,-8.8362,-4.6306,-6.1341,-15.9891,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-183000,-1065000,-1497000,-2788000,-6393000,15113000,-96038000,- -
20,Income Before Tax,- -,- -,-18885000,-29877000,-43930000,-59101000,-93971000,-115549000,-175168000,- -
21,Income Before Tax Ratio,- -,- -,-Infinity,-786.2368,-132.3193,-9.2737,-4.9686,-5.4246,-35.3946,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-18885000,-29877000,-43930000,-59101000,-93971000,-115549000,-175168000,- -
24,Net Income ratio,- -,- -,-Infinity,-786.2368,-132.3193,-9.2737,-4.9686,-5.4246,-35.3946,- -
25,EPS,- -,- -,-9.89,-0.33,-0.49,-0.51,-0.60,-0.61,-0.77,-0.72
26,EPS Diluted,- -,- -,-9.89,-0.33,-0.49,-0.51,-0.60,-0.61,-0.77,-0.72
27,Weighted Average Shares Outstanding,- -,- -,1908587,91564045,89243853,115975402,157429145,188754160,227912358,422321023
28,Weighted Average Shares Outstanding Diluted,- -,- -,1908587,91564045,89243853,115975402,157429145,188754160,227912358,422321023
29,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1616543/000161654315000002/0001616543-15-000002-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1616543/000155837017000899/0001558370-17-000899-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837018001999/0001558370-18-001999-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837019002135/0001558370-19-002135-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837020002758/0001558370-20-002758-index.html,https://www.sec.gov/Archives/edgar/data/1616543/000155837021002458/0001558370-21-002458-index.htm,https://www.sec.gov/Archives/edgar/data/1616543/000155837022002569/0001558370-22-002569-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,18923000,3939000,13047000,16150000,136793000,95938000,18005000,33461000
32,Short-Term Investments,- -,- -,- -,- -,7291000,20300000,- -,- -,- -,96445000
33,Cash and Short-Term Investments,- -,- -,18923000,3939000,20338000,36450000,136793000,95938000,18005000,129906000
34,Net Receivables,- -,- -,- -,- -,251000,3386000,7336000,10486000,2986000,2416000
35,Inventory,- -,- -,- -,- -,477000,2991000,10231000,16929000,5281000,- -
36,Other Current Assets,- -,- -,711000,1025000,365000,2088000,3746000,4405000,3974000,- -
37,Total Current Assets,- -,- -,19634000,4964000,21431000,44915000,158106000,127758000,30246000,- -
38,PP&E,- -,- -,182000,311000,735000,853000,1750000,2001000,1557000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,45000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,45000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,51882000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,134000,217000,105000,176000,117000,3042000,4115000,- -
45,Total Non-Current Assets,- -,- -,- -,528000,840000,1029000,1867000,5043000,5672000,- -
46,Other Assets,- -,- -,361000,- -,- -,- -,- -,- -,- -,198928000
47,Total Assets,- -,- -,19995000,5492000,22271000,45944000,159973000,132801000,35918000,198928000
48,Accounts Payable,- -,- -,880000,1252000,3070000,7712000,4407000,4285000,1762000,- -
49,Short-Term Debt,- -,- -,- -,2389000,3889000,10000000,10000000,103787000,3202000,- -
50,Tax Payable,- -,- -,- -,376000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,628000,- -,- -,- -
52,Other Current Liabilities,- -,- -,1161000,3694000,4666000,5428000,13851000,18636000,11674000,- -
53,Total Current Liabilities,- -,- -,2041000,7335000,11625000,23140000,28886000,126708000,16638000,- -
54,Long-Term Debt,- -,- -,9815000,7499000,15177000,14414000,40886000,12464000,57216000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,226000,355000,346000,1123000,18940000,2278000,106147000,- -
58,Total Non-Current Liabilities,- -,- -,10041000,7854000,15523000,15537000,59826000,14742000,163363000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,384463000
60,Capital Lease Obligations,- -,- -,- -,- -,79000,69000,85000,696000,794000,904000
61,Total Liabilities,- -,- -,12082000,15189000,27148000,38677000,88712000,141450000,180001000,384463000
62,Preferred Stock,- -,- -,237000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,76000,94000,137000,177000,203000,266000,- -
64,Retained Earnings,- -,- -,-130915000,-160792000,-204722000,-263823000,-357794000,-473343000,-648511000,- -
65,Other Comprehensive Income/Loss,- -,- -,-683000,- -,-813000,-1040000,-1310000,-754000,- -,-212000
66,Other Total Stockholders Equity,- -,- -,139272000,151019000,200564000,271993000,430188000,465245000,504162000,- -
