,https://roic.ai/company/ANET,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,139848000,193408000,361224000,584106000,837591000,1129167000,1646186000,2151369000,2410706000,2317512000,2948037000
2,COGS,43366000,61252000,122686000,192015000,294031000,406051000,584417000,777992000,866368000,835626000,1067258000
3,Gross Profit,96482000,132156000,238538000,392091000,543560000,723116000,1061769000,1373377000,1544338000,1481886000,1880779000
4,Gross Profit Ratio,0.6899,0.6833,0.6604,0.6713,0.6490,0.6404,0.6450,0.6384,0.6406,0.6394,0.6380
5,Research and Development Exp.,26408000,55155000,98587000,148909000,209448000,273581000,349594000,442468000,462759000,486594000,586752000
6,General and Administrative Exp.,6224000,8501000,18688000,32331000,75720000,75239000,86798000,65420000,61898000,66242000,83117000
7,Selling and Marketing Exp.,19450000,28603000,55115000,85338000,109084000,130887000,155105000,187142000,213907000,229366000,286171000
8,"Selling, General and Administrative Exp.",25674000,37104000,73803000,117669000,184804000,206126000,241903000,252562000,275805000,295608000,369288000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,52082000,92259000,172390000,266578000,394252000,479707000,591497000,695030000,738564000,782202000,956040000
11,COGS and Expenses,95448000,153511000,295076000,458593000,688283000,885758000,1175914000,1473022000,1604932000,1617828000,2023298000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,31666000,51144000,27139000,7215000
13,Interest Expense (Gain),6417000,7057000,7119000,6280000,3152000,3136000,2780000,2701000,51144000,27139000,7215000
14,Depreciation and Amortization,1293000,1779000,5044000,10021000,13671000,19749000,20640000,27671000,32849000,44590000,50334000
15,EBITDA,45336000,41811000,70438000,137809000,162832000,265110000,498180000,319173000,946263000,810592000,988428000
16,EBITDA ratio,0.3242,0.2162,0.1950,0.2359,0.1944,0.2348,0.3026,0.1484,0.3925,0.3498,0.3353
17,Operating Income,44400000,39897000,66148000,125513000,149308000,243409000,470272000,273347000,805774000,699684000,924739000
18,Operating Income ratio,0.3175,0.2063,0.1831,0.2149,0.1783,0.2156,0.2857,0.1271,0.3342,0.3019,0.3137
19,Total Other Income Expenses (Gains),-6774000,-6922000,-7873000,-4005000,-3299000,-1184000,4488000,15454000,56496000,39179000,6140000
20,Income Before Tax,37626000,32975000,58275000,121508000,146009000,242225000,474760000,288801000,862270000,738863000,930879000
21,Income Before Tax Ratio,0.2690,0.1705,0.1613,0.2080,0.1743,0.2145,0.2884,0.1342,0.3577,0.3188,0.3158
22,Income Tax expense (Gain),3591000,11626000,15815000,34658000,24907000,58036000,51559000,-39314000,2403000,104306000,90025000
23,Net Income,34035000,21349000,42460000,86850000,121102000,184189000,423201000,328115000,859867000,634557000,840854000
24,Net Income ratio,0.2434,0.1104,0.1175,0.1487,0.1446,0.1631,0.2571,0.1525,0.3567,0.2738,0.2852
25,EPS,0.17,0.03,0.19,0.35,0.45,0.67,1.46,1.10,2.81,2.09,2.77
26,EPS Diluted,0.16,0.03,0.18,0.32,0.42,0.63,1.34,1.01,2.66,2.00,2.65
27,Weighted Average Shares Outstanding,205281176,305248000,205281176,193708000,263856000,275084000,289032000,299000000,305248000,303936000,303936000
28,Weighted Average Shares Outstanding Diluted,216205160,323516000,216205160,218360000,285644000,292888000,315908000,323376000,323516000,317860000,317860000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596532/000159653215000004/anet20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653216000244/0001596532-16-000244-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653217000019/0001596532-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653218000018/0001596532-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653219000027/0001596532-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653220000024/0001596532-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653221000049/0001596532-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653222000026/0001596532-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,88655000,113664000,240031000,687326000,567923000,859192000,649950000,1111286000,893219000,620813000
32,Short-Term Investments,- -,- -,- -,209426000,- -,299910000,676363000,1306197000,1613082000,1979649000,2787502000
33,Cash and Short-Term Investments,- -,88655000,113664000,449457000,687326000,867833000,1535555000,1956147000,2724368000,2872868000,3408315000
34,Net Receivables,- -,50902000,81999000,96982000,144263000,253119000,247346000,331777000,391987000,389540000,516509000
35,Inventory,- -,24181000,73360000,80519000,92129000,236490000,306198000,264557000,243825000,479668000,650117000
36,Other Current Assets,- -,13434000,16500000,52521000,50610000,168684000,177330000,162321000,111456000,94922000,237735000
37,Total Current Assets,- -,177172000,285523000,679479000,974328000,1526126000,2266429000,2714802000,3471636000,3836998000,4812676000
38,PP&E,- -,30546000,67204000,71558000,79706000,76961000,74279000,75355000,127043000,109519000,143816000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,53684000,54855000,189696000,188397000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,58610000,45235000,122790000,93555000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,112294000,100090000,312486000,281952000
42,Investments,- -,- -,- -,36636000,36636000,36136000,36136000,30336000,4150000,8314000,20247000
43,Tax Assets,- -,1679000,4541000,11510000,48429000,70960000,65125000,126492000,452025000,441531000,442295000
44,Other Non-Current Assets,- -,10771000,7252000,11840000,20791000,18824000,18891000,22704000,30346000,30071000,33443000
45,Total Non-Current Assets,- -,42996000,78997000,131544000,185562000,202881000,194431000,367181000,713654000,901921000,921753000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,220168000,364520000,811023000,1159890000,1729007000,2460860000,3081983000,4185290000,4738919000,5734429000
48,Accounts Payable,- -,11016000,14741000,32428000,43966000,79457000,52200000,93757000,92105000,134235000,202636000
49,Short-Term Debt,- -,- -,98793000,1087000,1336000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,4678000,4694000,1098000,794000,839000,1716000,1870000,- -
51,Deferred Revenue,- -,17602000,41306000,60327000,122049000,273350000,327706000,358586000,312668000,396259000,593578000
52,Other Current Liabilities,- -,17746000,54504000,50531000,67660000,106746000,149999000,154161000,192301000,237749000,313615000
53,Total Current Liabilities,- -,46364000,209344000,144373000,235011000,459553000,529905000,606504000,597074000,768243000,1109829000
54,Long-Term Debt,- -,97673000,- -,- -,- -,- -,- -,- -,83022000,72397000,56527000
55,Deferred Revenue,- -,- -,- -,46141000,74759000,99585000,187556000,228641000,262620000,254568000,335734000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,254710000,227936000,129074000
57,Other Non-Current Liabilities,- -,57221000,77444000,64851000,61968000,62049000,81485000,103449000,93178000,95484000,124665000
58,Total Non-Current Liabilities,- -,154894000,77444000,110992000,136727000,161634000,269041000,332090000,693530000,650385000,646000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,25253000,43152000,43634000,42546000,39593000,37673000,35431000,83022000,72397000,56527000
61,Total Liabilities,- -,201258000,286788000,255365000,371738000,621187000,798946000,938594000,1290604000,1418628000,1755829000
62,Preferred Stock,- -,5992000,5992000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,3000,7000,7000,7000,7000,8000,8000,8000,31000
64,Retained Earnings,- -,504000,42964000,129814000,250916000,435105000,859114000,1190803000,1788230000,2027614000,2456823000
65,Other Comprehensive Income/Loss,- -,38000,36000,-334000,-675000,-1475000,-1938000,-3994000,143000,238000,-8300000
66,Other Total Stockholders Equity,- -,12373000,28737000,426171000,537904000,674183000,804731000,956572000,1106305000,1292431000,1530046000
67,Total Stockholders Equity,- -,18910000,77732000,555658000,788152000,1107820000,1661914000,2143389000,2894686000,3320291000,3978600000
68,Total Liabilities And Stockholders Equity,- -,220168000,364520000,811023000,1159890000,1729007000,2460860000,3081983000,4185290000,4738919000,5734429000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,220168000,364520000,811023000,1159890000,1729007000,2460860000,3081983000,4185290000,4738919000,5734429000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1596532/000159653215000004/anet20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653216000244/0001596532-16-000244-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653217000019/0001596532-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653218000018/0001596532-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653219000027/0001596532-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653220000024/0001596532-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653221000049/0001596532-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653222000026/0001596532-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,34035000,21349000,42460000,86850000,121102000,184189000,423201000,328115000,859867000,634557000,840854000
74,Depreciation and Amortization,1293000,1779000,5044000,10021000,13671000,19749000,20640000,27671000,32849000,44590000,50334000
75,Deferred Income Tax,-4234000,-3722000,-8831000,-6774000,-24409000,-21720000,8426000,-57896000,-75741000,-9144000,-99290000
76,Stock Based Compensation,1974000,4703000,10159000,27619000,45303000,59032000,75427000,91202000,101280000,137042000,186875000
77,Change in Working Capital,-22644000,117740000,-54629000,458927000,204211000,327256000,669951000,371774000,40798000,-85686000,-6876000
78,Accounts Receivable,-11596000,-22043000,-28289000,-19844000,-47281000,-108856000,5773000,-77916000,-60210000,10673000,-126969000
79,Inventory,-7733000,-7153000,-49179000,-13425000,-14123000,-144361000,-69708000,51054000,20927000,-235318000,-170449000
80,Accounts Payable,1434000,3842000,3865000,14007000,9037000,38678000,-30104000,39337000,-1937000,41161000,66681000
81,Other Working Capital,13068000,130808000,76179000,535106000,739317000,1066573000,1736524000,2108298000,-11939000,50352000,278485000
82,Other Non-Cash Items,2006000,-115543000,40445000,-462127000,-159345000,-437066000,-566018000,-257747000,3981000,13755000,43959000
83,Cash Provided by Operating Activities,12430000,26306000,34648000,114516000,200533000,131440000,631627000,503119000,963034000,735114000,1015856000
84,CAPEX,-2770000,-3312000,-20316000,-13134000,-19989000,-21419000,-15279000,-23830000,-15751000,-15384000,-64736000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-96821000,26855000,-224021000,-18634000
86,Purchases of Investments,- -,- -,- -,-210019000,- -,-439711000,-585373000,-1182259000,-1503893000,-2688064000,-2317264000
87,Sales/Maturities of Investments,- -,- -,- -,- -,208200000,137855000,206332000,547797000,1208717000,2318667000,1475072000
88,Other Investing Activites,- -,-9040000,825000,-26209000,-4041000,-2704000,1740000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2770000,-12352000,-19491000,-249362000,184170000,-325979000,-392580000,-755113000,-284072000,-608802000,-925562000
90,Debt Repayment,-55555000,- -,- -,-20793000,-1086000,-1336000,-1617000,-1929000,- -,- -,- -
91,Common Stock Issued,4203000,- -,- -,239315000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-261000,- -,- -,- -,-266142000,-395173000,-411645000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,97857000,3977000,9886000,42815000,64452000,76936000,53086000,44780000,48178000,48834000,50763000
95,Cash Used/Provided by Financing Activities,46505000,3977000,9886000,261337000,63105000,75600000,51469000,42851000,-217964000,-346339000,-360882000
96,Effect of Forex Changes on Cash,-18000,-1000,-34000,-124000,-513000,-464000,753000,-1390000,353000,1966000,-1816000
97,Net Change In Cash,56147000,17930000,25009000,126367000,447295000,-119403000,291269000,-210533000,461351000,-218061000,-272404000
98,Cash at the End of Period,70725000,88655000,113664000,240031000,687326000,567923000,859192000,654164000,1115515000,897454000,625050000
99,Cash at the Beginning of Period,14578000,70725000,88655000,113664000,240031000,687326000,567923000,864697000,654164000,1115515000,897454000
100,Free Cash Flow,9660000,22994000,14332000,101382000,180544000,110021000,616348000,479289000,947283000,719730000,951120000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596532/000159653215000004/anet20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653216000244/0001596532-16-000244-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653217000019/0001596532-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653218000018/0001596532-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653219000027/0001596532-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653220000024/0001596532-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1596532/000159653221000049/0001596532-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1596532/000159653222000026/0001596532-22-000026-index.htm
102,false,,,,,,,,,,,
