,https://roic.ai/company/VRUS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,100000,880000,500000,470000,320000,1170000,1150000,1090670,1230920,868530,2888090,5802040,13611100,21747361
2,COGS,- -,- -,- -,- -,- -,110000,60000,414650,474290,207080,2510620,5053450,11546410,18380162
3,Gross Profit,- -,- -,- -,- -,- -,1060000,1090000,676020,756630,661450,377470,748590,2064690,3367199
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.9060,0.9478,0.6198,0.6147,0.7616,0.1307,0.1290,0.1517,0.1548
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,860458,632198,458118,349569,1761557,4537619,4850634,2839837,1099398,1882723,1659082,6055925,12438486
7,Selling and Marketing Exp.,- -,- -,- -,- -,429984,465208,253628,254575,267692,9305,3866,- -,125644,375181
8,"Selling, General and Administrative Exp.",- -,860458,632198,458118,779553,2226765,4791247,5105209,3107529,1108703,1886589,1659082,6181569,12813667
9,Other Expenses,702570,2095932,859035,1184996,-62441,-157942,- -,- -,1918115,24436,10311,- -,- -,- -
10,Operating Expenses,702570,2956390,1491233,1643114,717112,2068823,4791247,5105209,5025644,1133139,1896900,1659082,6181569,12813667
11,COGS and Expenses,700000,2960000,1490000,2910000,720000,2170000,4470000,5644860,7000120,1138480,4131120,7626890,14550600,31193829
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,7566,332139,643004,61283,- -,442341,3919,806272,651991,145946,320527,1203881,1598926
14,Depreciation and Amortization,16403,213767,236716,775998,116978,- -,1380186,1791202,1918115,24436,10311,- -,68136,252517
15,EBITDA,-583597,-1868667,-511145,-1660998,-271739,-960000,-1937473,-2810209,-3628963,-230303,-1121953,-2503763,-1117833,-13818750
