,https://roic.ai/company/WHD,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,221395000,155048000,341191000,544135000,628414000,348566000,438589000
2,COGS,157055000,125226000,225151000,325905000,393607000,236948000,317141000
3,Gross Profit,64340000,29822000,116040000,218230000,234807000,111618000,121448000
4,Gross Profit Ratio,0.2906,0.1923,0.3401,0.4011,0.3737,0.3202,0.2769
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,40529000,51657000,39715000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,40529000,51657000,39715000,46021000
9,Other Expenses,22135000,19207000,27177000,- -,- -,- -,- -
10,Operating Expenses,22135000,19207000,27177000,40529000,51657000,39715000,46021000
11,COGS and Expenses,179190000,144433000,252328000,366434000,445264000,278527000,363162000
12,Interest Income ,11000,2000,5000,128000,2403000,1828000,- -
13,Interest Expense (Gain),21595000,20191000,20690000,3678000,1360000,1124000,- -
14,Depreciation and Amortization,20580000,21241000,23271000,30153000,38854000,40520000,36308000
15,EBITDA,64183000,34065000,112057000,118682000,157846000,111829000,93576000
16,EBITDA ratio,0.2899,0.2197,0.3284,0.2181,0.2512,0.3208,0.2134
17,Operating Income,42205000,10615000,88863000,177701000,183150000,70039000,75427000
18,Operating Income ratio,0.1906,0.0685,0.2604,0.3266,0.2914,0.2009,0.1720
19,Total Other Income Expenses (Gains),-20197000,-17982000,-20767000,-7900000,5173000,146000,-282000
20,Income Before Tax,22008000,-7367000,68096000,169801000,188323000,70185000,75145000
21,Income Before Tax Ratio,0.0994,-0.0475,0.1996,0.3121,0.2997,0.2014,0.1713
22,Income Tax expense (Gain),784000,809000,1549000,19520000,32020000,10970000,7675000
23,Net Income,21224000,-8176000,66547000,65331000,85612000,59215000,49593000
24,Net Income ratio,0.0959,-0.0527,0.1950,0.1201,0.1362,0.1699,0.1131
25,EPS,0.15,-171.48,3.11,1.60,1.90,0.73,0.90
26,EPS Diluted,0.15,-171.48,3.11,1.58,1.88,0.72,0.83
27,Weighted Average Shares Outstanding,74889772,36500,21428571,32329000,44983000,47457000,55398000
28,Weighted Average Shares Outstanding Diluted,74889772,36500,21428571,32695000,75353000,75495000,76107000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1699136/000155837018002233/0001558370-18-002233-index.htm,https://www.sec.gov/Archives/edgar/data/1699136/000155837019002063/0001558370-19-002063-index.html,https://www.sec.gov/Archives/edgar/data/1699136/000155837020001806/0001558370-20-001806-index.html,https://www.sec.gov/Archives/edgar/data/1699136/000169913621000033/0001699136-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1699136/000169913622000011/0001699136-22-000011-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,12526000,8688000,7574000,70841000,202603000,288659000,301669000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12526000,8688000,7574000,70841000,202603000,288659000,301669000
34,Net Receivables,32442000,32289000,84173000,92269000,87865000,44068000,89205000
35,Inventory,43611000,37900000,64450000,99837000,113371000,87480000,119817000
36,Other Current Assets,4823000,3713000,7732000,11558000,11044000,4935000,7794000
37,Total Current Assets,93402000,82590000,163929000,274505000,414883000,425142000,518485000
38,PP&E,76333000,74870000,94654000,142054000,188309000,142825000,151655000
39,Goodwill,7824000,7824000,7824000,7824000,7824000,7824000,7824000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,7824000,7824000,7824000,7824000,7824000,7824000,7824000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,159053000,222545000,- -,303074000
44,Other Non-Current Assets,- -,44000,49000,1308000,1403000,- -,1040000
45,Total Non-Current Assets,84157000,82738000,102527000,310239000,420081000,150649000,463593000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,177559000,165328000,266456000,584744000,834964000,575791000,982078000
48,Accounts Payable,8851000,14002000,35080000,42047000,40957000,- -,42818000
49,Short-Term Debt,2649000,3702000,7235000,7353000,13472000,8070000,9747000
50,Tax Payable,- -,- -,1901000,3475000,3248000,2786000,- -
51,Deferred Revenue,1303000,565000,765000,1110000,1371000,- -,- -
52,Other Current Liabilities,6830000,5865000,9794000,24114000,35326000,40845000,40009000
53,Total Current Liabilities,19633000,24134000,52874000,74624000,91126000,48915000,92574000
54,Long-Term Debt,250555000,242254000,241437000,- -,- -,- -,23461000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,64000,196000,416000,1036000,1348000,- -,1172000
57,Other Non-Current Liabilities,474000,2065000,7946000,146756000,226095000,- -,269838000
58,Total Non-Current Liabilities,251093000,244515000,249799000,147792000,227443000,- -,294471000
59,Other Liabilities,- -,- -,- -,- -,- -,215909000,- -
60,Capital Lease Obligations,- -,3199000,12613000,16094000,37665000,28132000,33208000
61,Total Liabilities,270726000,268649000,302673000,222416000,318569000,264824000,387045000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,-92976000,-102846000,-36299000,377000,472000,477000,- -
64,Retained Earnings,- -,- -,- -,51683000,132990000,150086000,- -
65,Other Comprehensive Income/Loss,-191000,-475000,82000,-820000,-452000,330000,8000
66,Other Total Stockholders Equity,- -,- -,- -,126418000,194456000,202077000,- -
67,Total Stockholders Equity,-93167000,-103321000,-36217000,177658000,327466000,352970000,595033000
68,Total Liabilities And Stockholders Equity,177559000,165328000,266456000,400074000,646035000,617794000,982078000
69,Minority Interest,- -,- -,- -,184670000,188929000,-42003000,- -
70,Total Liabilities & Equity,177559000,165328000,266456000,584744000,834964000,575791000,982078000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1699136/000155837018002233/0001558370-18-002233-index.htm,https://www.sec.gov/Archives/edgar/data/1699136/000155837019002063/0001558370-19-002063-index.html,https://www.sec.gov/Archives/edgar/data/1699136/000155837020001806/0001558370-20-001806-index.html,https://www.sec.gov/Archives/edgar/data/1699136/000169913621000033/0001699136-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1699136/000169913622000011/0001699136-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,21224000,-8176000,66547000,65331000,85612000,59215000,49593000
74,Depreciation and Amortization,20580000,21241000,23271000,30153000,38854000,40520000,36308000
75,Deferred Income Tax,64000,132000,220000,15201000,25403000,6948000,4829000
76,Stock Based Compensation,359000,361000,- -,4704000,6995000,8599000,8620000
77,Change in Working Capital,432000,-15313000,52599000,88826000,123876000,52470000,-45455000
78,Accounts Receivable,12829000,509000,-50094000,-8105000,4204000,555000,-45492000
79,Inventory,10563000,4126000,-28279000,-38227000,-17592000,4840000,-36083000
80,Accounts Payable,-18703000,5014000,19505000,7651000,-607000,-19434000,22281000
81,Other Working Capital,73769000,58456000,111055000,199881000,323757000,376227000,- -
82,Other Non-Cash Items,3268000,25730000,-107930000,-37035000,-71108000,-24372000,9864000
83,Cash Provided by Operating Activities,45927000,23975000,34707000,167180000,209632000,143380000,63759000
84,CAPEX,-25281000,-21721000,-32082000,-70053000,-59703000,- -,-13939000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1859000,4319000,-30678000,1899000,3755000,-147000,-11633000
89,Cash Used for Investing Activites,-23422000,-17358000,-30678000,-68154000,-55948000,-18147000,-11633000
90,Debt Repayment,-10525000,-8116000,-5313000,-254803000,-7484000,-5317000,-5205000
91,Common Stock Issued,- -,- -,- -,828168000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1549000,- -,-3283000
93,Dividends Paid,-12232000,-2055000,- -,-31848000,-4244000,-17140000,-30900000
94,Other Financing Activites,-19000,- -,- -,-576521000,-8392000,-17749000,- -
95,Cash Used/Provided by Financing Activities,-22776000,-10171000,-5313000,-35004000,-21669000,-40206000,-39388000
96,Effect of Forex Changes on Cash,-128000,-284000,170000,-755000,-253000,1029000,272000
97,Net Change In Cash,-399000,-3838000,-1114000,63267000,131762000,86056000,13010000
98,Cash at the End of Period,12526000,8688000,7574000,70841000,202603000,- -,301669000
99,Cash at the Beginning of Period,12925000,12526000,8688000,7574000,70841000,- -,288659000
100,Free Cash Flow,20646000,2254000,2625000,97127000,149929000,143380000,49820000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1699136/000155837018002233/0001558370-18-002233-index.htm,https://www.sec.gov/Archives/edgar/data/1699136/000155837019002063/0001558370-19-002063-index.html,https://www.sec.gov/Archives/edgar/data/1699136/000155837020001806/0001558370-20-001806-index.html,https://www.sec.gov/Archives/edgar/data/1699136/000169913621000033/0001699136-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1699136/000169913622000011/0001699136-22-000011-index.htm
102,false,,,,,,,
