,https://roic.ai/company/AMSU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,478003,472318,472318,225697,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,271552,349674,349674,191766,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,206451,122644,122644,33931,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.4319,0.2597,0.2597,0.1503,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,533125,906495,906495,675755,- -,- -,- -,- -,139529,64054,72160,70450,99510,70800,65500,62812,58842
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,226995,77067,110498,107601,533125,906495,906495,675755,290510,280509,- -,- -,139529,64054,97965,70453,99505,70799,65502,62812,58842
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188964,156670,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,226995,- -,- -,- -,533125,906495,906495,675755,- -,- -,188964,156670,- -,64054,97965,70453,99505,70799,65502,62812,58842
11,COGS and Expenses,- -,226995,77067,110498,107601,804677,1256169,1256169,867521,290510,280509,- -,- -,145729,64054,72160,70450,99510,70800,65500,62812,- -
12,Interest Income ,- -,2258,680,372,158,50783,61634,61634,28682,10120,10120,427,28,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,2371,- -,- -,- -,- -,- -,- -,6283,11766,13877,17331,19366,20002,20151
14,Depreciation and Amortization,- -,3060,9532,22406,22157,58777,28814,28814,39138,1775,1775,1775,749,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,- -,-223935,-67535,-88092,-85444,-509144,-1090370,-1090370,-587107,-288735,-278734,-187189,-155921,-146117,-61513,-73207,-70454,-99503,-70799,-65504,-82814,- -
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-1.0651,-2.3086,-2.3086,-2.6013,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
17,Operating Income,- -,-226995,-77067,-110498,-107601,-326674,-783851,-783851,-787812,-290510,-280509,-188964,-156670,-145729,-66595,-97965,-70453,-99505,-70799,-65502,-62812,- -
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-0.6834,-1.6596,-1.6596,-3.4906,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-292030,-396967,-396967,-41977,- -,- -,2409,13929,388,- -,18475,-11767,-13875,-17331,-19368,-20002,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186555,-142741,-145341,-66595,-79490,-82220,-113380,-88130,-84870,-82814,-78993
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-224737,-76387,-110126,-107443,-567921,-1119184,-1119184,-628616,-271533,-261533,-186555,-142741,-144721,-66595,-79490,-82220,-113380,-88130,-84870,-82814,-78993
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-1.1881,-2.3696,-2.3696,-2.7852,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-0.01,-0.00,-0.00,-0.00,-0.01,-0.03,-0.03,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,- -,-0.01,-0.00,-0.00,-0.00,-0.01,-0.03,-0.03,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,- -,41247816,41401483,42447065,43020916,43940542,44001816,44001816,44001816,44001816,44000816,44000816,44000816,44031227,44100816,44100816,44100816,44100816,44100816,44100816,44100816,44100816
28,Weighted Average Shares Outstanding Diluted,- -,41247816,41401483,42447065,43020916,43940542,44001816,44001816,44001816,44001816,44000816,44000816,44000816,44031227,44100816,44100816,44100816,44100816,44100816,44100816,44100816,44100816
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1142801/000109690612000908/0001096906-12-000908-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000109690613000908/0001096906-13-000908-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1142801/000135448816006857/0001354488-16-006857-index.html,https://www.sec.gov/Archives/edgar/data/1142801/000165495417003356/0001654954-17-003356-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495418003756/0001654954-18-003756-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495419003787/0001654954-19-003787-index.html,https://www.sec.gov/Archives/edgar/data/1142801/000165495420003528/0001654954-20-003528-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495421003437/0001654954-21-003437-index.htm,https://www.sec.gov/Archives/edgar/data/1142801/000165495422004621/0001654954-22-004621-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,40000,80000,90000,10000,520000,100000,20000,10000,10000,10000,10000,- -,10000,8030,44280,6040,5430,3290,210,47,0
32,Short-Term Investments,- -,- -,- -,- -,- -,1000000,1150000,770000,700000,540000,270000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,40000,80000,90000,10000,1520000,1250000,790000,710000,550000,280000,40000,10000,10000,8030,44280,6040,5430,3290,210,47,0
34,Net Receivables,- -,- -,- -,- -,- -,80000,370000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6270,24510,- -,- -
35,Inventory,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,120000,100000,100000,-10000,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,40000,80000,90000,10000,1740000,1720000,980000,700000,550000,280000,40000,10000,10000,9030,44280,6040,5430,9560,24720,47,0
38,PP&E,- -,20000,20000,20000,10000,420000,240000,130000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25080,11019,25
