,https://roic.ai/company/AQB,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,777576,225780,281078,56870,- -,- -,- -,- -,- -,- -,- -,- -,53278,84518,186738,127663,1174832
2,COGS,481684,90312,198762,39371,- -,- -,- -,- -,- -,- -,- -,- -,50777,78155,3573858,6680012,10786072
3,Gross Profit,295892,135468,82316,17498,- -,- -,- -,- -,- -,- -,- -,- -,2501,6363,-3387120,-6552349,-9611240
4,Gross Profit Ratio,0.3805,0.6000,0.2929,0.3077,- -,- -,- -,- -,- -,- -,- -,- -,0.0469,0.0753,-18.1384,-51.3254,-8.1809
5,Research and Development Exp.,2809250,3535903,2435340,2343327,1679959,1949297,2164861,1628593,1895056,2497935,2635289,3429400,3371767,3458564,2359441,2364610,2145548
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,2101260,2302279,3192716,2696369,3775289,5063824,6615908,6723060,6797443,9103213
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,581954,678153,1444628,1694916,860365,799009,297687,709023,533428,1261764
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,2683214,2980432,4637344,4391285,4635654,5862833,6913595,7432083,7330871,10364977
9,Other Expenses,2626898,4515590,5523183,3520095,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5436148,8051493,7958523,5863422,- -,- -,- -,4311807,4875488,7135279,7026574,8065054,9234600,10372159,9791524,9695481,12510525
11,COGS and Expenses,5917832,8141805,8157285,5902794,4923461,5318683,5416039,4311807,4875488,7135279,7026574,8065054,9285377,10450314,13365382,16375493,23296597
12,Interest Income ,- -,- -,1021919,406838,87313,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2358531,141358,- -,- -,- -,1566,3108,- -,530,- -,- -,402554,21537,22257,62988,152367,-316442
14,Depreciation and Amortization,201275,243449,- -,- -,- -,- -,- -,225416,147101,140742,105952,153996,184946,843387,1285902,1494596,1787564
15,EBITDA,-4938981,-7672576,-6854288,-6656683,-4595230,-5086959,-5204681,-3992611,-4915367,-6994537,-6920622,-7911058,-9052164,-9516415,-11878752,-14753022,-20851466
16,EBITDA ratio,-6.3518,-33.9826,-24.3857,-117.0513,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-169.9044,-112.5963,-63.6119,-115.5622,-17.7485
17,Operating Income,-5140256,-7916026,-7876207,-7063521,-4923461,-5318683,-5416039,-4405587,-4875488,-7135279,-7026574,-8065054,-9232099,-10365796,-13178644,-16247830,-22121765
18,Operating Income ratio,-6.6106,-35.0609,-28.0214,-124.2051,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-173.2816,-122.6460,-70.5729,-127.2713,-18.8297
19,Total Other Income Expenses (Gains),-2358531,-141358,1021919,406838,87313,-1566,2705688,-9026,186450,7904,-4938,-405607,-26548,-16263,-48998,-152155,-200823
20,Income Before Tax,-7498788,-8057383,-6854288,-6656683,-4836148,-5320249,-2710350,-4414613,-4689038,-7127375,-7031512,-8470661,-9258647,-10382059,-13227642,-16399985,-22322588
21,Income Before Tax Ratio,-9.6438,-35.6870,-24.3857,-117.0513,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-173.7799,-122.8384,-70.8353,-128.4631,-19.0007
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7498788,-8057383,-6854288,-6656683,-4836148,-5320249,-2710350,-4414613,-4689038,-7127375,-7031512,-8470661,-9258647,-10382059,-13227642,-16399985,-22322588
24,Net Income ratio,-9.6438,-35.6870,-24.3857,-117.0513,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-173.7799,-122.8384,-70.8353,-128.4631,-19.0007
25,EPS,-18.00,-5.70,-4.20,-3.90,-3.00,-3.00,-1.20,-1.50,-1.20,-1.50,-1.50,-1.60,-1.06,-0.94,-0.66,-0.45,-0.32
26,EPS Diluted,-18.00,-5.70,-4.20,-3.90,-3.00,-3.00,-1.20,-1.50,-1.20,-1.50,-1.50,-1.60,-1.06,-0.94,-0.66,-0.45,-0.32
27,Weighted Average Shares Outstanding,416195,1451385,1662350,1668583,1676449,1828548,2285677,3156669,4020401,4679610,5037369,5303112,8772494,13028760,20078017,36347398,69428061
28,Weighted Average Shares Outstanding Diluted,416195,1451385,1662350,1668583,1676449,1828548,2285677,3156669,4020401,4679610,5037369,5303112,8772494,13028760,20078017,36347398,69428061
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1603978/000160397817000006/0001603978-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1603978/000160397818000025/0001603978-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397819000016/0001603978-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397820000052/0001603978-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397821000015/0001603978-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397822000011/0001603978-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,246003,5300910,3645983,2500813,1196506,2577142,1630251,348521,1875749,5163262,1313421,3324609,492861,2990196,2798744,95751160,88454988
32,Short-Term Investments,- -,18083956,13186574,8053639,4496599,3615201,13987,14405,13431,12353,10339,10666,13422,12361,- -,- -,- -
33,Cash and Short-Term Investments,246003,23384866,16832557,10554452,5693105,6192344,1644238,362926,1889180,5175615,1323760,3335275,506283,3002557,2798744,95751160,88454988
34,Net Receivables,522971,418183,387486,199773,365419,104902,115003,24429,78455,26717,41897,164743,183926,115982,55198,46678,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172363,76109,1232049,1525377,1259910
36,Other Current Assets,13762,109945,584241,208523,200496,236421,195817,127104,220888,101679,109898,72983,527322,315969,391162,358692,103310265
37,Total Current Assets,782737,23912994,17804284,10962748,6259020,6533666,1955058,514459,2188523,5304011,1475555,3573001,1389894,3510617,4477153,97681907,193025163
38,PP&E,2417022,1613833,2011715,1805252,1789908,1382513,1246388,1131214,1016843,913703,741340,1723707,21802976,23716768,25465313,27272335,34099439
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,294304,333579,368919,398181,390498,376795,363092,259249,245546,231842
41,Intangible Assets,244283,243449,238916,97699,109949,281826,261089,294304,333579,368919,398181,390498,376795,363092,259249,245546,231842
42,Investments,- -,- -,- -,- -,22637,- -,- -,21628,21628,21628,21628,- -,- -,- -,- -,- -,101773781
43,Tax Assets,246003,5300910,3645983,2500813,1196506,2577142,1630251,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-246003,-5300910,-3645983,-2500813,-1196506,-2431532,-1555654,- -,- -,- -,- -,21628,162093,80583,32024,576715,-100694233
45,Total Non-Current Assets,2661304,1857282,2250632,1902951,1922494,1809949,1582074,1447146,1372050,1304250,1161149,2135833,22341864,24160443,25756586,28094596,35410829
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3444041,25770276,20054915,12865699,8181514,8343615,3537132,1961605,3560573,6608261,2636704,5708834,23731758,27671060,30233739,125776503,228435992
48,Accounts Payable,848108,343578,277063,100616,143904,233289,124328,215878,387076,137625,157272,161768,1089919,366917,809444,799888,- -
49,Short-Term Debt,2255313,90312,94362,68535,59825,65759,66826,270560,- -,- -,- -,17913,49794,71613,163155,259939,-7895968
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,5170,3376,5000,- -,- -,240880,23678,68831,86052,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1009816,416220,867326,708685,347634,421173,376092,219971,316952,539537,464637,856083,1576936,478406,715651,1022698,13781806
53,Total Current Liabilities,4113237,850109,1238751,877836,551363,720222,567247,706409,704028,677162,621909,1035764,2716649,916936,1688250,2082525,5885838
54,Long-Term Debt,3012245,2937097,3358882,2640800,3206313,3648081,1392474,2034907,2359653,2421720,2070366,2645015,3034420,3519821,4432052,8528490,8523333
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,12046,20415,22637,14091,- -,- -,- -,- -,- -,- -,- -,- -,352808,290327,224058
58,Total Non-Current Liabilities,3012245,2937097,3370928,2661215,3228949,3662172,1392474,2034907,2359653,2421720,2070366,2645015,3034420,3519821,4784860,8818817,8747391
59,Other Liabilities,- -,5874194,6741857,- -,6457899,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,352808,290327,- -
61,Total Liabilities,7125483,3787206,4609679,3539051,3780312,4382394,1959720,2741316,3063681,3098882,2692275,3680779,5751069,4436757,6473110,10901342,14633229
62,Preferred Stock,132463,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20644,49083,50193,49579,50124,67325,68380,102256,125305,144537,157425,6464,8895,15099,21635,55497,- -
64,Retained Earnings,-33103733,-41164511,-48018161,-54673751,-59510005,-64830940,-67541186,-71955275,-76644313,-83771688,-90803200,-99273861,-108532508,-118914567,-132142209,-148542194,-170864782
65,Other Comprehensive Income/Loss,-531573,-486898,-586248,-288724,-591785,-721788,-649614,-660201,-566310,-455172,-226432,-286272,-213884,-574186,-360160,-267258,-255588
66,Other Total Stockholders Equity,29668294,63585397,63999453,64239543,64452868,69446624,69699831,71733509,77582210,87591702,90816636,101581724,126718186,142707957,156241363,263629116,384923133
67,Total Stockholders Equity,-3813905,21983070,15445236,9326647,4401202,3961221,1577412,-779711,496892,3509379,-55571,2028055,17980689,23234303,23760629,114875161,213802763
68,Total Liabilities And Stockholders Equity,3311577,25770276,20054915,12865699,8181514,8343615,3537132,1961605,3560573,6608261,2636704,5708834,23731758,27671060,30233739,125776503,228435992
69,Minority Interest,132463,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3444041,25770276,20054915,12865699,8181514,8343615,3537132,1961605,3560573,6608261,2636704,5708834,23731758,27671060,30233739,125776503,228435992
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1603978/000160397817000006/0001603978-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1603978/000160397818000025/0001603978-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397819000016/0001603978-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397820000052/0001603978-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397821000015/0001603978-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1603978/000160397822000011/0001603978-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-7498788,-8057383,-6854288,-6656683,-4836148,-5320249,-2710350,-4414613,-4689038,-7127375,-7031512,-8470661,-9258647,-10382059,-13227642,-16399985,-22322588
74,Depreciation and Amortization,201275,243449,- -,- -,- -,- -,- -,225416,147101,140742,105952,153996,184946,843387,1285902,1494596,1787564
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,250210,324308,142143,272938,237822,218294,122134,263396,872177,436691,394237
77,Change in Working Capital,854989,26393386,-6497352,-6480622,-4377254,105787,-4425633,-1579761,1676445,3142354,-3773203,1683591,-3863992,3920436,195222,92810479,91539943
