,https://roic.ai/company/ASPS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,160363000,202812000,301378000,423687000,568360000,768357000,1078916000,1051466000,997303000,942213000,838202000,648651000,365547000,178453000
2,COGS,115048000,126797000,189059000,275849000,387367000,520344000,752278000,742224000,745622000,758022000,673208000,543131000,305194000,171366000
3,Gross Profit,45315000,76015000,112319000,147838000,180993000,248013000,326638000,309242000,251681000,184191000,164994000,105520000,60353000,7087000
4,Gross Profit Ratio,0.2826,0.3748,0.3727,0.3489,0.3184,0.3228,0.3027,0.2941,0.2524,0.1955,0.1968,0.1627,0.1651,0.0397
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,45907000,53137000,87277000,87556000,73154000,73769000,74722000,56180000,72111000,53995000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,24130000,27499000,27847000,16171000,14707000,11212000,3325000,2157000
8,"Selling, General and Administrative Exp.",- -,- -,57352000,62131000,67073000,81001000,111407000,115055000,101001000,89940000,89429000,67392000,75436000,56152000
9,Other Expenses,28088000,39473000,- -,- -,-13527000,4945000,45228000,50916000,57577000,44545000,35198000,23809000,17300000,10897000
10,Operating Expenses,28088000,39473000,57352000,62131000,53546000,85946000,156635000,165971000,158578000,134485000,124627000,91201000,92736000,67049000
11,COGS and Expenses,143136000,166270000,246411000,337980000,440913000,606290000,908913000,908195000,904200000,892507000,797835000,634332000,397930000,238415000
12,Interest Income ,16000,16000,- -,32000,222000,899000,103000,133000,91000,270000,740000,342000,114000,4000
13,Interest Expense (Gain),2607000,1660000,- -,85000,1210000,20291000,23363000,28208000,24412000,22253000,26254000,21393000,17730000,14547000
14,Depreciation and Amortization,10390000,8104000,12049000,13642000,17806000,47232000,66726000,77605000,84364000,71814000,59211000,49299000,39855000,21994000
15,EBITDA,27598000,47340000,60917000,92782000,138381000,206036000,234751000,155671000,150404000,126702000,84181000,81019000,-962000,51585000
16,EBITDA ratio,0.1721,0.2334,0.2021,0.2190,0.2435,0.2682,0.2176,0.1481,0.1508,0.1345,0.1004,0.1249,-0.0026,0.2891
17,Operating Income,17227000,36542000,54967000,85707000,127447000,162067000,170454000,79077000,65103000,49706000,42495000,18053000,-44355000,28968000
18,Operating Income ratio,0.1074,0.1802,0.1824,0.2023,0.2242,0.2109,0.1580,0.0752,0.0653,0.0528,0.0507,0.0278,-0.1213,0.1623
19,Total Other Income Expenses (Gains),-2626000,1034000,804000,203000,-2798000,-19734000,-23189000,-26017000,-20782000,-14331000,-41096000,-5614000,-13351000,-13683000
20,Income Before Tax,14601000,37576000,55771000,85910000,124649000,142333000,147265000,53060000,44321000,35375000,1399000,12439000,-57706000,15285000
21,Income Before Tax Ratio,0.0910,0.1853,0.1851,0.2028,0.2193,0.1852,0.1365,0.0505,0.0444,0.0375,0.0017,0.0192,-0.1579,0.0857
22,Income Tax expense (Gain),5382000,11605000,-403000,7943000,8738000,8540000,10178000,8260000,12935000,-276256000,4098000,318296000,8609000,3232000
23,Net Income,9219000,25971000,49271000,71112000,110627000,129973000,134484000,41598000,28693000,308891000,-5382000,-307969000,-67156000,11812000
24,Net Income ratio,0.0575,0.1281,0.1635,0.1678,0.1946,0.1692,0.1246,0.0396,0.0288,0.3278,-0.0064,-0.4748,-0.1837,0.0662
25,EPS,0.38,1.08,1.96,2.92,4.74,5.63,6.22,2.13,1.53,16.99,-0.32,-19.26,-4.31,0.76
26,EPS Diluted,0.38,1.07,1.88,2.77,4.43,5.19,5.69,2.02,1.46,16.53,-0.32,-19.26,-4.31,0.76
27,Weighted Average Shares Outstanding,24050340,24061912,25083000,24373000,23358000,23072000,21625000,19504000,18696000,18183000,17073000,15991000,15598000,15598000
28,Weighted Average Shares Outstanding Diluted,24050340,24260651,26259000,25685000,24962000,25053000,23634000,20619000,19612000,18692000,17073000,15991000,15598000,15598000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1462418/000095012310025337/0000950123-10-025337-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000095012311015633/c12905e10vk.htm,https://www.sec.gov/Archives/edgar/data/1462418/000119312512064465/0001193125-12-064465-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000110465913009969/0001104659-13-009969-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000110465914009378/a13-24850_110k.htm,https://www.sec.gov/Archives/edgar/data/1462418/000162828015001367/asps-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1462418/000162828016012704/0001628280-16-012704-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241817000006/0001462418-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241818000011/0001462418-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241819000009/0001462418-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241820000016/0001462418-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1462418/000146241821000008/0001462418-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1462418/000146241822000007/0001462418-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6988000,30456000,22134000,32125000,105502000,130324000,161361000,179327000,149294000,105006000,58294000,82741000,58263000,98132000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,58779000,78558000,76054000,42618000,- -,- -
33,Cash and Short-Term Investments,6988000,30456000,22134000,32125000,105502000,130324000,161361000,179327000,208073000,183564000,134348000,125359000,58263000,98132000
34,Net Receivables,9077000,30497000,53495000,52005000,90769000,102942000,117441000,105656000,93007000,61967000,44406000,48713000,29466000,26411000
