,https://roic.ai/company/PSTG,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,42733000,174451000,440333000,727977000,1023019000,1359824000,1643440000,1684179000,2180848000
2,COGS,- -,24129000,77552000,167893000,252279000,353781000,457528000,509886000,535255000,708329000
3,Gross Profit,- -,18604000,96899000,272440000,475698000,669238000,902296000,1133554000,1148924000,1472519000
4,Gross Profit Ratio,- -,0.4354,0.5555,0.6187,0.6535,0.6542,0.6635,0.6897,0.6822,0.6752
5,Research and Development Exp.,- -,36081000,92707000,166645000,245817000,279196000,349936000,433662000,480467000,581935000
6,General and Administrative Exp.,- -,5902000,32354000,75402000,84652000,95170000,137506000,163153000,182477000,189981000
7,Selling and Marketing Exp.,- -,54750000,152320000,240574000,360035000,480030000,584111000,728022000,716014000,799001000
8,"Selling, General and Administrative Exp.",- -,60652000,184674000,315976000,444687000,575200000,721617000,891175000,898491000,988982000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,96733000,277381000,482621000,690504000,854396000,1071553000,1324837000,1378958000,1570917000
11,COGS and Expenses,- -,120862000,354933000,650514000,942783000,1208177000,1529081000,1834723000,1914213000,2279246000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,27241000,17442000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,26062000,31403000,- -
14,Depreciation and Amortization,- -,4431000,15392000,32254000,50203000,61744000,70878000,89710000,70042000,83151000
15,EBITDA,- -,-73839000,-166502000,-179929000,-192976000,-111969000,-106395000,-78894000,-168715000,-45345000
16,EBITDA ratio,- -,-1.7279,-0.9544,-0.4086,-0.2651,-0.1094,-0.0782,-0.0480,-0.1002,-0.0208
17,Operating Income,- -,-78129000,-180482000,-210181000,-244806000,-185158000,-169257000,-191283000,-261033000,-98398000
