,https://roic.ai/company/WNW,2018,2019,2020
0,INCOME STATEMENT, , , 
1,Revenue,1076827,7682583,22125320
2,COGS,848777,5778167,17967593
3,Gross Profit,228050,1904416,4157727
4,Gross Profit Ratio,0.2118,0.2479,0.1879
5,Research and Development Exp.,205609,340534,527974
6,General and Administrative Exp.,680823,1440114,1872107
7,Selling and Marketing Exp.,324905,1882714,3994966
8,"Selling, General and Administrative Exp.",1005728,3322828,5867073
9,Other Expenses,- -,- -,- -
10,Operating Expenses,1211337,3663362,6395047
11,COGS and Expenses,2060114,9441529,24362640
12,Interest Income ,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -
14,Depreciation and Amortization,59834,301368,307563
15,EBITDA,-920264,-1453674,-1910499
16,EBITDA ratio,-0.8546,-0.1892,-0.0863
17,Operating Income,-983287,-1758946,-2237320
18,Operating Income ratio,-0.9131,-0.2290,-0.1011
19,Total Other Income Expenses (Gains),3189,3904,19258
20,Income Before Tax,-980098,-1755042,-2218062
21,Income Before Tax Ratio,-0.9102,-0.2284,-0.1002
22,Income Tax expense (Gain),- -,- -,- -
23,Net Income,-980098,-1755042,-2218062
24,Net Income ratio,-0.9102,-0.2284,-0.1002
25,EPS,-0.04,-0.07,-0.09
26,EPS Diluted,-0.04,-0.07,-0.09
27,Weighted Average Shares Outstanding,25000000,25000000,25000000
28,Weighted Average Shares Outstanding Diluted,25000000,25000000,25000000
29,SEC Link,- -,- -,- -
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,99359,546294,7027964
32,Short-Term Investments,- -,71757,- -
33,Cash and Short-Term Investments,99359,618051,7027964
34,Net Receivables,- -,- -,26939910
35,Inventory,47982,253090,1534830
36,Other Current Assets,220274,758699,863942
37,Total Current Assets,367615,1629840,36366646
38,PP&E,1459427,1262776,1052388
39,Goodwill,- -,- -,- -
40,Intangible Assets,- -,- -,- -
41,Intangible Assets,- -,- -,- -
42,Investments,- -,- -,- -
43,Tax Assets,- -,- -,- -
44,Other Non-Current Assets,41591,351332,43843
45,Total Non-Current Assets,1501018,1614108,1096231
46,Other Assets,- -,- -,- -
47,Total Assets,1868633,3243948,37462877
48,Accounts Payable,384920,1158311,5687926
49,Short-Term Debt,200170,225140,272148
50,Tax Payable,31558,10065,- -
51,Deferred Revenue,127781,1454261,5330491
52,Other Current Liabilities,160361,385013,1697291
53,Total Current Liabilities,873232,3222725,12987856
54,Long-Term Debt,1004085,766020,545879
55,Deferred Revenue,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -
57,Other Non-Current Liabilities,808709,903813,7027364
58,Total Non-Current Liabilities,1812794,1669833,7573243
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -
61,Total Liabilities,2686026,4892558,20561099
62,Preferred Stock,- -,- -,- -
63,Common Stock,- -,- -,- -
64,Retained Earnings,-954263,-2709305,-4927367
65,Other Comprehensive Income/Loss,30381,57248,-148537
66,Other Total Stockholders Equity,- -,- -,- -
67,Total Stockholders Equity,-817393,-1648610,16901778
68,Total Liabilities And Stockholders Equity,1868633,3243948,37462877
69,Minority Interest,- -,- -,- -
70,Total Liabilities & Equity,1868633,3243948,37462877
71,SEC Link,- -,- -,- -
72,CASH FLOW STATEMENT, , , 
73,Net Income,-980098,-1755042,-2218062
74,Depreciation and Amortization,59834,301368,307563
75,Deferred Income Tax,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -
77,Change in Working Capital,387040,1051842,6762273
78,Accounts Receivable,45318,- -,-415749
79,Inventory,-49855,-207488,-1195104
80,Accounts Payable,399944,790113,4198669
81,Other Working Capital,132769,1026569,3230298
82,Other Non-Cash Items,- -,-7237,- -
83,Cash Provided by Operating Activities,-533224,-409069,4851774
84,CAPEX,-302083,-80573,-27705
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,-272361,-72371,- -
87,Sales/Maturities of Investments,- -,- -,- -
88,Other Investing Activites,272361,- -,-26427580
89,Cash Used for Investing Activites,-302083,-152944,-26455285
90,Debt Repayment,- -,- -,- -
91,Common Stock Issued,- -,- -,21500450
92,Common Stock Repurchased,- -,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,923876,1004934,6171576
95,Cash Used/Provided by Financing Activities,923876,1004934,27672026
96,Effect of Forex Changes on Cash,1252,4014,413155
97,Net Change In Cash,89821,446935,6481670
98,Cash at the End of Period,99359,546294,7027964
99,Cash at the Beginning of Period,9538,99359,546294
100,Free Cash Flow,-835307,-489642,4824069
101,SEC Link,- -,- -,- -
102,false,,,
