,https://roic.ai/company/O,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,49018000,48900000,51555000,56957000,67897000,85132000,104510000,118310000,126271000,140980000,156114000,175555000,196676000,240100000,296513000,330200000,327581000,345009000,421059000,475510000,778375000,933505000,1023285000,1103172000,1215768000,1327838000,1491591000,1651625000,2080463000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6914000,7332000,7436000,7269000,38838000,53871000,55352000,62865000,69480000,66326000,88585000,104603000,133605000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320667000,337677000,413623000,468241000,739537000,879634000,967933000,1040307000,1146288000,1261512000,1403006000,1547022000,1946858000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9789,0.9787,0.9823,0.9847,0.9501,0.9423,0.9459,0.9430,0.9429,0.9500,0.9406,0.9367,0.9358
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37998000,56827000,51085000,49298000,51966000,58446000,84148000,66483000,73215000,96980000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,4821000,5181000,5437000,6680000,6968000,6839000,7836000,9454000,11182000,13119000,15421000,17539000,22694000,21618000,20946000,25311000,30954000,37998000,56827000,51085000,49298000,51966000,58446000,84148000,66483000,73215000,96980000
9,Other Expenses,23283000,-23200000,21152000,21008000,20546000,37448000,27774000,31848000,34889000,35253000,38749000,112470000,51089000,63578000,82105000,97780000,92060000,95513000,121751000,149597000,306577000,374661000,409215000,449943000,498788000,539780000,593961000,677038000,897835000
