,https://roic.ai/company/ROYL,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6600000,8300000,10000000,9100000,8400000,7800000,11687352,15858273,12439888,23265137,25944356,25643378,24896043,16557399,19174114,8625585,11598440,11671048,4394745,2573061,3221498,1713088,1213839,1007379,3283041,2967183,1587855
2,COGS,2400000,4700000,5600000,3200000,1500000,2700000,1997579,3122553,4184805,6065283,8472321,11244479,11996969,7518247,24613063,5498735,4282116,9570350,1790064,1514533,2312572,1873245,2666090,551654,2336303,2232681,- -
3,Gross Profit,4200000,3600000,4400000,5900000,6900000,5100000,9689773,12735720,8255083,17199854,17472035,14398899,12899074,9039152,-5438949,3126850,7316324,2100698,2604681,1058528,908926,-160157,-1452251,455725,946738,734502,1587855
4,Gross Profit Ratio,0.6364,0.4337,0.4400,0.6484,0.8214,0.6538,0.8291,0.8031,0.6636,0.7393,0.6734,0.5615,0.5181,0.5459,-0.2837,0.3625,0.6308,0.1800,0.5927,0.4114,0.2821,-0.0935,-1.1964,0.4524,0.2884,0.2475,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6161972,4263989,4575754,5084455,4582306,3605775,3563273,3740042,3242079,3545820,4527046,3007973,2109232
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1160999,810147,621531,713495,594118,332482,430779,326143,294522,268660,340641,414971,113614
8,"Selling, General and Administrative Exp.",3600000,2400000,2100000,3500000,5400000,3100000,4819665,7281566,6648178,7926709,9985899,7336226,7325737,7096548,7322971,5074136,5197285,5797950,5176424,3938257,3994052,4066185,3536601,3814480,4867687,3422944,2222846
9,Other Expenses,500000,400000,500000,700000,1500000,1500000,1371809,1282640,1694027,2418922,3714271,4805229,8761953,5827748,4148415,1199583,5247934,2448359,1711769,456510,968707,937351,283874,-1487824,-2558716,-2909908,- -
