,https://roic.ai/company/LUVU,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,87500,81900,- -,11079760,17323689,- -,13845509,14719641,15554338,16826000,16931000,16426000,17003000,18376000,23105000
2,COGS,- -,- -,- -,7399361,11614967,- -,9833921,10867208,11798541,12598000,11994000,11631000,12579000,12850000,16804000
3,Gross Profit,87500,81900,- -,3680399,5708722,- -,4011588,3852433,3755797,4228000,4937000,4795000,4424000,5526000,6301000
4,Gross Profit Ratio,1.0000,1.0000,- -,0.3322,0.3295,- -,0.2897,0.2617,0.2415,0.2513,0.2916,0.2919,0.2602,0.3007,0.2727
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,104806,103194,124674,169500,166467,150742,123478,- -,- -
6,General and Administrative Exp.,104619,87135,- -,2188553,2699532,- -,1740487,1910834,1928922,2257000,2423000,2409000,2336000,2367000,2694000
7,Selling and Marketing Exp.,- -,- -,- -,1866723,2985918,- -,- -,- -,- -,- -,- -,- -,- -,1557000,1545000
8,"Selling, General and Administrative Exp.",104619,87135,- -,4055276,5685450,- -,1740487,1910834,1928922,2257000,2423000,2409000,2336000,3924000,4239000
9,Other Expenses,6326,1100,- -,249380,246405,4526204,1978250,1810923,1772292,1654500,1611533,1559258,1554522,151000,220000
10,Operating Expenses,110945,88235,- -,4304656,5931855,4526204,3823543,3824951,3825888,4081000,4201000,4119000,4014000,4075000,4459000
11,COGS and Expenses,110945,88235,- -,11704017,17546822,- -,13657464,14692159,15624429,16679000,16195000,15750000,16593000,16925000,21263000
12,Interest Income ,- -,- -,- -,4543,752,652,648,628,438,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,222071,396158,351599,389325,404166,395183,459000,532000,529000,567000,590000,375000
14,Depreciation and Amortization,781,728,- -,249380,246405,342855,176946,232849,219168,225000,208000,193000,165000,151000,515000
15,EBITDA,-22664,-5607,- -,-562501,-158689,- -,277786,260959,140605,372000,943000,869000,575000,1601000,3453000
16,EBITDA ratio,-0.2590,-0.0685,- -,-0.0508,-0.0092,- -,0.0201,0.0177,0.0090,0.0221,0.0557,0.0529,0.0338,0.0871,0.1494
17,Operating Income,-23445,-6335,- -,-624257,-304318,-353188,188045,27482,-70091,147000,736000,676000,410000,1451000,1842000
18,Operating Income ratio,-0.2679,-0.0774,- -,-0.0563,-0.0176,-Infinity,0.0136,0.0019,-0.0045,0.0087,0.0435,0.0412,0.0241,0.0790,0.0797
19,Total Other Income Expenses (Gains),- -,- -,- -,-409695,-496934,- -,-476530,-403538,-403655,-459000,-533000,-529000,-567000,-591000,721000
20,Income Before Tax,- -,- -,- -,-1033952,-801252,- -,-288485,-376056,-473746,-312000,203000,147000,-157000,860000,2563000
21,Income Before Tax Ratio,- -,- -,- -,-0.0933,-0.0463,- -,-0.0208,-0.0255,-0.0305,-0.0185,0.0120,0.0089,-0.0092,0.0468,0.1109
