,https://roic.ai/company/JKSM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,48230000,61790000,65733578,1390525,- -,- -,- -,- -,- -,- -,- -,- -,- -,6628919,4590980,3282,6749
2,COGS,- -,54887,- -,- -,- -,45280000,58400000,62282688,960272,- -,- -,- -,- -,- -,- -,- -,- -,- -,4859153,3584530,1789,4861
3,Gross Profit,- -,-54887,- -,- -,- -,2950000,3390000,3450890,430253,- -,- -,- -,- -,- -,- -,- -,- -,- -,1769766,1006450,1493,1888
4,Gross Profit Ratio,- -,-Infinity,- -,- -,- -,0.0612,0.0549,0.0525,0.3094,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2670,0.2192,0.4550,0.2798
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,747099,287751,221182,214061,144142,74302,- -,35955,3832,3567222,4524113,1881795,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,339279,632908,112865,281902,2512427,2176106,786215,1652379,747099,287751,221182,214061,144142,74302,- -,35955,3832,3567222,4524113,1881795,1252
9,Other Expenses,- -,360010,- -,- -,49100000,74628,112773,156317,845681,195011,6604,8728,9029,13239,1882,- -,- -,- -,- -,- -,-1879913,1273
10,Operating Expenses,- -,699289,632908,112865,49381902,2587055,2288879,942532,2498060,942110,294355,229910,223090,157381,76184,- -,35955,3832,3567222,4524113,1882,2526
11,COGS and Expenses,- -,754176,596206000,120000,49380000,47890000,60660000,63225220,3458332,-960000,290000,230000,220000,160000,76180,- -,35960,3830,8426375,8108640,3671,7386
12,Interest Income ,- -,- -,- -,- -,- -,17019,47622,- -,8657,4455,211,131,59,30,10,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,4059,- -,- -,- -,36254,6206,- -,- -,- -,13468,28127,42219,53479,61161,58098,48696,48696,135914,1315764,1751710,870
14,Depreciation and Amortization,- -,10010,- -,45,57,74628,112773,156317,845681,195011,6604,8728,9029,13239,1882,- -,- -,- -,1067,1066,9932,2
15,EBITDA,- -,-424530,-632908000,-120000,-49380000,450882,1258979,2760851,-5873438,1160000,-280000,-220000,-210000,-150000,-62940,58039900,-35954,-3834,-1802892,-2228050,1758583,866
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,0.0093,0.0204,0.0420,-4.2239,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-0.2720,-0.4853,535.8374,0.1284
17,Operating Income,- -,-754176,-632908,-112865,-49381902,358626,1102481,2508358,-2067807,-942110,-294355,-229910,-223090,-157381,-76184,- -,-35955,-3832,-1797456,-3517661,-388677,-637
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,0.0074,0.0178,0.0382,-1.4871,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-0.2712,-0.7662,-118.4292,-0.0944
19,Total Other Income Expenses (Gains),- -,-319636,-3667058092,-7135,1902,-18626,37519,96176,-4738570,562110,-15645,-30090,-46910,-52619,-61156,- -,-48695,-48698,-142417,-27219,385618,632
20,Income Before Tax,- -,- -,-3667691000,-120000,-49380000,340000,1140000,2604534,-6806377,-380000,-310000,-260000,-270000,-210000,-137340,-58100,-84650,-52530,-1939873,-3544880,-3059,-5
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,0.0070,0.0184,0.0396,-4.8948,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2926,-0.7721,-0.9319,-0.0008
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,20000,40102,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-727871,-3667691000,-120000,-49380000,340000,1120000,2564432,-6719119,-4380000,-310000,-260000,-270000,-210000,-153140,-58100,-84650,-52530,-1939873,-3544880,-3059,-5
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,0.0070,0.0181,0.0390,-4.8321,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2926,-0.7721,-0.9319,-0.0008
25,EPS,- -,-77.29,-400.00,-2.54,-667.42,4.20,13.84,31.80,-29.00,-8.00,-0.09,-0.08,-0.08,-0.06,-0.05,-0.02,-0.01,-0.00,-0.04,-0.06,-0.05,-0.00
26,EPS Diluted,- -,-77.29,-400.00,-2.54,-667.42,4.20,13.84,31.80,-29.00,-8.00,-0.09,-0.08,-0.08,-0.06,-0.05,-0.02,-0.01,-0.00,-0.04,-0.06,-0.05,-0.00
27,Weighted Average Shares Outstanding,- -,9418,11438,44435,73992,81078,80659,80659,232282,545935,3272371,3272311,3272311,3272311,3272311,3272311,17780508,33272311,44402805,59428943,64184514,64184514
28,Weighted Average Shares Outstanding Diluted,- -,9418,11438,44435,73992,81078,80659,80659,232282,545935,3272371,3272311,3272311,3272311,3272311,3272311,17780508,33272311,44402805,59428943,64184514,64184514
