,https://roic.ai/company/IONQ,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,143000,2099000
2,COGS,143000,3588000
3,Gross Profit,- -,-1489000
4,Gross Profit Ratio,- -,-0.7094
5,Research and Development Exp.,10157000,- -
6,General and Administrative Exp.,3547000,13737000
7,Selling and Marketing Exp.,486000,3233000
8,"Selling, General and Administrative Exp.",4033000,16970000
9,Other Expenses,1543000,23816000
10,Operating Expenses,15733000,40786000
11,COGS and Expenses,15733000,40786000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),- -,- -
14,Depreciation and Amortization,1400000,2548000
15,EBITDA,-14024000,-103638000
16,EBITDA ratio,-98.0699,-49.3749
17,Operating Income,-15733000,-38687000
18,Operating Income ratio,-110.0210,-18.4312
19,Total Other Income Expenses (Gains),309000,-67499000
20,Income Before Tax,-15424000,-106186000
21,Income Before Tax Ratio,-107.8601,-50.5889
22,Income Tax expense (Gain),- -,- -
23,Net Income,-15424000,-106186000
24,Net Income ratio,-107.8601,-50.5889
25,EPS,-0.08,-0.55
26,EPS Diluted,-0.08,-0.55
27,Weighted Average Shares Outstanding,192485413,192485413
28,Weighted Average Shares Outstanding Diluted,192485413,192485413
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1824920/000119312521182887/0001193125-21-182887-index.htm,https://www.sec.gov/Archives/edgar/data/1824920/000119312522086738/0001193125-22-086738-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,36120000,399025000
32,Short-Term Investments,- -,123443000
33,Cash and Short-Term Investments,36120000,522468000
34,Net Receivables,390000,707000
35,Inventory,- -,- -
36,Other Current Assets,2069000,6442000
37,Total Current Assets,38579000,529617000
38,PP&E,16284000,22902000
39,Goodwill,- -,- -
40,Intangible Assets,2687000,5841000
41,Intangible Assets,2687000,5841000
42,Investments,- -,80110000
43,Tax Assets,- -,- -
44,Other Non-Current Assets,2928000,3558000
45,Total Non-Current Assets,21899000,112411000
46,Other Assets,- -,- -
47,Total Assets,60478000,642028000
48,Accounts Payable,- -,1882000
49,Short-Term Debt,1485000,568000
50,Tax Payable,- -,- -
51,Deferred Revenue,240000,3430000
52,Other Current Liabilities,156000,3811000
53,Total Current Liabilities,1881000,9691000
54,Long-Term Debt,3776000,3643000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,1118000,37464000
58,Total Non-Current Liabilities,4894000,41107000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,6775000,50798000
62,Preferred Stock,- -,- -
63,Common Stock,3000,19000
64,Retained Earnings,-39605000,-145791000
65,Other Comprehensive Income/Loss,- -,-148000
66,Other Total Stockholders Equity,93305000,737150000
67,Total Stockholders Equity,53703000,591230000
68,Total Liabilities And Stockholders Equity,60478000,642028000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,60478000,642028000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1824920/000119312521182887/0001193125-21-182887-index.htm,https://www.sec.gov/Archives/edgar/data/1824920/000119312522086738/0001193125-22-086738-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-15424000,-106186000
74,Depreciation and Amortization,1400000,2548000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,1224000,7748000
77,Change in Working Capital,- -,483228000
78,Accounts Receivable,-290000,-317000
79,Inventory,- -,- -
80,Accounts Payable,96000,763000
81,Other Working Capital,36698000,519926000
82,Other Non-Cash Items,793000,-413875000
83,Cash Provided by Operating Activities,-12007000,-26537000
84,CAPEX,-11163000,-9404000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,-203761000
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,-1644000,-2241000
89,Cash Used for Investing Activites,-11676000,-213785000
90,Debt Repayment,- -,- -
91,Common Stock Issued,2903000,1567000
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,-2627000,601660000
95,Cash Used/Provided by Financing Activities,276000,603227000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,-23407000,362905000
98,Cash at the End of Period,36120000,399025000
99,Cash at the Beginning of Period,59527000,36120000
100,Free Cash Flow,-23170000,-35941000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1824920/000119312521182887/0001193125-21-182887-index.htm,https://www.sec.gov/Archives/edgar/data/1824920/000119312522086738/0001193125-22-086738-index.htm
102,false,,
