,https://roic.ai/company/IONM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,1007,308,- -,- -,- -,- -,- -,- -,- -,15795820,14812234,17725000,3524000,29192000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,2618715,3551278,4955000,7912000,14318000
3,Gross Profit,1007,308,- -,- -,- -,- -,- -,- -,- -,13177105,11260956,12770000,-4388000,14874000
4,Gross Profit Ratio,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,0.8342,0.7602,0.7205,-1.2452,0.5095
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,66855,88661,67954,62109,171148,40087,49309,28271,57353,3092222,5311884,8427000,9592000,14805000
7,Selling and Marketing Exp.,1186,254,390,107,381,- -,- -,- -,- -,398731,807285,1435000,1209000,1082000
8,"Selling, General and Administrative Exp.",68041,88915,68344,62215,171529,40087,49309,28271,57353,3490953,6119169,9862000,10801000,15887000
9,Other Expenses,- -,-0,- -,- -,- -,- -,- -,- -,- -,17674282,265394,537000,1014000,1114000
10,Operating Expenses,68041,88915,68344,62215,171529,40087,49309,28271,57353,21165235,6384563,10399000,11815000,17001000
11,COGS and Expenses,68041,88915,68344,62215,171529,40087,49309,28271,57353,23783950,9935841,15354000,19727000,31319000
12,Interest Income ,1007,308,- -,- -,- -,- -,1365,902,3275,- -,7150,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7150,326000,530000,-1081000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,205836,406967,537000,1014000,1114000
15,EBITDA,-67034,-88607,-68344,-62215,-171529,-40087,-49309,-28271,-57353,-7116165,6465108,4385000,-15677000,-3552000
16,EBITDA ratio,-66.5416,-287.2446,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4505,0.4365,0.2474,-4.4486,-0.1217
17,Operating Income,-67034,-88607,-68344,-62215,-171529,-40087,-49309,-28271,-57353,-6531184,4734820,2371000,-16203000,-2127000
18,Operating Income ratio,-66.5416,-287.2446,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4135,0.3197,0.1338,-4.5979,-0.0729
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,1365,902,3275,-790817,1316171,1151000,-1018000,-1458000
20,Income Before Tax,- -,- -,- -,- -,-171529,-40087,-47945,-27369,-54078,-7322001,6050991,3522000,-17221000,-3585000
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4635,0.4085,0.1987,-4.8868,-0.1228
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-1820843,1731223,980000,-2185000,-829000
23,Net Income,-67034,-88607,-68344,-62215,-171529,-40087,-47945,-27369,-54078,-5501158,4319768,2542000,-15036000,-2756000
24,Net Income ratio,-66.5416,-287.2446,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.3483,0.2916,0.1434,-4.2667,-0.0944
25,EPS,-0.16,-0.14,-0.10,-0.05,-0.15,-0.05,-0.04,-0.02,-0.04,-0.85,0.60,0.35,-2.05,-0.24
26,EPS Diluted,-0.16,-0.14,-0.10,-0.05,-0.15,-0.05,-0.04,-0.02,-0.04,-0.85,0.50,0.30,-2.05,-0.24
27,Weighted Average Shares Outstanding,195068,600000,625777,1180000,1180000,980000,1154739,1592000,1214195,6645039,7110446,6880521,7246625,11725422
28,Weighted Average Shares Outstanding Diluted,195068,600000,625777,1180000,1180000,980000,1154739,1592000,1214195,6645039,8987246,8382521,7246625,11725422
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1798270/000155837021003716/0001558370-21-003716-index.htm,https://www.sec.gov/Archives/edgar/data/1798270/000155837022003471/0001558370-22-003471-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,147174,96539,232177,164079,583,1035,190985,117207,186586,215326,830966,59000,4386000,4020000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,147174,96539,232177,164079,583,1035,190985,117207,186586,215326,830966,59000,4386000,4020000
34,Net Receivables,1089,2023,5152,3541,10943,1408,1365,521,188947,18947710,25141009,33480000,20305000,27810000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,712,- -,883,1633,1676,- -,- -,-0,-0,130060,85238,168000,284000,6173000
37,Total Current Assets,148975,98562,238212,169253,13201,2443,192350,117728,375533,19293096,26057213,33707000,24975000,38003000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,499123,679881,871000,1088000,1041000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2857000,2857000,4448000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4587000,4115000,3649000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7444000,6972000,8097000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2259663,2255819,2360000,608000,525000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,37313,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,743000
45,Total Non-Current Assets,37313,- -,- -,- -,- -,- -,- -,- -,- -,2758786,2935700,10675000,8668000,10406000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,186288,98562,238212,169253,13201,2443,192350,117728,375533,22051882,28992913,44382000,33643000,48409000
48,Accounts Payable,- -,26829,- -,- -,- -,54671,31493,651,30310,632204,3015794,4365000,102000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,181787,479540,2125000,4621000,1217000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,22475,267190,- -,- -,136000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,48334,- -,17011,14783,26196,- -,- -,9883,5580,1962377,267190,5111000,2865000,2500000
53,Total Current Liabilities,48334,26829,17011,14783,26196,54671,31493,10534,35890,2776368,3762524,11601000,7588000,3717000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,291063,381453,4089000,3023000,12654000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,92276,665839,2184000,599000,601000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,16465077,16313155,16617000,3224000,2481000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,16848416,17360447,22890000,6846000,15736000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,472850,587294,961000,1293000,- -
61,Total Liabilities,48334,26829,17011,14783,26196,54671,31493,10534,35890,19624784,21122971,34491000,14434000,19453000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,35505,35562,35000,56000,13000
64,Retained Earnings,-74346,-175016,-251574,-308654,-488303,-496315,-503177,-448298,-516914,-3687522,632246,3174000,-11688000,-14444000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,89271,81882,68497,76127,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43387000
67,Total Stockholders Equity,137955,71732,221201,154470,-12995,-52228,160857,107194,339643,2427098,7869942,9891000,19209000,28956000
68,Total Liabilities And Stockholders Equity,186288,98562,238212,169253,13201,2443,192350,117728,375533,22051882,28992913,44382000,33643000,48409000
69,Minority Interest,- -,- -,- -,- -,- -,0,- -,-0,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,186288,98562,238212,169253,13201,2443,192350,117728,375533,22051882,28992913,44382000,33643000,48409000
