,https://roic.ai/company/CSR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14117694,18659665,23833982,32407545,39927262,55445193,75767150,93016069,119135290,140505000,156447000,172799000,197817000,221170000,240005000,242775000,237407000,241788000,259406000,265482000,283190000,188320000,205738000,169745000,185755000,177994000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57648000,64657000,66107000,68767000,62982000,120483000,127960000,131680000,79100000,88355000,73034000,78315000,73158000,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163522000,175348000,176668000,168640000,178806000,138923000,137522000,151510000,109220000,117383000,96711000,107440000,104836000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7393,0.7306,0.7277,0.7103,0.7395,0.5355,0.5180,0.5350,0.5800,0.5705,0.5697,0.5784,0.5890,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,1057469,1569853,- -,2747000,3845000,3674000,4162000,7369000,7481000,9621000,8921000,10244000,23902000,27704000,30326000,11267000,12075000,19729000,20636000,19241000,16213000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000,452000,502000,605000,687000,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,1057469,1569853,2051212,2747000,3845000,3674000,4162000,7827000,7933000,10123000,9526000,10931000,23902000,27704000,30326000,11267000,12075000,19729000,20636000,19241000,16213000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93155000,106326000,123838000,137173000,146067000,151877000,158474000,148069000,143098000,99296000,103674000,109733000,177925000,173271000,74271000,75593000,41540000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000000,110000000,128000000,145000000,154000000,162000000,168000000,159000000,167000000,127000000,134000000,121000000,190000000,193000000,94907000,94834000,57753000
11,COGS and Expenses,10549680,15041858,12695763,38195451,45627567,28563149,40347940,48545289,141178895,171742000,146724000,162636000,186182000,145470000,161187000,170035000,169447000,167821000,175795000,188954000,194940000,142430000,159235000,174833000,173222000,167992000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2760000,608000,546000,259000,148000,222000,1908000,2238000,2256000,369000,1197000,2092000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63439000,68743000,69106000,64021000,65113000,62900000,59142000,59020000,35768000,41127000,34178000,30537000,29077000,-29078000
14,Depreciation and Amortization,1866230,2359624,3645179,4898015,6121551,8676209,12727720,16064368,20306618,26034000,35803000,39219000,46695000,52423000,57832000,61184000,61344000,61954000,67559000,73723000,72078000,65455000,56612000,91802000,75408000,76596000,92165
15,EBITDA,5837338,6971594,7543028,9912924,13725686,17484054,21421960,26664497,32554779,35474000,50879000,50786000,60805000,127950000,135101000,134291000,145447000,135279000,155989000,119691000,155185000,173229000,141086000,242768000,185151000,110754000,29984165
16,EBITDA ratio,0.4135,0.3736,0.3165,0.3059,0.3438,0.3153,0.2827,0.2867,0.2733,0.2525,0.3252,0.2939,0.3074,0.5785,0.5629,0.5532,0.6126,0.5595,0.6013,0.4508,0.5480,0.9199,0.6858,1.4302,0.9967,0.6222,Infinity
17,Operating Income,3568014,3617807,3499443,4691198,6401676,9867874,10187812,44470780,15859422,12253000,9723000,9754000,11635000,15021000,9737000,- -,- -,74241000,85116000,33116000,78650000,39517000,-13801000,-23704000,11417000,8340000,29892000
18,Operating Income ratio,0.2527,0.1939,0.1468,0.1448,0.1603,0.1780,0.1345,0.4781,0.1331,0.0872,0.0621,0.0564,0.0588,0.0679,0.0406,- -,- -,0.3070,0.3281,0.1247,0.2777,0.2098,-0.0671,-0.1396,0.0615,0.0469,Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,965499,3847184,3508496,1203210,1093854,830119,373000,986000,832000,721000,42000,30000,337000,-63480000,-64327000,-62152000,-56506000,-49966000,-20237000,-24349000,-13490000,73405000,-3597000,-31993000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4480000,9914000,22964000,-23390000,28684000,19280000,-38150000,-37194000,84822000,4743000,-2101000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0189,0.0410,0.0885,-0.0881,0.1013,0.1024,-0.1854,-0.2191,0.4566,0.0266,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,3971108,4611970,3897849,5014909,7604135,8807845,8694240,10600129,12248161,9440000,15076000,11567000,14110000,12088000,8526000,4001000,20082000,8212000,25530000,-13174000,24087000,72006000,43347000,116788000,79206000,5081000,-2101000
24,Net Income ratio,0.2813,0.2472,0.1635,0.1547,0.1904,0.1589,0.1147,0.1140,0.1028,0.0672,0.0964,0.0669,0.0713,0.0547,0.0355,0.0165,0.0846,0.0340,0.0984,-0.0496,0.0851,0.3824,0.2107,0.6880,0.4264,0.0285,-Infinity
25,EPS,3.80,3.80,2.80,3.20,4.40,4.20,3.80,4.20,3.80,2.40,3.00,2.00,2.40,1.80,1.10,0.30,2.20,0.70,1.70,-2.30,1.10,4.90,2.60,8.70,6.06,-0.15,-0.15
26,EPS Diluted,3.80,3.80,2.80,3.20,4.40,4.20,3.80,4.20,3.80,2.40,3.00,2.00,2.40,1.80,1.10,0.30,2.20,0.70,1.70,-2.30,1.10,4.90,2.60,8.70,6.00,-0.15,-0.13
27,Weighted Average Shares Outstanding,1045028,1213676,1392089,1567159,1728212,2097106,2287958,2523840,3223200,3919583,4234667,4597500,4890833,5306000,5860300,8991800,9878200,10343200,11453500,12702800,11800400,13574100,12116900,13459400,11856106,11933333,14065000
28,Weighted Average Shares Outstanding Diluted,1045028,1213676,1392089,1567159,1728212,2097106,2287958,2523840,3223200,3919583,4234667,5395000,4890833,7347700,7982000,8991800,9878200,10343200,11453500,12702800,13459800,13574100,12116900,13459400,13182000,13835000,15922000
