,https://roic.ai/company/QK,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,522737000,889937000,1233770000,1207963000,1036206000
2,COGS,567552000,1015066000,1347653000,1217660000,949654000
3,Gross Profit,-44815000,-125129000,-113883000,-9697000,86552000
4,Gross Profit Ratio,-0.0857,-0.1406,-0.0923,-0.0080,0.0835
5,Research and Development Exp.,44160000,51947000,47029000,24934000,7768000
6,General and Administrative Exp.,34353000,84953000,108196000,102769000,217108000
7,Selling and Marketing Exp.,42008000,117826000,135413000,63512000,13115000
8,"Selling, General and Administrative Exp.",76361000,202779000,243609000,166281000,230223000
9,Other Expenses,1460000,-4034000,-2427000,-15881000,18476000
10,Operating Expenses,121981000,250692000,288211000,175334000,256467000
11,COGS and Expenses,689533000,1265758000,1635864000,1392994000,1206121000
12,Interest Income ,216000,2592000,2464000,324000,38000
13,Interest Expense (Gain),50352000,79759000,94378000,130530000,127338000
14,Depreciation and Amortization,101786000,152311000,215075000,263038000,79259000
15,EBITDA,-92741000,-265396000,-188726000,-1140011000,-362546000
16,EBITDA ratio,-0.1774,-0.2982,-0.1530,-0.9437,-0.3499
17,Operating Income,-189546000,-426435000,-448307000,-1500777000,-399663000
18,Operating Income ratio,-0.3626,-0.4792,-0.3634,-1.2424,-0.3857
19,Total Other Income Expenses (Gains),-55298000,-71094000,-49967000,-32851000,-169508000
20,Income Before Tax,-244844000,-497529000,-498274000,-1533628000,-569171000
21,Income Before Tax Ratio,-0.4684,-0.5591,-0.4039,-1.2696,-0.5493
22,Income Tax expense (Gain),596000,2393000,63000,13000,31000
23,Net Income,-245475000,-499859000,-498242000,-1533592000,-569174000
24,Net Income ratio,-0.4696,-0.5617,-0.4038,-1.2696,-0.5493
25,EPS,-8.32,-15.30,-18.00,-34.20,-63.19
26,EPS Diluted,-8.32,-15.30,-18.00,-34.20,-63.19
27,Weighted Average Shares Outstanding,36551190,33247078,44762028,45037582,9007516
28,Weighted Average Shares Outstanding Diluted,36551190,33247078,44762028,45037582,9007516
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,365115000,103752000,159799000,22879000,16317000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,365115000,103752000,159799000,22879000,16317000
34,Net Receivables,54973000,141425000,153452000,99682000,124197000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,121957000,202762000,283256000,80443000,36156000
37,Total Current Assets,542045000,447939000,596507000,203004000,176670000
38,PP&E,578331000,1320822000,1185311000,358022000,38940000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,13021000,12253000,11982000,232571000,152464000
41,Intangible Assets,13021000,12253000,11982000,232571000,152464000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,201000,389000,5946000,57133000,9556000
45,Total Non-Current Assets,591553000,1333464000,1203239000,647726000,200960000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1133598000,1781403000,1799746000,850730000,377630000
48,Accounts Payable,113890000,430989000,277103000,294469000,320269000
49,Short-Term Debt,857991000,1240145000,1075852000,816641000,576799000
50,Tax Payable,- -,- -,- -,51832000,67491000
51,Deferred Revenue,120026000,174376000,241743000,318492000,363776000
52,Other Current Liabilities,81272000,124373000,102413000,532138000,1086781000
53,Total Current Liabilities,1173179000,1969883000,1697111000,1961740000,2347625000
54,Long-Term Debt,182505000,165479000,428345000,671386000,514911000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,572430000,341303000,1910641000,212054000,- -
58,Total Non-Current Liabilities,754935000,506782000,2338986000,883440000,514911000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,32789000,81264000,402132000,444554000,- -
61,Total Liabilities,1928114000,2476665000,4036097000,2845180000,2862536000
62,Preferred Stock,35777000,- -,35777000,- -,- -
63,Common Stock,24000,67000,27000,92000,110000
64,Retained Earnings,-845314000,-1394595000,-2275924000,-3809516000,-4378690000
65,Other Comprehensive Income/Loss,-2838000,1713000,-5908000,18357000,38784000
66,Other Total Stockholders Equity,- -,679781000,- -,1786989000,1845290000
67,Total Stockholders Equity,-812351000,-713034000,-2246028000,-2004078000,-2494506000
68,Total Liabilities And Stockholders Equity,1115763000,1763631000,1790069000,841102000,368030000
69,Minority Interest,17835000,17772000,9677000,9628000,9600000
70,Total Liabilities & Equity,1133598000,1781403000,1799746000,850730000,377630000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-245475000,-499859000,-498242000,-1533592000,-569174000
74,Depreciation and Amortization,101786000,152311000,215075000,263038000,79259000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,775000,2252000,8173000,16045000,15806000
77,Change in Working Capital,16699000,-9147000,109764000,291983000,155178000
78,Accounts Receivable,-84000,-160000,-831000,-644000,1573000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-3450000,3543000,16306000,115201000,25800000
81,Other Working Capital,-10260000,54162000,61810000,-340659000,-35037000
82,Other Non-Cash Items,82626000,237395000,77041000,1017367000,209270000
83,Cash Provided by Operating Activities,-43589000,-117048000,-88189000,54841000,-109661000
84,CAPEX,-285518000,-674298000,-342321000,-99172000,-2000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-9742000,-39498000,-6484000
89,Cash Used for Investing Activites,-285518000,-674298000,-351450000,-138670000,-6486000
90,Debt Repayment,-896562000,-1686516000,-1618341000,-1163215000,-126616000
91,Common Stock Issued,3000,3000,- -,289027000,- -
92,Common Stock Repurchased,- -,- -,- -,-248859000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1546010000,2226041000,2187910000,988123000,228217000
95,Cash Used/Provided by Financing Activities,649451000,539528000,569569000,-134924000,101601000
96,Effect of Forex Changes on Cash,-238000,3455000,2132000,-295000,2032000
97,Net Change In Cash,320106000,-248363000,132062000,-219048000,-12514000
98,Cash at the End of Period,367115000,118752000,250814000,31766000,19252000
99,Cash at the Beginning of Period,47009000,367115000,118752000,250814000,31766000
100,Free Cash Flow,-329107000,-791346000,-430510000,-44331000,-109663000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1503,0.1456,0.1399,0.1472,0.1551
