,https://roic.ai/company/SKAS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,13805562,39212424,47107927,8596750,8707392,12080159,16088906,16928073,14761991,18287784,15974307,14690654,12016031,11118452,11567725,3506268
2,COGS,- -,10299243,32719490,39455287,6133280,4878413,5639239,8819913,9989666,8110900,10069172,7262670,6591917,5611581,6066691,5851066,2525341
3,Gross Profit,- -,3506319,6492934,7652640,2463470,3828979,6440920,7268993,6938407,6651091,8218612,8711637,8098737,6404450,5051761,5716659,980927
4,Gross Profit Ratio,- -,0.2540,0.1656,0.1624,0.2866,0.4397,0.5332,0.4518,0.4099,0.4506,0.4494,0.5454,0.5513,0.5330,0.4544,0.4942,0.2798
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,6092189,5714543,5605094,7092654,6668533,6304011,5311207,4559578,4669097,2472203
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,6092189,5714543,5605094,7092654,6668533,6304011,5311207,4559578,4669097,2472203
9,Other Expenses,- -,4992642,8868277,7448187,3457224,4217193,5344562,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,4992642,8868277,7448187,3457224,4217193,5344562,6092189,5714543,5605094,7092654,6668533,6304011,5311207,4559578,4669097,2472203
11,COGS and Expenses,560962,15291885,41587767,46903474,9590504,9095606,10983801,14912102,15704209,13715994,17161826,13931203,12895928,10922788,10626269,10520163,4997544
12,Interest Income ,- -,38117,31188,55221,7151,14292,40632,31769,24923,17617,6693,- -,- -,- -,33027,27069,18109
13,Interest Expense (Gain),12537,466091,1150104,30530,20075,135510,172961,127734,148931,121476,85929,25024,27296,21404,17121,7987,24025
14,Depreciation and Amortization,200,466321,1358320,415427,345131,147506,189102,358044,397702,487764,626919,568821,505390,536598,472067,124264,119039
15,EBITDA,-560762,-981885,-828335,630411,-4540216,-128026,1178988,1590274,1690144,-750852,1036595,2321053,2300116,1619630,997724,1198895,-2036824
16,EBITDA ratio,-Infinity,-0.0711,-0.0211,0.0134,-0.5281,-0.0147,0.0976,0.0988,0.0998,-0.0509,0.0567,0.1453,0.1566,0.1348,0.0897,0.1036,-0.5809
17,Operating Income,-560962,-1486323,-2375343,204453,-993754,-388214,1096358,1176804,1223864,1045997,1125958,2043104,1794726,1093243,492183,1047562,-1491276
18,Operating Income ratio,-Infinity,-0.1077,-0.0606,0.0043,-0.1156,-0.0446,0.0908,0.0731,0.0723,0.0709,0.0616,0.1279,0.1222,0.0910,0.0443,0.0906,-0.4253
19,Total Other Income Expenses (Gains),- -,- -,157500,-44690,-17749,176596,-279433,-72308,-80353,-218492,-802211,-124408,-27296,-31615,16353,19082,-688612
20,Income Before Tax,- -,- -,- -,- -,- -,- -,816925,1104496,1143511,827505,323747,1918696,1767430,1061628,508536,1066644,-2179888
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0676,0.0686,0.0676,0.0561,0.0177,0.1201,0.1203,0.0884,0.0457,0.0922,-0.6217
