,https://roic.ai/company/BEDU,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,588163000,745850000,1040329000,1328367000,1718871000,2563005000,3366503000,1401780000
2,COGS,501881000,655597000,736205000,860330000,1090595000,1586014000,2144786000,1180263000
3,Gross Profit,86282000,90253000,304124000,468037000,628276000,976991000,1221717000,221517000
4,Gross Profit Ratio,0.1467,0.1210,0.2923,0.3523,0.3655,0.3812,0.3629,0.1580
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,535878000
9,Other Expenses,122158000,160835000,285815000,253098000,356114000,676465000,832493000,-24969000
10,Operating Expenses,122158000,160835000,285815000,253098000,356114000,676465000,832493000,510909000
11,COGS and Expenses,624039000,816432000,1022020000,1113428000,1446709000,2262479000,2977279000,1691172000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,169693000
14,Depreciation and Amortization,33465000,57107000,72094000,78056000,85879000,130819000,197425000,221739000
15,EBITDA,4354000,-12288000,53609000,291076000,400230000,452498000,437422000,432803000
16,EBITDA ratio,0.0074,-0.0165,0.0515,0.2191,0.2328,0.1765,0.1299,0.3088
17,Operating Income,-35876000,-70582000,18309000,214939000,272162000,300526000,307729000,-389697000
18,Operating Income ratio,-0.0610,-0.0946,0.0176,0.1618,0.1583,0.1173,0.0914,-0.2780
19,Total Other Income Expenses (Gains),1535000,1353000,2496000,17840000,44163000,33051000,-63968000,-50255000
20,Income Before Tax,-34341000,-69229000,20805000,232779000,316325000,333577000,243761000,-439952000
21,Income Before Tax Ratio,-0.0584,-0.0928,0.0200,0.1752,0.1840,0.1302,0.0724,-0.3139
22,Income Tax expense (Gain),3775000,-29317000,17889000,40970000,67382000,80580000,78992000,94176000
23,Net Income,-32886000,-40078000,-36374000,172050000,246969000,241099000,161005000,-52805000
24,Net Income ratio,-0.0559,-0.0537,-0.0350,0.1295,0.1437,0.0941,0.0478,-0.0377
25,EPS,-2.19,-2.67,-2.72,1.64,2.02,1.97,1.34,-0.44
26,EPS Diluted,-2.19,-2.67,-2.72,1.64,2.02,1.97,1.34,-0.44
27,Weighted Average Shares Outstanding,15000000,15000000,15000000,104839041,122088201,122322894,120158001,120158001
28,Weighted Average Shares Outstanding Diluted,115000000,115000000,15000000,104839041,122186796,122430457,120158001,120158001
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1696355/000156459017024670/bedu-20f_20170831.htm,https://www.sec.gov/Archives/edgar/data/1696355/000119312518349902/d634443d20f.htm,https://www.sec.gov/Archives/edgar/data/1696355/000110465919075306/a19-23533_120f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,144581000,240684000,356018000,1883000000,3153852000,3246995000,3377684000,844684000
32,Short-Term Investments,- -,- -,30500000,6390000,- -,241270000,13695000,- -
33,Cash and Short-Term Investments,144581000,240684000,386518000,1889390000,3153852000,3488265000,3391379000,844684000
34,Net Receivables,275059000,295860000,147419000,11053000,21941000,103867000,112761000,2096167000
35,Inventory,6882000,8488000,9580000,8598000,9174000,26234000,28013000,7579000
36,Other Current Assets,18694000,19049000,28519000,41104000,59514000,123482000,1168477000,739657000
37,Total Current Assets,445216000,564081000,572036000,1950145000,3244481000,3741848000,4700630000,3688087000
38,PP&E,384136000,414158000,433798000,428834000,463468000,904761000,3046098000,2299199000
39,Goodwill,- -,- -,102332000,104035000,609511000,2090078000,2284109000,1950186000
40,Intangible Assets,37613000,36640000,59497000,55871000,107378000,640215000,683603000,485822000
41,Intangible Assets,37613000,36640000,161829000,159906000,716889000,2730293000,2967712000,2436008000
42,Investments,- -,- -,- -,- -,207364000,28455000,55137000,75443000
43,Tax Assets,- -,32085000,26942000,25337000,18129000,30333000,35678000,64096000
44,Other Non-Current Assets,46792000,46232000,44627000,122410000,16150000,351947000,18054000,69667000
45,Total Non-Current Assets,468541000,529115000,667196000,736487000,1422000000,4045789000,6122679000,4944413000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,913757000,1093196000,1239232000,2686632000,4666481000,7787637000,10823309000,8632500000
48,Accounts Payable,84100000,88218000,63605000,50899000,63602000,94295000,93090000,73411000
49,Short-Term Debt,- -,- -,- -,- -,49840000,50000000,1184038000,2713331000
50,Tax Payable,3533000,5258000,16169000,40387000,58404000,106927000,133309000,187619000
51,Deferred Revenue,360412000,477890000,664201000,761876000,965152000,1529137000,1544184000,425954000
