,https://roic.ai/company/ATNM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1144000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,3440485,2666859,12267313,13311739,17501364,17699503,17094778,16549693,16085000,18031000
6,General and Administrative Exp.,17534,11011,18916,14535,25405,9615,4506232,3919351,10175323,11464560,9268594,9155347,6732544,5521754,6308000,8077000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",17534,11011,18916,14535,25405,9615,4506232,3919351,10175323,11464560,9268594,9155347,6732544,5521754,6308000,8077000
9,Other Expenses,- -,982,- -,- -,- -,- -,581,1560,37908,53465,77523,55938,- -,- -,- -,- -
10,Operating Expenses,- -,11993,- -,14535,25405,9615,7947298,6587770,22480544,24829764,26847481,26910788,23827322,22071447,22393000,26108000
11,COGS and Expenses,17534,11993,26419,14535,25405,9615,7947298,6587770,22480544,24829764,26847481,26910788,23827322,22071447,22393000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5430,173359,172393,178000,- -
13,Interest Expense (Gain),870,2807,4824,6402,6621,4759,1099327,2508,866,7868,5007,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,581,1560,37908,53465,77523,55938,50721,420089,447000,524000
15,EBITDA,-17534,-11993,-26419,-14535,-25405,-9615,-7946717,-6586210,-22442636,-24776299,-26769958,-26854850,-23776601,-21651358,-21768000,-24250000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-21.1976
17,Operating Income,-17534,-11993,-26419,-16025,-26053,-9952,-7947298,-6591892,-22480544,-24829764,-26847481,-26910788,-23827322,-22071447,-22393000,- -
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,-6306,27727,20241,-413907,-4181900,-2206965,3804450,2525757,309553,173359,172393,178000,- -
20,Income Before Tax,- -,- -,- -,-22331,1674,10289,-8361205,-10773792,-24687509,-21025314,-24321724,-26601235,-23653963,-21899054,-22215000,-24774000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-21.6556
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-18404,-14800,-31243,-22331,1674,10289,-8361205,-10773792,-24687509,-21025314,-24321724,-26601235,-23653963,-21899054,-22215000,-24774000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-21.6556
25,EPS,-0.30,-0.30,-0.30,-0.30,0.00,0.03,-227.40,-14.10,-27.00,-16.50,-15.00,-12.00,-6.60,-4.50,-1.83,-2.17
26,EPS Diluted,-0.30,-0.30,-0.30,-0.30,0.00,0.03,-227.40,-14.10,-27.00,-16.50,-15.00,-12.00,-6.60,-4.50,-1.83,-2.17
27,Weighted Average Shares Outstanding,76993,76993,371829,371829,371829,371829,36783,758417,912115,1271936,1615426,2224857,3534691,4975671,12134259,11390621
