,https://roic.ai/company/OMQS,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1,255300,107500,- -,- -,- -,- -,- -,50743,275424,176425,36783,1248,4069,37309973,63854132,60047124,54458845,56202332,57199000,55209000,78251000
2,COGS,- -,- -,240100,11100,- -,- -,- -,- -,- -,19173,- -,- -,- -,- -,- -,29976811,50696771,47952579,43089210,43139895,43165000,44293000,61582000
3,Gross Profit,- -,- -,15200,96400,- -,- -,- -,- -,- -,31570,275424,176425,36783,1248,4069,7333162,13157361,12094545,11369635,13062437,14034000,10916000,16669000
4,Gross Profit Ratio,- -,- -,0.0595,0.8967,- -,- -,- -,- -,- -,0.6222,1.0000,1.0000,1.0000,1.0000,1.0000,0.1965,0.2061,0.2014,0.2088,0.2324,0.2454,0.1977,0.2130
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1805000,1873000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,721681,579694,339361,191632,996512,7465267,12387582,11491523,10485191,14244844,14744000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,721681,579694,339361,191632,996512,7465267,12387582,11491523,10485191,14244844,14744000,15802000,21865000
9,Other Expenses,- -,34200,71200,81300,1488966,- -,- -,- -,- -,832122,465549,67460,2784,- -,- -,25598,2703038,1792326,1762937,1841363,2154000,2292000,3411000
10,Operating Expenses,- -,34200,71200,81300,1488966,- -,- -,- -,- -,832122,1187230,647154,342145,191632,996512,7490865,15090620,13283849,12248128,16086207,16898000,19899000,27149000
11,COGS and Expenses,- -,34200,311300,92400,1488966,2741573,134196,287666,3565412,851295,1187230,647154,342145,191632,996512,37467676,65787391,61236428,55337338,59226102,60063000,64192000,88731000
12,Interest Income ,- -,- -,700,- -,- -,- -,- -,- -,- -,18287,41503,- -,- -,- -,16266,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,69400,69400,14854,2365,1787,10680,155900,- -,10107,27929,- -,980,278700,871971,1610237,4531263,1555350,1570003,2555000,2628000,2515000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,2826,73810,44175,32394,29143,1220,- -,- -,25598,2703308,1792326,1762937,1841363,2247000,2347000,3411000
15,EBITDA,- -,-103800,-39900,36600,-1560917,-2741573,-134196,-284840,-910614,-675238,-12841235,-866404,-300225,-190384,-842584,-100199,812941,-6953204,887112,-2315817,-640000,-6524000,-7669000
16,EBITDA ratio,- -,-103800.0000,-0.1563,0.3405,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-13.3070,-46.6235,-4.9109,-8.1621,-152.5513,-207.0740,-0.0027,0.0127,-0.1158,0.0163,-0.0412,-0.0112,-0.1182,-0.0980
17,Operating Income,- -,-34199,-56000,15100,-1488966,-2741573,-134196,-287666,-6142198,-800552,-911806,-470729,-305363,-190384,-992443,-157703,-1933259,-1189304,-878493,-3023770,-2864000,-8983000,-10480000
