,https://roic.ai/company/MRUS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,260985,944842,1437693,1400867,14882309,35749256,31133000,29943000,49107000
2,COGS,- -,10146649,18607423,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,-9885664,-17662581,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,-37.8783,-18.6937,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,17875495,19972866,40939847,53466026,55680000,70040000,98187000
6,General and Administrative Exp.,- -,3938247,3852327,839656,4478146,16432325,11890872,34110000,35781000,40896000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3938247,3852327,839656,4478146,16432325,11890872,34110000,35781000,40896000
9,Other Expenses,- -,-144992,-331971,7911136,6052543,9837560,14829558,- -,- -,- -
10,Operating Expenses,- -,3793256,3520356,26626287,30503555,67209732,80186456,89790000,105821000,139083000
11,COGS and Expenses,- -,13939904,22127779,26626287,30503555,67209732,80186456,89790000,105821000,139083000
12,Interest Income ,- -,73186,60801,54665,92550,1334069,2069321,1889000,300000,- -
13,Interest Expense (Gain),- -,75948,47424,213194,20659627,13059961,4576,- -,- -,- -
14,Depreciation and Amortization,- -,364550,307651,211007,246098,381505,729810,1138000,1444000,1485000
15,EBITDA,- -,-13241183,-20814485,-24922922,-28764040,-73944862,-26619767,-53819000,-83566000,-65092000
16,EBITDA ratio,- -,-50.7354,-22.0296,-17.3354,-20.5330,-4.9686,-0.7446,-1.7287,-2.7908,-1.3255
17,Operating Income,- -,-13678920,-21182937,-25188595,-29102688,-52327423,-44437200,-58657000,-75878000,-89976000
18,Operating Income ratio,- -,-52.4127,-22.4196,-17.5202,-20.7748,-3.5161,-1.2430,-1.8841,-2.5341,-1.8322
19,Total Other Income Expenses (Gains),- -,-2762,13376,-158529,-20567078,-35058905,17083047,3700000,-9132000,23399000
20,Income Before Tax,- -,-13681681,-21169561,-25347124,-49669766,-87386328,-27354152,-54957000,-85010000,-66577000
21,Income Before Tax Ratio,- -,-52.4233,-22.4054,-17.6304,-35.4565,-5.8718,-0.7652,-1.7652,-2.8391,-1.3558
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,298726,407229,194000,503000,239000
23,Net Income,- -,-13681681,-21169561,-25347124,-49669766,-87685054,-27761382,-55151000,-85513000,-66816000
24,Net Income ratio,- -,-52.4233,-22.4054,-17.6304,-35.4565,-5.8919,-0.7766,-1.7715,-2.8559,-1.3606
25,EPS,- -,-0.89,-1.37,-1.65,-3.75,-4.56,-1.25,-2.28,-2.92,-1.73
26,EPS Diluted,- -,-0.89,-1.37,-1.65,-3.75,-4.56,-1.25,-2.28,-2.92,-1.73
27,Weighted Average Shares Outstanding,- -,15407108,15407108,15407108,13229132,19196440,22286720,24218083,29256203,38638434
28,Weighted Average Shares Outstanding Diluted,- -,15407108,15407108,15407108,13229132,19196440,22286720,24218083,29256203,38638434
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1651311/000119312520126288/0001193125-20-126288-index.htm,https://www.sec.gov/Archives/edgar/data/1651311/000156459021013584/0001564590-21-013584-index.htm,https://www.sec.gov/Archives/edgar/data/1651311/000156459022007622/0001564590-22-007622-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,7819220,14702146,2238679,35916078,59859703,179569067,164432624,197612000,163082000,241435000
32,Short-Term Investments,- -,- -,- -,- -,- -,40841471,51309769,42153000,44673000,168990000
33,Cash and Short-Term Investments,7819220,14702146,2238679,35916078,59859703,220410538,215742393,239765000,207755000,410425000
34,Net Receivables,1272675,1024607,677319,383749,1348282,3776663,4860444,2911000,1749000,6673000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,122898,355076,1436599,13589037,1517624,3183482,4692000,8489000,7081000
37,Total Current Assets,9091896,15849651,3271073,37736427,74797022,225704825,223786319,247368000,217993000,424179000
38,PP&E,689253,535778,429252,355323,681503,1401252,2768245,8930000,8022000,7282000
