,https://roic.ai/company/GNUS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,3972663,6023010,6570199,2556538,925788,907983,866875,5335728,993452,5907899,2482127,7873000
2,COGS,1929613,3636712,4836321,1504138,500000,72867,- -,- -,1536722,4568497,- -,- -
3,Gross Profit,2043050,2386298,1733878,1052400,425788,835116,- -,- -,-543270,1339402,2482127,- -
4,Gross Profit Ratio,0.5143,0.3962,0.2639,0.4117,0.4599,0.9197,- -,- -,-0.5469,0.2267,1.0000,- -
5,Research and Development Exp.,7796,18491,32792,139082,1700,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1397191,2512025,2785853,2806153,3378742,3646860,6017391,5329718,4982779,7115678,17422921,35967000
7,Selling and Marketing Exp.,678188,917196,727695,308355,338598,420399,1035128,662373,738122,730200,817590,5442000
8,"Selling, General and Administrative Exp.",2075379,3429221,3513548,3114508,3717340,4067259,7052519,5992091,5720901,7845878,18240511,41409000
9,Other Expenses,694698,208859,149823,160654,183211,304201,279217,4257427,- -,- -,2123958,30217000
10,Operating Expenses,2777873,3656571,3696163,3414244,3902251,4371460,7331736,10249518,5720901,7845878,20364469,71626000
11,COGS and Expenses,4707486,7293283,8532484,4918382,4402251,4444327,7331736,10249518,7257623,12414375,20364469,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144898,- -
13,Interest Expense (Gain),70406,126851,382314,1693821,37592,27333,11178,3227,1019376,807205,1179857,20000
14,Depreciation and Amortization,694698,208859,149823,160654,109753,261463,310475,2660753,1168032,2571096,980,20137000
15,EBITDA,72221,-1031183,-1535472,-5361556,-3581254,-3194326,-5891482,-2244756,-6816493,-8102944,-400488968,-106210000
16,EBITDA ratio,0.0182,-0.1712,-0.2337,-2.0972,-3.8683,-3.5180,-6.7962,-0.4207,-6.8614,-1.3715,-161.3491,-13.4904
17,Operating Income,-734823,-1270273,-1962285,-2361844,-3476463,-3536344,-6464861,-4913790,-8004171,-6506476,-17882342,-63753000
18,Operating Income ratio,-0.1850,-0.2109,-0.2987,-0.9238,-3.7551,-3.8947,-7.4577,-0.9209,-8.0569,-1.1013,-7.2044,-8.0977
19,Total Other Income Expenses (Gains),41940,-101986,-105324,-4752968,-252136,53222,251726,5054,-999730,-4974769,-383787463,-62614000
20,Income Before Tax,-692883,-1372259,-2067609,-7114812,-3728599,-3483122,-6213135,-4908736,-9003901,-11481245,-401669805,-126367000
