,https://roic.ai/company/BEEM,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,347447,2303142,721835,281014,1033438,2642207,2781273,1412042,6162402,5111545,6210350,9001751
2,COGS,- -,- -,- -,222927,1742791,553228,525552,1133556,2720437,2925994,1884793,6354502,5265319,6921324,9973395
3,Gross Profit,- -,- -,- -,124520,560351,168607,-244538,-100118,-78230,-144721,-472751,-192100,-153774,-710974,-971644
4,Gross Profit Ratio,- -,- -,- -,0.3584,0.2433,0.2336,-0.8702,-0.0969,-0.0296,-0.0520,-0.3348,-0.0312,-0.0301,-0.1145,-0.1079
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,13558,27980,14673,234260,1675141,832225,557967,2396699,1647781,2643672,430084,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13558,27980,14673,234260,1675141,832225,557967,2396699,1647781,2643672,430084,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,1476507,1896417,1536568,- -,- -,- -,- -,1797561,2337446,3117793,4496660,5627674
10,Operating Expenses,13558,27980,14673,1710767,3571558,2368793,557967,2396699,1647781,2643672,2227645,2337446,3117793,4496660,5627674
11,COGS and Expenses,13558,27980,14673,1933694,5314349,2922021,1083519,3530255,4368218,5569666,4112438,8691948,8383112,11417984,15601069
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57082,11446,4602
13,Interest Expense (Gain),- -,32376,- -,1058099,754126,972027,647854,1037700,384240,275776,474601,1089223,716337,11893,498
14,Depreciation and Amortization,- -,84213,- -,62745,65026,60428,44359,41392,139032,102438,69381,62839,40500,21041,92775
15,EBITDA,-13558,56233,-14673,-1238673,-1715181,-1447525,-2100097,-2065610,-1314661,-2253702,-2496648,-2446718,-3173985,-5175147,-6501941
16,EBITDA ratio,-Infinity,Infinity,-Infinity,-3.5651,-0.7447,-2.0053,-7.4733,-1.9988,-0.4976,-0.8103,-1.7681,-0.3970,-0.6209,-0.8333,-0.7223
17,Operating Income,- -,-9553546,- -,-1586247,-3011207,-2200186,-2434671,-2496817,-1726011,-2788393,-2700396,-2529546,-3271567,-5207634,-6599318
18,Operating Income ratio,- -,-Infinity,- -,-4.5654,-1.3074,-3.0480,-8.6639,-2.4160,-0.6532,-1.0026,-1.9124,-0.4105,-0.6400,-0.8385,-0.7331
19,Total Other Income Expenses (Gains),- -,-32376,- -,-773270,476874,-279794,-357639,-647885,-111922,156477,-340234,-1069234,-659255,-447,4104
20,Income Before Tax,- -,-9585922,- -,-2359517,-2534333,-2479980,-2792310,-3144702,-1837933,-2631916,-3040630,-3598780,-3930822,-5208081,-6595214
21,Income Before Tax Ratio,- -,-Infinity,- -,-6.7910,-1.1004,-3.4357,-9.9366,-3.0430,-0.6956,-0.9463,-2.1534,-0.5840,-0.7690,-0.8386,-0.7327
22,Income Tax expense (Gain),- -,9420,- -,1334,13160,1748,1600,1600,1600,1600,800,- -,3100,4944,825
23,Net Income,-13558,-27980,-14673,-2360851,-2547493,-2481728,-2793910,-3146302,-1839533,-2633516,-3041430,-3598780,-3933922,-5213025,-6596039
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-6.7949,-1.1061,-3.4381,-9.9422,-3.0445,-0.6962,-0.9469,-2.1539,-0.5840,-0.7696,-0.8394,-0.7328
25,EPS,-0.06,-16.40,-0.03,-3.00,-2.50,-2.00,-2.00,-2.00,-1.00,-1.00,-1.00,-1.00,-0.88,-0.84,-1.07
26,EPS Diluted,-0.06,-16.40,-0.03,-3.00,-2.50,-2.00,-2.00,-2.00,-1.00,-1.00,-1.00,-1.00,-0.88,-0.84,-1.07
27,Weighted Average Shares Outstanding,228800,570766,585000,778478,948805,1109593,1390972,1704407,2014782,2249396,2549414,2891280,4466563,6170283,6170283
28,Weighted Average Shares Outstanding Diluted,228800,570766,585000,778478,948805,1109593,1390972,1704407,2014782,2249396,2549414,2891280,4466563,6170283,6170283
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1398805/000116552708000170/0001165527-08-000170-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000116552709000200/0001165527-09-000200-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1398805/000101968712001129/0001019687-12-001129-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968713001067/0001019687-13-001067-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968714001104/0001019687-14-001104-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968715001181/0001019687-15-001181-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000101968716005621/0001019687-16-005621-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316817000730/0001683168-17-000730-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316818000836/0001683168-18-000836-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316819000735/0001683168-19-000735-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316820001389/0001683168-20-001389-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316821001097/0001683168-21-001097-index.htm,https://www.sec.gov/Archives/edgar/data/1398805/000168316822002236/0001683168-22-002236-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12087,6307,1034,64074,468776,257396,392098,1380554,32451,8568,403475,244024,3849456,26702804,21948512
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
