,https://roic.ai/company/ALYA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,165500000,201200000,142400000,590500000,1505100000,1812700000,46800000,41100000,29300000,35100000,32900000,52200000,68100000,73500000,78700000,57100000,91200000,101300000,100800000,106700000,158365382,157048573,170260655,115818000,206666000,209478000,279007000,287643000
2,COGS,132600000,160600000,111200000,456500000,1112900000,1363900000,23100000,24400000,18700000,18900000,20400000,30400000,40300000,43300000,48000000,38800000,58200000,63000000,65600000,68000000,100386797,103772310,108113538,92899000,75839000,155202000,196033000,204626000
3,Gross Profit,32900000,40600000,31200000,134000000,392200000,448800000,23700000,16700000,10600000,16200000,12500000,21800000,27800000,30200000,30700000,18300000,33000000,38300000,35200000,38700000,57978585,53276263,62147117,22919000,130827000,54276000,82974000,83017000
4,Gross Profit Ratio,0.1988,0.2018,0.2191,0.2269,0.2606,0.2476,0.5064,0.4063,0.3618,0.4615,0.3799,0.4176,0.4082,0.4109,0.3901,0.3205,0.3618,0.3781,0.3492,0.3627,0.3661,0.3392,0.3650,0.1979,0.6330,0.2591,0.2974,0.2886
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,26000000,33000000,19900000,87200000,255400000,319000000,21400000,16300000,13900000,14100000,13200000,19200000,21200000,22900000,24800000,21000000,31200000,31900000,31500000,32600000,46275226,46550454,50796138,- -,125019000,- -,- -,35452000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46271000
8,"Selling, General and Administrative Exp.",26000000,33000000,19900000,87200000,255400000,319000000,21400000,16300000,13900000,14100000,13200000,19200000,21200000,22900000,24800000,21000000,31200000,31900000,31500000,32600000,46275226,46550454,50796138,- -,125019000,- -,- -,81723000
9,Other Expenses,1100000,1600000,2000000,7400000,61500000,35000000,7600000,8500000,13700000,1400000,1100000,1300000,2100000,2700000,55800000,3000000,4100000,5100000,1800000,1200000,1300684,4731481,5264378,24676000,11249000,61687000,91428000,15506000
10,Operating Expenses,27100000,34600000,21900000,94600000,316900000,354000000,29000000,24800000,27600000,15500000,14300000,20500000,23300000,25600000,80600000,24000000,35300000,37000000,33300000,33800000,47575910,51281935,56060516,24676000,136268000,61687000,91428000,97229000
11,COGS and Expenses,159700000,195200000,133100000,551100000,1429800000,1717900000,52100000,49200000,46300000,34400000,34700000,50900000,63600000,68900000,128600000,62800000,93500000,100000000,98900000,101800000,147962707,155054245,164174054,117575000,212107000,216889000,287461000,301855000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,3000,38000,31000
13,Interest Expense (Gain),-600000,-1500000,-1900000,-1700000,-10000000,-25900000,3400000,3200000,1200000,600000,700000,1300000,1500000,1700000,500000,200000,- -,-100000,-100000,-100000,253690,407747,195126,1590000,2083000,2100000,2154000,3063000
14,Depreciation and Amortization,1010000,1590000,1870000,7360000,21000000,31850000,7540000,8460000,1570000,1330000,1170000,1270000,1990000,2630000,4020000,3070000,4140000,2850000,1960000,1600000,1600627,2298456,5654631,5628000,6594000,9072000,14646000,15506000
15,EBITDA,5710000,4690000,7870000,44260000,75900000,74550000,-63260000,15460000,-34030000,1830000,1070000,5470000,9490000,10730000,-44880000,-2330000,1840000,3850000,3660000,6200000,12003302,1991636,8804914,3729000,1139000,-4154000,-25832000,-1051000
16,EBITDA ratio,0.0345,0.0233,0.0553,0.0750,0.0504,0.0411,-1.3517,0.3762,-1.1614,0.0521,0.0325,0.1048,0.1394,0.1460,-0.5703,-0.0408,0.0202,0.0380,0.0363,0.0581,0.0758,0.0127,0.0517,0.0322,0.0055,-0.0198,-0.0926,-0.0037
17,Operating Income,5800000,6000000,9400000,39400000,75300000,94800000,-5200000,-8000000,-17000000,700000,-1800000,1300000,4600000,4600000,-50000000,-5700000,-2300000,1300000,1900000,4900000,10402675,1994327,6086601,-1858000,-5441000,-13085000,-40966000,-17006000
