,https://roic.ai/company/BALY,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,414817000,421053000,437537000,523577000,372792000,1322443000
2,COGS,123543000,125413000,129341000,185172000,138669000,535079000
3,Gross Profit,291274000,295640000,308196000,338405000,234123000,787364000
4,Gross Profit Ratio,0.7022,0.7021,0.7044,0.6463,0.6280,0.5954
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5032000,5931000,2678000,8327000,4178000,- -
7,Selling and Marketing Exp.,148093000,149559000,156023000,180400000,176943000,- -
8,"Selling, General and Administrative Exp.",153125000,155490000,158701000,188727000,181121000,511669000
9,Other Expenses,25693000,16427000,22332000,24065000,34585000,146558000
10,Operating Expenses,178818000,171917000,181033000,212792000,215706000,658227000
11,COGS and Expenses,302361000,297330000,310374000,397964000,354375000,1193306000
12,Interest Income ,180000,194000,173000,1904000,612000,2250000
13,Interest Expense (Gain),26583000,22809000,23025000,39830000,63248000,120174000
14,Depreciation and Amortization,25070000,22204000,22332000,33607000,38646000,144786000
15,EBITDA,135045000,146121000,143154000,148617000,27083000,188784000
16,EBITDA ratio,0.3256,0.3470,0.3272,0.2838,0.0726,0.1428
17,Operating Income,112456000,123723000,120649000,114626000,-18386000,93382000
18,Operating Income ratio,0.2711,0.2938,0.2757,0.2189,-0.0493,0.0706
19,Total Other Income Expenses (Gains),-29064000,-22615000,-22852000,-39446000,-56425000,-169558000
20,Income Before Tax,83392000,101108000,97797000,75180000,-74811000,-76176000
21,Income Before Tax Ratio,0.2010,0.2401,0.2235,0.1436,-0.2007,-0.0576
22,Income Tax expense (Gain),38553000,38861000,26359000,20050000,-69324000,-4377000
23,Net Income,44839000,62247000,71438000,55130000,-5487000,-71799000
24,Net Income ratio,0.1081,0.1478,0.1633,0.1053,-0.0147,-0.0543
25,EPS,1.17,1.64,1.95,1.46,-0.18,-2.29
26,EPS Diluted,1.12,1.56,1.87,1.46,-0.18,-2.29
27,Weighted Average Shares Outstanding,37424111,36478759,36938943,37705000,31315151,31315151
28,Weighted Average Shares Outstanding Diluted,39250117,38442944,38551708,37820000,31315151,31315151
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1747079/000174707921000071/0001747079-21-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1747079/000174707922000027/0001747079-22-000027-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,85814000,77580000,182581000,123445000,206193000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,85814000,77580000,182581000,123445000,206193000
34,Net Receivables,- -,23707000,22966000,23190000,99281000,- -
35,Inventory,- -,7260000,6418000,7900000,9296000,- -
36,Other Current Assets,- -,17271000,15498000,31360000,56933000,- -
37,Total Current Assets,- -,134052000,122462000,245031000,288955000,- -
38,PP&E,- -,335548000,416148000,527661000,785141000,- -
39,Goodwill,- -,132035000,132035000,133082000,186979000,- -
40,Intangible Assets,- -,115367000,110104000,110373000,663395000,- -
41,Intangible Assets,- -,247402000,242139000,243455000,850374000,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1132000,1603000,5740000,5385000,- -
45,Total Non-Current Assets,- -,584082000,659890000,776856000,1640900000,- -
46,Other Assets,- -,- -,- -,- -,- -,6553217000
47,Total Assets,- -,718134000,782352000,1021887000,1929855000,6553217000
48,Accounts Payable,- -,25062000,14215000,14921000,15869000,- -
49,Short-Term Debt,- -,33325000,3595000,4014000,7270000,- -
50,Tax Payable,- -,2625000,2582000,2920000,3486000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,57849000,57778000,70849000,120055000,- -
53,Total Current Liabilities,- -,116236000,75588000,89784000,143194000,- -
54,Long-Term Debt,- -,357875000,390578000,696815000,1156130000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,11646000,17526000,13790000,36983000,- -
57,Other Non-Current Liabilities,- -,55574000,- -,10087000,266950000,- -
58,Total Non-Current Liabilities,- -,425095000,408104000,720692000,1460063000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,4937415000
60,Capital Lease Obligations,- -,- -,- -,17228000,63545000,- -
61,Total Liabilities,- -,541331000,483692000,810476000,1603257000,4937415000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,362000,380000,412000,307000,- -
64,Retained Earnings,- -,130806000,202884000,250418000,34792000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-1888000,-3144000,-69707000
66,Other Total Stockholders Equity,- -,45635000,95396000,-37531000,294643000,- -
67,Total Stockholders Equity,- -,176803000,298660000,211411000,326598000,1615802000
68,Total Liabilities And Stockholders Equity,- -,718134000,782352000,1021887000,1929855000,6553217000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,718134000,782352000,1021887000,1929855000,6553217000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1747079/000174707921000071/0001747079-21-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1747079/000174707922000027/0001747079-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,44839000,62247000,71438000,55130000,-5487000,-71799000
74,Depreciation and Amortization,25070000,22204000,22332000,33607000,38646000,144786000
75,Deferred Income Tax,4362000,-5126000,5880000,8995000,1191000,-5217000
76,Stock Based Compensation,6328000,17791000,-1474000,3826000,17706000,- -
77,Change in Working Capital,-16775000,17816000,29058000,108373000,-9486000,-148706000
78,Accounts Receivable,-4020000,-870000,-4857000,5211000,11622000,- -
79,Inventory,-621000,-461000,842000,-89000,125000,- -
80,Accounts Payable,3291000,1155000,-4078000,-3860000,-4976000,- -
81,Other Working Capital,- -,17816000,46874000,155247000,145761000,-2945000
82,Other Non-Cash Items,6868000,-7100000,-17990000,-115831000,-23068000,163690000
83,Cash Provided by Operating Activities,70692000,107832000,109244000,94100000,19502000,82754000
84,CAPEX,-10022000,-47853000,-129098000,-29329000,-15783000,-97525000
85,Acquisitions Net,- -,- -,- -,-9606000,-429063000,-2274221000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-12177000,-47485000,-117600000,-29319000,-15783000,-22683000
89,Cash Used for Investing Activites,-12177000,-47485000,-117600000,-38925000,-444846000,-2296904000
90,Debt Repayment,-46842000,-36564000,-40527000,-423939000,-254375000,-1877575000
91,Common Stock Issued,- -,- -,- -,- -,- -,667872000
92,Common Stock Repurchased,-20000000,-2275000,-7958000,-223501000,-43054000,- -
93,Dividends Paid,- -,- -,- -,-7539000,-3204000,- -
94,Other Financing Activites,-19027000,9906000,45056000,703875000,667030000,3614301000
95,Cash Used/Provided by Financing Activities,-85869000,-28933000,-3429000,48896000,366397000,2404598000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-27354000,31414000,-11785000,104071000,-58947000,148285000
98,Cash at the End of Period,61802000,93216000,81431000,185502000,126555000,274840000
99,Cash at the Beginning of Period,89156000,61802000,93216000,81431000,185502000,126555000
100,Free Cash Flow,60670000,59979000,-19854000,64771000,3719000,-14771000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1747079/000174707921000071/0001747079-21-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1747079/000174707922000027/0001747079-22-000027-index.htm
102,false,,,,,,
