,https://roic.ai/company/PAYC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,57206000,76810000,107601000,150929000,224653000,329141000,433047000,566336000,737671000,841434000,1055524000
2,COGS,13274000,16326000,20891000,27318000,35473000,54066000,72028000,90763000,109747000,123546000,161886000
3,Gross Profit,43932000,60484000,86710000,123611000,189180000,275075000,361019000,475573000,627924000,717888000,893638000
4,Gross Profit Ratio,0.7680,0.7874,0.8058,0.8190,0.8421,0.8357,0.8337,0.8397,0.8512,0.8532,0.8466
5,Research and Development Exp.,1225000,1632000,2146000,4325000,8627000,20966000,30430000,46247000,73080000,90244000,118426000
6,General and Administrative Exp.,14707000,19372000,28884000,35501000,47826000,69046000,91647000,96605000,127534000,178200000,209840000
7,Selling and Marketing Exp.,22244000,29255000,42681000,63547000,92554000,119258000,150512000,143881000,179286000,235716000,275994000
8,"Selling, General and Administrative Exp.",36951000,48627000,71565000,99048000,140380000,188304000,242159000,240486000,306820000,413916000,485834000
9,Other Expenses,4300000,4092000,3682000,4538000,5738000,7834000,9805000,15125000,21800000,27605000,35811000
10,Operating Expenses,42476000,54351000,77393000,107911000,154745000,217104000,282394000,301858000,401700000,531765000,640071000
11,COGS and Expenses,55750000,70677000,98284000,135229000,190218000,271170000,354422000,392621000,511447000,655311000,801957000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),134000,6977000,2805000,3421000,1427000,1036000,911000,766000,940000,19000,- -
14,Depreciation and Amortization,5286000,5522000,5486000,7162000,9421000,13632000,19395000,29657000,42211000,53373000,67222000
15,EBITDA,6850000,12009000,16002000,20239000,44373000,71911000,96953000,205134000,269238000,239328000,323184000
16,EBITDA ratio,0.1197,0.1563,0.1487,0.1341,0.1975,0.2185,0.2239,0.3622,0.3650,0.2844,0.3062
17,Operating Income,1456000,6133000,9317000,15700000,34435000,57971000,78625000,173715000,226224000,186123000,253567000
18,Operating Income ratio,0.0255,0.0798,0.0866,0.1040,0.1533,0.1761,0.1816,0.3067,0.3067,0.2212,0.2402
