,https://roic.ai/company/SEED,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,75056000,98717000,- -,- -,207383995,523000000,489379000,513490000,592492000,584860000,567434000,552111000,481694000,414891000,376250000,335251000,- -,12927000,92440000,52513000,46425000
2,COGS,50341000,46006000,- -,- -,129216368,363000000,462852000,404795000,392842000,353587000,371591000,387783000,315082000,301148000,264039000,259253000,- -,7047000,105270000,49000000,33611000
3,Gross Profit,24715000,52711000,- -,- -,78167627,160000000,26527000,108695000,199650000,231273000,195843000,164328000,166612000,113743000,112211000,75998000,- -,5880000,-12830000,3513000,12814000
4,Gross Profit Ratio,0.3293,0.5340,- -,- -,0.3769,0.3059,0.0542,0.2117,0.3370,0.3954,0.3451,0.2976,0.3459,0.2742,0.2982,0.2267,- -,0.4549,-0.1388,0.0669,0.2760
5,Research and Development Exp.,2497000,5372000,- -,- -,6983578,13100000,28441000,24513000,33473000,38356000,44771000,37629000,42162000,40377000,48741000,44032000,38682000,27132000,13267000,4116000,1979000
6,General and Administrative Exp.,- -,9642000,- -,- -,- -,96882000,92246000,73355000,64833000,78708000,86748000,77585000,66153000,46428000,40684000,62159000,34906000,32147000,27229000,58069000,73315000
7,Selling and Marketing Exp.,8900000,6480000,- -,- -,- -,-6282000,57994000,53203000,55648000,52227000,56831000,56437000,55375000,58972000,39987000,38079000,- -,411000,4038000,4820000,5564000
8,"Selling, General and Administrative Exp.",8900000,16122000,- -,- -,- -,90600000,150240000,126558000,120481000,130935000,143579000,134022000,121528000,105400000,80671000,100238000,34906000,32558000,31267000,62889000,78879000
9,Other Expenses,8742000,- -,4429,6905484,53729143,-0,- -,- -,- -,- -,-5120000,-3852000,-15241000,-7555000,-18541000,-6964000,-5028000,-18291000,-1028000,- -,- -
10,Operating Expenses,20139000,21494000,4429,6905484,60712720,103700000,178681000,151071000,153954000,169291000,183230000,167799000,148449000,138222000,110871000,137306000,68560000,41399000,43506000,67005000,80858000
11,COGS and Expenses,70480000,67500000,4429,6905484,189929088,466700000,641533000,555866000,546796000,522878000,554821000,555582000,463531000,439370000,374910000,396559000,68560000,48446000,148776000,116005000,114469000
12,Interest Income ,134000,440000,- -,1378171,888085,- -,10942000,5199000,2036000,1634000,1771000,2547000,1776000,596000,775000,162000,1427000,6000,3000,- -,- -
13,Interest Expense (Gain),172000,417000,- -,- -,1832685,633000,21697000,36939000,16784000,8539000,1469000,4029000,11326000,19743000,18634000,14251000,9006000,22787000,4680000,5796000,8558000
14,Depreciation and Amortization,- -,- -,- -,- -,6757520,11700000,22032000,22298000,21266000,21712000,23307000,19541000,28164000,28524000,30547000,31222000,27687000,16452000,13796000,10612000,8279000
15,EBITDA,11519000,28476000,-4429,-6905484,26416492,89033000,-119520000,11956000,8965000,88623000,15427000,23998000,51446000,357000,36668000,-18669000,-39446000,-114424000,-43134000,-68428000,-74514000
16,EBITDA ratio,0.1535,0.2885,-Infinity,-Infinity,0.1274,0.1702,-0.2442,0.0233,0.0151,0.1515,0.0272,0.0435,0.1068,0.0009,0.0975,-0.0557,-Infinity,-8.8516,-0.4666,-1.3031,-1.6050
17,Operating Income,4576000,31217000,-4429,-6905484,17454907,56300000,-152154000,-42376000,45696000,61982000,12613000,-3471000,18163000,-24479000,1340000,-61308000,-68560000,-35519000,-56336000,-91583000,-137914000
18,Operating Income ratio,0.0610,0.3162,-Infinity,-Infinity,0.0842,0.1076,-0.3109,-0.0825,0.0771,0.1060,0.0222,-0.0063,0.0377,-0.0590,0.0036,-0.1829,-Infinity,-2.7477,-0.6094,-1.7440,-2.9707
19,Total Other Income Expenses (Gains),6546000,-583000,- -,- -,234132,19500000,2489000,-3181000,-55889000,13688000,-11664000,2548000,-4389000,-24044000,-17859000,-14089000,-7579000,-117271000,-8807000,-10834000,11011000
20,Income Before Tax,11122000,30634000,- -,- -,17689039,75800000,-149665000,-45557000,-10193000,75670000,949000,-923000,13774000,-48523000,-16519000,-75397000,-76139000,-152790000,-65143000,-102417000,-126903000
21,Income Before Tax Ratio,0.1482,0.3103,- -,- -,0.0853,0.1449,-0.3058,-0.0887,-0.0172,0.1294,0.0017,-0.0017,0.0286,-0.1170,-0.0439,-0.2249,-Infinity,-11.8194,-0.7047,-1.9503,-2.7335
22,Income Tax expense (Gain),3232000,1498000,- -,- -,1404789,400000,-49000,-3995000,11732000,9319000,13730000,1862000,4462000,-38383000,1295000,1436000,- -,- -,510000,425000,178000
23,Net Income,8115000,26561000,-4429,-5527312,16421499,76300000,-163200000,-43286000,-40817000,49053000,-23079000,-1434000,7494000,-9527000,-13808000,-65578000,-75674000,-153663000,-62120000,-85261000,-91529000
24,Net Income ratio,0.1081,0.2691,-Infinity,-Infinity,0.0792,0.1459,-0.3335,-0.0843,-0.0689,0.0839,-0.0407,-0.0026,0.0156,-0.0230,-0.0367,-0.1956,-Infinity,-11.8870,-0.6720,-1.6236,-1.9715
25,EPS,8.12,26.56,-0.05,-14.07,15.21,30.52,-70.10,-18.80,-17.70,21.20,-10.00,-0.60,3.20,-4.20,-6.10,-28.70,-32.40,-50.18,-14.87,-16.95,-16.29
26,EPS Diluted,8.12,26.56,-0.05,-14.07,14.61,30.52,-70.10,-18.80,-17.70,21.00,-10.00,-0.60,3.20,-4.20,-6.10,-28.70,-32.40,-50.18,-14.87,-16.95,-16.29
27,Weighted Average Shares Outstanding,1000000,1000000,87500,403900,1078671,2500000,2326806,2298727,2301369,2318946,2307289,2338281,2325912,2274385,2279479,2285854,2334312,3061979,4184032,5029017,5617424
28,Weighted Average Shares Outstanding Diluted,1000000,1000000,87500,403900,1122015,2500000,2326806,2298727,2301369,2333726,2307289,2338281,2327844,2274385,2279479,2285854,2334312,3061979,4185840,5029017,5617424
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1321851/000114420407008434/v066087_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420408012043/v104861_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420409015982/v143764_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420410002019/v171264_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420411004372/v209188_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420412003163/v245729_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420413001636/v331179_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420414003455/v363437_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420415001862/v397565_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420416077569/v429370_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420417001412/v456430_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420418007075/tv483338_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000114420419029440/tv522682_20f.htm,https://www.sec.gov/Archives/edgar/data/1321851/000110465920027605/tm1919824d1_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,78698000,496590,821449,237934119,140832551,162314000,102263000,121755000,299672000,129942000,152789000,131978000,46268000,66025000,54509000,3245000,1990000,3198000,22482000,15351000
32,Short-Term Investments,- -,- -,- -,- -,- -,146692348,133968000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,78698000,496590,821449,237934119,287524898,296282000,102263000,121755000,299672000,129942000,152789000,131978000,46268000,66025000,54509000,3245000,1990000,3198000,22482000,15351000
34,Net Receivables,- -,- -,- -,- -,- -,21504348,11894000,14841000,14421000,17900000,13954000,11306000,6512000,3767000,2099000,539000,55940000,129506000,35371000,25416000,29439000
35,Inventory,- -,- -,- -,- -,355855660,343279836,449207000,387734000,341770000,283174000,210826000,282544000,470811000,516368000,439562000,368086000,1223000,81947000,28527000,13568000,4178000
36,Other Current Assets,- -,- -,- -,172060189,55715224,65516001,36940000,60704000,35343000,63515000,156096000,112403000,75241000,58548000,36073000,54969000,28651000,1435000,2126000,2932000,9175000
