,https://roic.ai/company/SMID,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,12200000,11200000,11410510,12004897,14434178,14432749,16008884,26008579,22604958,18163783,22115056,23790918,29362245,31520637,29855779,29515483,31709989,26696727,24893613,27710542,22470837,29204239,40050046,41717000,40220000,46691000,43862000,50642000
2,COGS,9400000,8100000,8525266,9090998,12015760,11185901,11664928,20465604,16931807,15497959,17142055,17567149,24750514,23861906,23177596,20877321,22682795,22094943,19447119,21138628,18625035,22093834,29701150,30136000,29730000,36722000,32820000,36222000
3,Gross Profit,2800000,3100000,2885244,2913899,2418418,3246848,4343956,5542975,5673151,2665824,4973001,6223769,4611731,7658731,6678183,8638162,9027194,4601784,5446494,6571914,3845802,7110405,10348896,11581000,10490000,9969000,11042000,14420000
4,Gross Profit Ratio,0.2295,0.2768,0.2529,0.2427,0.1675,0.2250,0.2713,0.2131,0.2510,0.1468,0.2249,0.2616,0.1571,0.2430,0.2237,0.2927,0.2847,0.1724,0.2188,0.2372,0.1711,0.2435,0.2584,0.2776,0.2608,0.2135,0.2517,0.2847
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2000000,2700000,2355725,1915510,2236938,2970362,2835105,3903840,4111178,4875318,4305774,4247360,5490180,5110278,3324845,3194069,2711015,2868441,2662862,3088403,2979835,3365513,3891472,5370000,5675000,4887000,4989000,5416000
7,Selling and Marketing Exp.,- -,- -,672430,680489,678871,- -,- -,- -,- -,- -,- -,- -,- -,- -,2392766,2319426,2451910,2342997,2205043,2322837,2218269,2168013,2120978,2496000,2599000,2536000,2294000,2836000
8,"Selling, General and Administrative Exp.",2000000,2700000,3028155,2595999,2915809,2970362,2835105,3903840,4111178,4875318,4305774,4247360,5490180,5110278,5717611,5513495,5162925,5211438,4867905,5411240,5198104,5533526,6012450,7866000,8274000,7423000,7283000,8252000
9,Other Expenses,400000,900000,- -,- -,- -,- -,360840,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
