,https://roic.ai/company/MARK,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,346162,457006,2259816,6655064,4991926,500890,2048304,1838000,14229000,59328000,70601000,79110000,5020000,10145000,4040000
2,COGS,- -,1352470,987266,2869509,5405128,3187379,- -,- -,- -,1864000,11155000,16909000,24628000,3514000,6422000,2328000
3,Gross Profit,- -,-1006308,-530260,-609693,1249936,1804547,500890,2048304,1838000,12365000,48173000,53692000,54482000,1506000,3723000,1712000
4,Gross Profit Ratio,- -,-2.9070,-1.1603,-0.2698,0.1878,0.3615,1.0000,1.0000,1.0000,0.8690,0.8120,0.7605,0.6887,0.3000,0.3670,0.4238
5,Research and Development Exp.,- -,516350,- -,- -,- -,- -,75720,566883,508000,1683000,2796000,3551000,13332000,3573000,- -,2918000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,6150269,6312880,17810000,25220000,36460000,37689000,33344000,14174000,9368000,13323000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,91467,388361,345000,4758000,19541000,23600000,38391000,3003000,3378000,690000
8,"Selling, General and Administrative Exp.",12556817,15145048,15678365,10136353,4983981,5919996,6241736,6701241,18155000,29978000,56001000,61289000,71735000,17177000,12746000,14013000
9,Other Expenses,- -,22856233,223548,34994,295529,220327,232574,666395,767000,3281000,11973000,11585000,11959000,988000,- -,- -
10,Operating Expenses,- -,38517631,15901913,10171347,5279510,6140323,6550030,7934519,19430000,34942000,70770000,76425000,97026000,21738000,12746000,16931000
11,COGS and Expenses,12556817,39870101,16889179,13040856,10684638,9327702,6550030,7934519,19430000,36806000,81925000,93334000,121654000,25252000,19168000,19259000
12,Interest Income ,- -,11909,515238,50515,14514,- -,2494990,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,123480,64838,364332,460000,1927000,4685000,4645000,6491000,1876000,1342000,2298000
14,Depreciation and Amortization,3900,337851,223548,439088,295529,220327,232574,666395,767000,3281000,10299000,11070000,10875000,982000,308000,191000
15,EBITDA,-12552917,-39201454,-23676913,-12130818,-5730788,-6555963,-6669791,-5934631,-16983000,-26239000,-15949000,-90742000,-4859000,-22756000,-12035000,29961000
