,https://roic.ai/company/VYEY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,20207,- -,- -,1642631,512607,491558,305180,326384,735413,695318,650648,440803,- -,1034317,2204104,851393
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,934534,196520,202750,720259,471972,359473,281425,195017,122935,- -,504091,1015855,537427
3,Gross Profit,- -,- -,- -,- -,- -,20207,- -,- -,708097,316087,288808,-415079,-145588,375940,413893,455631,317868,- -,530226,1188249,313966
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.0000,- -,- -,0.4311,0.6166,0.5875,-1.3601,-0.4461,0.5112,0.5953,0.7003,0.7211,- -,0.5126,0.5391,0.3688
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,3519409,935983,788140,- -,2823939,1507740,2687405,4389788,1961314,2174965,- -,1705704,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,3519409,935983,788140,- -,2823939,1507740,2687405,4389788,1961314,2174965,- -,1705704,- -
9,Other Expenses,9011,19461,- -,- -,- -,1293082,- -,- -,5910170,-627234,102484,2171293,51172,378398,430912,637121,135009,- -,13701391,2882023,1184618
10,Operating Expenses,9011,19461,- -,- -,- -,1293082,- -,- -,9429579,308749,890624,2171293,2875111,1886138,3118317,5026909,2096323,- -,13701391,4587727,1184618
11,COGS and Expenses,9011,19461,13960,592962,1511427,1293082,1745364,3890308,10364113,505269,1093374,2891552,3347083,2245611,3399742,5221926,2219258,2190467,14205482,5603582,1722045
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,6639,979,50111,52047,1815038,4009979,830,65181,112468,134116,338236,246035,197851,87677
14,Depreciation and Amortization,- -,- -,- -,80,289,828,1096,- -,564377,291867,100743,- -,- -,- -,- -,- -,- -,15502,674538,396308,150789
