,https://roic.ai/company/XGN,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,3055000,11663000,17946000,- -,26807000,32440000,40387000,41975000,48299000
2,COGS,2830000,6885000,9533000,- -,14137000,15379000,18808000,16559000,20588000
3,Gross Profit,225000,4778000,8413000,- -,12670000,17061000,21579000,25416000,27711000
4,Gross Profit Ratio,0.0736,0.4097,0.4688,- -,0.4726,0.5259,0.5343,0.6055,0.5737
5,Research and Development Exp.,897000,1287000,1367000,- -,1551000,2125000,2176000,3568000,7237000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,28702000,37033000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,28702000,37033000,44541000
9,Other Expenses,7207000,15286000,17698000,- -,19006000,19816000,- -,- -,20588000
10,Operating Expenses,8104000,16573000,19065000,- -,20557000,21941000,30878000,40601000,72366000
11,COGS and Expenses,10934000,23458000,28598000,- -,34694000,37320000,49686000,57160000,92954000
12,Interest Income ,- -,- -,- -,- -,45000,112000,- -,- -,- -
13,Interest Expense (Gain),941000,2941000,4501000,- -,2948000,2868000,3491000,2565000,-2625000
14,Depreciation and Amortization,455000,558000,879000,- -,670000,731000,591000,546000,948000
15,EBITDA,-12058000,-11495000,-13550000,- -,-22562000,-4355000,-7931000,-13655000,-28353000
16,EBITDA ratio,-3.9470,-0.9856,-0.7550,- -,-0.8416,-0.1342,-0.1964,-0.3253,-0.5870
17,Operating Income,-9144000,-11556000,-10388000,- -,-7836000,-4880000,-9299000,-15185000,-24067000
18,Operating Income ratio,-2.9931,-0.9908,-0.5788,- -,-0.2923,-0.1504,-0.2302,-0.3618,-0.4983
19,Total Other Income Expenses (Gains),-4310000,-3438000,-8542000,- -,-18344000,-3074000,-2714000,-1581000,-2609000
20,Income Before Tax,-13454000,-14994000,-18930000,- -,-26180000,-7954000,-12013000,-16766000,-26676000
21,Income Before Tax Ratio,-4.4039,-1.2856,-1.0548,- -,-0.9766,-0.2452,-0.2974,-0.3994,-0.5523
22,Income Tax expense (Gain),42000,-13000,253000,- -,-549000,58000,25000,-79000,175000
23,Net Income,-13496000,-14981000,-19183000,- -,-25631000,-8012000,-12038000,-16687000,-26851000
24,Net Income ratio,-4.4177,-1.2845,-1.0689,- -,-0.9561,-0.2470,-0.2981,-0.3975,-0.5559
25,EPS,-2.31,-2.57,-3.65,- -,-6.21,-1.46,-8.46,-1.32,-2.13
26,EPS Diluted,-2.31,-2.57,-3.65,- -,-6.21,-1.46,-8.46,-1.32,-2.13
27,Weighted Average Shares Outstanding,5831017,5831017,5831017,- -,5277265,5277265,3578771,12632780,12632780
28,Weighted Average Shares Outstanding Diluted,5831017,5831017,5831017,- -,5277265,5277265,3578771,12632780,12632780
29,SEC Link,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1274737/000127473720000026/0001274737-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1274737/000127473721000015/0001274737-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1274737/000162828022006926/0001628280-22-006926-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,7743000,4605000,2509000,- -,11241000,13164000,72084000,57448000,99442000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7743000,4605000,2509000,- -,11241000,13164000,72084000,57448000,99442000
34,Net Receivables,54000,- -,- -,- -,604000,5952000,5715000,8910000,9654000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,230000,474000,1357000,- -,1415000,2196000,3451000,4159000,3638000
37,Total Current Assets,8027000,5079000,3866000,- -,13260000,21312000,81250000,70517000,112734000
38,PP&E,1228000,1538000,1594000,- -,1343000,1566000,1380000,2102000,4772000
39,Goodwill,5506000,5506000,5506000,- -,5506000,5506000,5506000,5506000,5506000
40,Intangible Assets,1025000,805000,514000,- -,141000,- -,- -,- -,- -
41,Intangible Assets,6531000,6311000,6020000,- -,5647000,5506000,5506000,5506000,5506000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,1719000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,665000,2502000,3147000,- -,140000,503000,174000,250000,433000
45,Total Non-Current Assets,8424000,12070000,10761000,- -,7130000,7575000,7060000,7858000,10711000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16451000,17149000,14627000,- -,20390000,28887000,88310000,78375000,123445000
48,Accounts Payable,726000,1839000,2182000,- -,1772000,1279000,1476000,3014000,2492000
49,Short-Term Debt,8915000,18517000,25903000,- -,27000,81000,238000,308000,27478000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,938000,5905000,6832000,- -,3191000,7592000,4181000,5449000,-20652000
53,Total Current Liabilities,10579000,26261000,34917000,- -,4990000,8952000,5895000,8771000,9318000
54,Long-Term Debt,- -,- -,- -,- -,18809000,24617000,25854000,26659000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,416000,- -,214000,245000,264000,158000,306000
57,Other Non-Current Liabilities,5421000,4944000,1478000,- -,1015000,1807000,638000,948000,28885000
58,Total Non-Current Liabilities,5421000,4944000,1894000,- -,20038000,26669000,26756000,27765000,29191000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,104000,123000,44000,- -,27000,81000,238000,308000,- -
61,Total Liabilities,16000000,31205000,36811000,- -,25028000,35621000,32651000,36536000,38509000
62,Preferred Stock,22839000,24617000,37346000,- -,92046000,105232000,- -,- -,- -
63,Common Stock,10000,12000,12000,- -,- -,- -,13000,13000,16000
64,Retained Earnings,-74288000,-89269000,-108452000,- -,-147638000,-152564000,-164602000,-181289000,-208140000
65,Other Comprehensive Income/Loss,-1289000,-1628000,-2176000,- -,-2180000,-1819000,-2395000,- -,- -
66,Other Total Stockholders Equity,53179000,52212000,51086000,- -,145180000,147649000,222643000,223115000,293060000
67,Total Stockholders Equity,451000,-14056000,-22184000,- -,-4638000,-6734000,55659000,41839000,84936000
68,Total Liabilities And Stockholders Equity,16451000,17149000,14627000,- -,20390000,28887000,88310000,78375000,123445000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16451000,17149000,14627000,- -,20390000,28887000,88310000,78375000,123445000
71,SEC Link,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1274737/000127473720000026/0001274737-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1274737/000127473721000015/0001274737-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1274737/000162828022006926/0001628280-22-006926-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-13496000,-14981000,-19183000,- -,-25631000,-8012000,-12038000,-16687000,-26851000
74,Depreciation and Amortization,455000,558000,879000,- -,670000,731000,591000,546000,948000
75,Deferred Income Tax,42000,-14000,251000,- -,-554000,31000,- -,-106000,148000
76,Stock Based Compensation,152000,279000,287000,- -,187000,114000,572000,2694000,4728000
77,Change in Working Capital,-3730000,-18630000,-9869000,- -,39321000,4090000,62995000,-13609000,41670000
78,Accounts Receivable,-55000,55000,- -,- -,-198000,-2262000,237000,-3195000,-744000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,381000,1398000,77000,- -,44000,-824000,528000,986000,-655000
81,Other Working Capital,-2552000,-21182000,-31051000,- -,8270000,12360000,75355000,61746000,103416000
82,Other Non-Cash Items,9712000,22015000,15733000,- -,-24961000,-6255000,-61831000,13078000,-40912000
83,Cash Provided by Operating Activities,-6865000,-10773000,-11902000,- -,-10968000,-9301000,-9711000,-14084000,-20269000
84,CAPEX,-172000,-649000,-805000,- -,-567000,-199000,-403000,-455000,685000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2000000,- -,- -,- -
88,Other Investing Activites,721000,- -,5000,- -,57000,- -,300000,- -,-50000
89,Cash Used for Investing Activites,549000,-649000,-800000,- -,-510000,-199000,-103000,-455000,-2420000
90,Debt Repayment,-2600000,-208000,-64000,- -,-15022000,-38000,-138000,-3114000,-525000
91,Common Stock Issued,20000,195000,4000,- -,- -,- -,50448000,13000,390000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,13894000,8297000,10666000,- -,34178000,11461000,18424000,3004000,64818000
95,Cash Used/Provided by Financing Activities,11314000,8284000,10606000,- -,19156000,11423000,68734000,-97000,64683000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4998000,-3138000,-2096000,- -,7678000,1923000,58920000,-14636000,41994000
98,Cash at the End of Period,7743000,4605000,2509000,- -,11341000,13264000,72184000,57548000,99542000
