,https://roic.ai/company/AMYT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,1420849,15329798,16533974,58124000,182607000,222543000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,616297,6446001,6060398,42001000,119029000,106119000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,804552,8883797,10473576,16123000,63578000,116424000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5662,0.5795,0.6335,0.2774,0.3482,0.5232
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,2465189,12673657,10351178,15827000,27618000,37729000
6,General and Administrative Exp.,2326576,3051951,1744911,1722553,281224,275372,1473806,2469000,3196000,4245720,12576481,16773050,841000,- -,8341000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35498000,76673000,91995000
8,"Selling, General and Administrative Exp.",2326576,3051951,1744911,1722553,281224,275372,1473806,2469000,3196000,4245720,12576481,16773050,36339000,76673000,100336000
9,Other Expenses,- -,- -,- -,-1440735,- -,- -,384405,464000,141000,240840,677832,793869,- -,4729000,- -
10,Operating Expenses,2326576,3051951,1744911,281817,281224,275372,1858211,2933000,3337000,6951748,25927970,27918097,52166000,109020000,138065000
11,COGS and Expenses,2326576,3051951,1744911,281817,281224,275372,1858211,2933000,3337000,7568045,32373971,33978495,94167000,228049000,244184000
12,Interest Income ,- -,- -,- -,- -,- -,- -,319071,201000,185000,1052,5999,5720,92000,87000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2103,1011349,1569435,8481000,31573000,27906000
14,Depreciation and Amortization,161088,224233,144693,147690,99634,- -,4558,6000,6000,204030,310723,354610,12655000,44465000,50744000
15,EBITDA,-2165488,-2827718,-1600218,-281817,-281224,-275372,-202079,-2927000,33262000,-8001346,-30033352,-27521162,-45625000,-29821000,48839000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-5.6314,-1.9591,-1.6645,-0.7850,-0.1633,0.2195
17,Operating Income,-2427842,-3278168,-459866,-281817,-281224,-275372,-3509785,-2933000,-39930000,-8080224,-17044173,-17444521,-53751000,-46459000,-71211000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.6869,-1.1118,-1.0551,-0.9248,-0.2544,-0.3200
19,Total Other Income Expenses (Gains),14285,7937,-63035,- -,- -,- -,1391759,376000,189000,-127256,-14311251,-12000686,-13010000,-59400000,41400000
20,Income Before Tax,-2413557,-3270231,-522900,-281817,-281224,-275372,-2118026,-2557000,-39741000,-8207480,-31355424,-29445207,-66761000,-105859000,-29811000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.7765,-2.0454,-1.7809,-1.1486,-0.5797,-0.1340
22,Income Tax expense (Gain),- -,- -,-25787,1507,- -,- -,- -,- -,- -,- -,- -,41181,-1226000,-1332000,-11640000
23,Net Income,-2413557,-3270231,-497113,-123578,-3056502,-826115,-2118026,-2557000,-39741000,-8207480,-31355424,-29486388,-65535000,-104527000,-18171000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.7765,-2.0454,-1.7834,-1.1275,-0.5724,-0.0817
25,EPS,-0.31,-0.42,-0.05,-0.04,-0.30,-0.08,-0.33,-0.26,-3.45,-1.51,-4.22,-3.22,-4.30,-3.30,-0.57
26,EPS Diluted,-0.31,-0.42,-0.05,-0.04,-0.30,-0.08,-0.33,-0.26,-3.45,-1.51,-4.22,-3.22,-4.30,-3.30,-0.57
27,Weighted Average Shares Outstanding,7866217,7866217,9585674,10119611,10122533,10122533,6468208,9809778,11512325,5444559,7435852,9160288,15174312,31718271,31718271
28,Weighted Average Shares Outstanding Diluted,7866217,7866217,9585674,10119611,10122533,10122533,6468208,9809778,11512325,5444559,7435852,9160288,15174312,31718271,31718271
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783010/000114036121015121/0001140361-21-015121-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,1607,238549,31506017,17428000,16790000,8698624,23964057,9860444,65197000,118575000,112771000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,1607,238549,31506017,17428000,16790000,8698624,23964057,9860444,65197000,118575000,112771000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,2671322,5673393,5924274,36387000,- -,53908000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,809810,1299278,2136811,43623000,40992000,115769000
36,Other Current Assets,- -,- -,- -,4521,6428,459487,110915,76000,173000,0,644240,1362388,2032000,43408000,261000
37,Total Current Assets,- -,- -,- -,4521,8035,698036,31616932,17504000,16963000,12179757,31580968,19283917,147239000,202975000,282709000
38,PP&E,- -,613168,299414,174817,- -,- -,12041145,51658000,8000,1244163,1391655,1098147,3036000,7574000,7416000
39,Goodwill,- -,- -,1597353,1680356,- -,- -,- -,- -,- -,- -,- -,- -,30813000,19131000,56688000
40,Intangible Assets,- -,2212565,- -,- -,- -,- -,9402576,51644000,- -,55236423,63111548,60277968,-252444000,305369000,434667000
41,Intangible Assets,- -,2212565,1597353,1680356,- -,- -,9402576,51644000,- -,55236423,63111548,60277968,- -,324500000,491355000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,1607,238549,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,2072187,1123289,- -,-9402576,-51644000,- -,0,- -,148707,384072000,1542000,1885000
45,Total Non-Current Assets,- -,- -,- -,3927360,1124896,- -,12041145,51658000,8000,56480586,64503203,61524823,387108000,333616000,500656000
46,Other Assets,- -,3462714,2360930,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3462714,2360930,3931882,1132931,698036,43658077,69162000,16971000,68660342,96084171,80808739,534347000,536591000,783365000
48,Accounts Payable,- -,- -,- -,24113,19284,9606,328188,12275000,254000,2017164,5636202,5337451,23418000,90236000,41057000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,963000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,9116,12000,24000,139876,281930,499886,796000,936000,1483000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23047000,- -,- -
52,Other Current Liabilities,- -,- -,- -,19592,24105,429068,344901,865000,250000,1716377,6119682,6702128,53749000,9976000,116222000
53,Total Current Liabilities,- -,- -,- -,43704,43389,438674,673089,13140000,504000,3733541,11755885,12039579,100214000,101175000,157279000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12720445,19004804,178466000,188388000,199183000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5662362,6459198,6158774,- -,6612000,13684000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,168652,79000,- -,24519372,38891955,47301533,- -,174274000,75772000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,168652,79000,- -,30181734,58071598,72465111,178466000,369274000,288639000
59,Other Liabilities,- -,1533913,1035772,- -,- -,- -,- -,- -,- -,- -,- -,- -,483277000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5532000,- -
