,https://roic.ai/company/VNTR,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,1729000000,2162000000,2309000000,2209000000,2265000000,2130000000,1938000000,2212000000
2,COGS,1637000000,2046000000,2134000000,1713000000,1550000000,1892000000,1778000000,2020000000
3,Gross Profit,92000000,116000000,175000000,496000000,715000000,238000000,160000000,192000000
4,Gross Profit Ratio,0.0532,0.0537,0.0758,0.2245,0.3157,0.1117,0.0826,0.0868
5,Research and Development Exp.,- -,- -,- -,16000000,17000000,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,200000000,195000000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",199000000,263000000,240000000,218000000,212000000,182000000,156000000,155000000
9,Other Expenses,7000000,-1000000,-46000000,-6000000,-11000000,10000000,14000000,27000000
10,Operating Expenses,206000000,262000000,194000000,228000000,218000000,192000000,170000000,182000000
11,COGS and Expenses,1843000000,2308000000,2328000000,2022000000,2396000000,2084000000,1948000000,2202000000
12,Interest Income ,23000000,22000000,15000000,60000000,13000000,12000000,12000000,12000000
13,Interest Expense (Gain),25000000,52000000,59000000,100000000,53000000,53000000,64000000,71000000
14,Depreciation and Amortization,93000000,100000000,120000000,127000000,132000000,110000000,114000000,119000000
15,EBITDA,-63000000,-241000000,70000000,411000000,14000000,138000000,78000000,82000000
16,EBITDA ratio,-0.0364,-0.1115,0.0303,0.1861,0.0062,0.0648,0.0402,0.0371
17,Operating Income,-176000000,-366000000,-54000000,191000000,-131000000,13000000,-68000000,-58000000
18,Operating Income ratio,-0.1018,-0.1693,-0.0234,0.0865,-0.0578,0.0061,-0.0351,-0.0262
19,Total Other Income Expenses (Gains),-3000000,-30000000,-45000000,-5000000,-34000000,-33000000,-25000000,-47000000
20,Income Before Tax,-179000000,-396000000,-99000000,186000000,-165000000,-20000000,-93000000,-105000000
21,Income Before Tax Ratio,-0.1035,-0.1832,-0.0429,0.0842,-0.0728,-0.0094,-0.0480,-0.0475
22,Income Tax expense (Gain),-17000000,-34000000,-22000000,50000000,-8000000,150000000,12000000,-31000000
23,Net Income,-164000000,-359000000,-87000000,134000000,-163000000,-175000000,-112000000,-77000000
24,Net Income ratio,-0.0949,-0.1660,-0.0377,0.0607,-0.0720,-0.0822,-0.0578,-0.0348
25,EPS,-1.96,-4.30,-1.04,1.26,-1.53,-1.64,-1.05,-0.72
26,EPS Diluted,-1.96,-4.30,-1.04,1.26,-1.53,-1.64,-1.05,-0.72
27,Weighted Average Shares Outstanding,83571712,83571712,83571712,106300000,106400000,106500000,106700000,106700000
28,Weighted Average Shares Outstanding Diluted,83571712,83571712,83571712,106700000,106700000,106500000,106700000,106700000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705682/000155837018001041/0001558370-18-001041-index.html,https://www.sec.gov/Archives/edgar/data/1705682/000170568219000005/0001705682-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1705682/000170568220000006/0001705682-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1705682/000170568221000005/0001705682-21-000005-index.htm,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,22000000,30000000,238000000,165000000,55000000,220000000,156000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
