,https://roic.ai/company/VYCO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,2565,129947,199046,316450,971367,971367,1205263,1089374,1138634,1452714,1384971,1509330,1481751,1142045
2,COGS,79,13089,22482,48737,176258,176258,179530,153832,164118,184685,227134,169598,146656,132463
3,Gross Profit,2486,116858,176564,267713,795109,795109,1025733,935542,974516,1268029,1157837,1339732,1335095,1009582
4,Gross Profit Ratio,0.9692,0.8993,0.8871,0.8460,0.8185,0.8185,0.8510,0.8588,0.8559,0.8729,0.8360,0.8876,0.9010,0.8840
5,Research and Development Exp.,6969,33686,4761,15208,115665,115665,126042,53451,71512,4739,3015,- -,- -,- -
6,General and Administrative Exp.,481845,1554242,1114406,1728227,4987120,4987120,3413004,2813041,2533684,2597086,2191969,2183505,2000191,1680447
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",481845,1554242,1114406,1728227,4987120,4987120,3413004,2813041,2533684,2597086,2191969,2183505,2000191,1680447
9,Other Expenses,- -,- -,- -,56801,209973,-1234849,-322028,959648,360334,257582,275416,166386,60033,56529
10,Operating Expenses,488814,1587928,1119167,1800236,5312758,3867936,3217018,3826140,2965530,2859407,2470400,2349891,2060224,1736976
11,COGS and Expenses,488893,1601017,1141649,1848973,5599048,5599048,3999357,3370850,3129648,3044092,2697534,2827065,2206880,1869439
12,Interest Income ,- -,- -,257,7,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),107668,910225,249762,214668,127142,137931,191297,130720,47710,61046,49202,60234,68683,77814
14,Depreciation and Amortization,6969,18170,36995,56801,230306,351500,376193,382989,368963,267496,289975,177351,69438,57895
15,EBITDA,-479359,-1452900,-854626,-1687945,-4421093,-4289110,-2363816,-1930782,-1665970,-1323738,-1137868,-1141771,-658081,-686773
16,EBITDA ratio,-186.8846,-11.1807,-4.2936,-5.3340,-4.5514,-4.4155,-1.9612,-1.7724,-1.4631,-0.9112,-0.8216,-0.7565,-0.4441,-0.6014
17,Operating Income,-486328,-1471070,-942603,-1532523,-4627681,-2794094,-2281476,-2732148,-1991014,-1591378,-1312563,-1317735,-725129,-727394
18,Operating Income ratio,-189.6016,-11.3205,-4.7356,-4.8429,-4.7641,-2.8765,-1.8929,-2.5080,-1.7486,-1.0955,-0.9477,-0.8731,-0.4894,-0.6369
19,Total Other Income Expenses (Gains),- -,- -,50725,-426891,-150860,-1984447,4895209,287657,-91629,-60902,-164482,2697091,1521331,-72916
20,Income Before Tax,- -,- -,- -,-1959414,-4778541,-4778541,2613733,-2444491,-2082643,-1652280,-1477045,1379356,796202,-800310
