,https://roic.ai/company/RESN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,302000,653000,524000,735000,3160000,2178000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,1120000,2947485,3554000,6443000,10045000,14271000,18854000,19477000,22935000
6,General and Administrative Exp.,- -,1620000,2931860,5696000,8455000,9644000,11546000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1620000,2931860,5696000,8455000,9644000,11546000,12040000,12150000,15197000
9,Other Expenses,- -,20000,219736,491000,694000,- -,- -,- -,- -,- -
10,Operating Expenses,- -,2760000,6099081,9741000,15592000,19689000,25817000,30894000,31627000,38132000
11,COGS and Expenses,- -,2760000,6099081,9741000,15592000,19689000,25817000,30894000,31627000,38132000
12,Interest Income ,- -,- -,28816,27000,22000,67000,481000,253000,66000,- -
13,Interest Expense (Gain),- -,-6640000,2807862,- -,- -,- -,- -,253000,12000,15000
14,Depreciation and Amortization,- -,20000,219736,491000,694000,721000,840000,1571000,1602000,1573000
15,EBITDA,- -,-2740000,-5879345,-9250000,-14575000,-20946000,-23975000,-28103000,-26799000,-34381000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-48.2616,-32.0766,-45.7538,-38.2354,-8.4807,-15.7856
17,Operating Income,- -,-2760000,-6099081,-9741000,-15290000,-19036000,-25293000,-30159000,-28467000,-35954000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-50.6291,-29.1516,-48.2691,-41.0327,-9.0085,-16.5078
19,Total Other Income Expenses (Gains),- -,-6640000,-3630873,27000,21000,-2631000,478000,232000,54000,-15000
20,Income Before Tax,- -,-9400000,-9729954,-9714000,-15269000,-21667000,-24815000,-29927000,-28413000,-35969000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-50.5596,-33.1807,-47.3569,-40.7170,-8.9915,-16.5147
22,Income Tax expense (Gain),- -,- -,1256,1000,-22000,-14000,1000,1000,1000,1000
23,Net Income,- -,-9400000,-9731210,-9715000,-15247000,-21653000,-24816000,-29928000,-28414000,-35970000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-50.4868,-33.1593,-47.3588,-40.7184,-8.9918,-16.5152
25,EPS,- -,-1.45,-2.16,-1.36,-1.57,-0.42,-0.98,-1.02,-0.55,-0.58
26,EPS Diluted,- -,-1.45,-2.16,-1.36,-1.57,-0.42,-0.98,-1.02,-0.55,-0.58
