,https://roic.ai/company/IHG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5408795750,3642013490,5672456809,2275000000,2377000000,2204000000,805000000,883000000,1854000000,1538000000,1628000000,1768000000,1835000000,1903000000,1858000000,1803000000,1715000000,1784000000,-163000000,4337000000,2394000000,2907000000
2,COGS,- -,- -,4823549718,- -,- -,1477000000,364000000,411000000,823000000,769000000,753000000,771000000,772000000,784000000,741000000,640000000,580000000,608000000,- -,706000000,1858000000,2014000000
3,Gross Profit,- -,- -,848907091,2275000000,2377000000,727000000,441000000,472000000,1031000000,769000000,875000000,997000000,1063000000,1119000000,1117000000,1163000000,1135000000,1176000000,-163000000,3631000000,536000000,893000000
4,Gross Profit Ratio,- -,- -,0.1497,1.0000,1.0000,0.3299,0.5478,0.5345,0.5561,0.5000,0.5375,0.5639,0.5793,0.5880,0.6012,0.6450,0.6618,0.6592,1.0000,0.8372,0.2239,0.3072
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267000000,300000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,505357143,1687000000,258000000,353000000,372830937,420000000,382000000,366000000,359000000,363000000,374000000,382000000,395000000,339000000,328000000,344000000,385000000,267000000,300000000
9,Other Expenses,6486127509,2966039292,- -,- -,-1264000000,159000000,64000000,61167549,112000000,109000000,108000000,99000000,86000000,-87000000,-50000000,-790000000,87000000,92000000,66000000,95000000,94000000,87000000
10,Operating Expenses,6486127509,2966039292,- -,505357143,423000000,417000000,417000000,433998486,532000000,491000000,474000000,458000000,449000000,287000000,332000000,-395000000,426000000,420000000,410000000,480000000,361000000,387000000
11,COGS and Expenses,6486127509,2966039292,4823549718,2308000000,2088000000,1448000000,391000000,419000000,837000000,775000000,761000000,782000000,780000000,790000000,757000000,651000000,589000000,692000000,- -,706000000,2219000000,2401000000
12,Interest Income ,205135773,334305322,- -,185714286,134264232,51620896,50939441,14999527,12000000,2000000,2000000,2000000,2000000,4000000,2000000,5000000,6000000,4000000,5000000,6000000,4000000,8000000
13,Interest Expense (Gain),306965762,335778033,- -,269642857,197560227,92917613,72490743,107998198,95000000,39000000,64000000,64000000,56000000,78000000,83000000,92000000,93000000,89000000,81000000,115000000,139000000,147000000
14,Depreciation and Amortization,283353011,212070337,- -,- -,- -,130000000,64000000,-31000000,112000000,109000000,108000000,99000000,94000000,85000000,96000000,- -,- -,- -,- -,- -,172000000,192000000
15,EBITDA,3124262102,1216459014,837923081,236642857,486560227,101000000,91000000,-23000000,126000000,115000000,116000000,110000000,102000000,91000000,112000000,11000000,9000000,84000000,- -,14000000,31000000,701000000
16,EBITDA ratio,0.5776,0.3340,0.1477,0.1040,0.2047,0.0458,0.1130,-0.0260,0.0680,0.0748,0.0713,0.0622,0.0556,0.0478,0.0603,0.0061,0.0052,0.0471,- -,0.0032,0.0129,0.2411
17,Operating Income,779220779,652410827,848907091,771428571,635000000,289000000,447000000,534000015,403000000,-10000000,437000000,616000000,610000000,673000000,680000000,1499000000,678000000,763000000,566000000,630000000,-153000000,494000000
18,Operating Income ratio,0.1441,0.1791,0.1497,0.3391,0.2671,0.1311,0.5553,0.6048,0.2174,-0.0065,0.2684,0.3484,0.3324,0.3537,0.3660,0.8314,0.3953,0.4277,-3.4724,0.1453,-0.0639,0.1699
19,Total Other Income Expenses (Gains),1778335301,51544873,-10984010,-804428571,-346000000,-29000000,27000000,8000000,14000000,6000000,8000000,11000000,8000000,6000000,16000000,11000000,9000000,84000000,- -,14000000,-127000000,-133000000
20,Income Before Tax,2557556080,703955701,837923081,-33000000,289000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-280000000,361000000
21,Income Before Tax Ratio,0.4729,0.1933,0.1477,-0.0145,0.1216,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1170,0.1242
22,Income Tax expense (Gain),340909091,207652205,81595506,59000000,53000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,96000000
23,Net Income,2193034238,460958440,756327575,-92000000,236000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260000000,266000000
24,Net Income ratio,0.4055,0.1266,0.1333,-0.0404,0.0993,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1086,0.0915
25,EPS,9.51,2.00,2.65,0.15,2.94,3.42,3.72,2.19,1.40,1.14,1.56,2.44,2.71,2.01,2.09,6.86,2.15,2.95,1.94,2.10,-1.43,1.45
26,EPS Diluted,9.51,2.00,2.63,0.15,2.91,3.34,3.63,2.13,1.36,1.11,1.52,2.38,2.66,1.99,2.06,6.77,2.13,2.93,1.92,2.09,-1.43,1.45
27,Weighted Average Shares Outstanding,230622661,230622661,270752814,230163589,249694564,249854533,213201894,208968804,187396724,187078833,188071923,188724951,200806032,184713562,187220707,178124964,192829825,183350000,180500000,183000000,182000000,183000000
28,Weighted Average Shares Outstanding Diluted,230622661,230622661,272294101,230163589,252709929,255609340,218682663,214846052,193325659,193556632,193296144,193296144,204304395,186812580,189494642,180398900,194648975,184300000,182400000,184000000,182000000,183000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858446/000102123104000275/0001021231-04-000275-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697305000612/0001156973-05-000612-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697306000376/0001156973-06-000376-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697307000535/0001156973-07-000535-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697308000368/0001156973-08-000368-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000115697309000202/0001156973-09-000202-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000095012310031236/0000950123-10-031236-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000095012311034472/0000950123-11-034472-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312512138919/0001193125-12-138919-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312513126680/0001193125-13-126680-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312514069218/0001193125-14-069218-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312515064434/0001193125-15-064434-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312516490850/0001193125-16-490850-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312517066763/0001193125-17-066763-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312518066382/0001193125-18-066382-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312519055722/0001193125-19-055722-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312520052322/0001193125-20-052322-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,324000000,179000000,52000000,82000000,40000000,78000000,182000000,195000000,134000000,162000000,1137000000,206000000,168000000,704000000,195000000,1626000000,1450000000
32,Short-Term Investments,- -,- -,297000000,310000000,197000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,2000000
33,Cash and Short-Term Investments,- -,- -,297000000,310000000,197000000,324000000,179000000,52000000,82000000,40000000,78000000,182000000,195000000,134000000,162000000,1137000000,206000000,168000000,704000000,195000000,1627000000,1452000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,3000000,3000000,3000000,4000000,4000000,4000000,4000000,4000000,4000000,3000000,3000000,3000000,3000000,5000000,6000000,5000000,4000000
36,Other Current Assets,- -,- -,- -,- -,- -,380000000,273000000,298000000,458000000,375000000,384000000,392000000,461000000,448000000,459000000,466000000,569000000,668000000,667000000,715000000,611000000,610000000
37,Total Current Assets,- -,- -,297000000,310000000,197000000,707000000,455000000,353000000,544000000,419000000,466000000,578000000,660000000,586000000,624000000,1606000000,778000000,839000000,1376000000,916000000,2243000000,2066000000
38,PP&E,- -,- -,- -,- -,- -,1356000000,997000000,962000000,1684000000,1836000000,1690000000,1362000000,1056000000,1169000000,741000000,428000000,419000000,425000000,447000000,309000000,504000000,411000000
39,Goodwill,- -,- -,- -,- -,- -,118000000,109000000,110000000,143000000,82000000,92000000,92000000,93000000,80000000,74000000,- -,- -,- -,- -,- -,346000000,- -
40,Intangible Assets,- -,- -,272000000,281000000,274000000,120000000,154000000,167000000,302000000,274000000,266000000,308000000,354000000,438000000,569000000,- -,- -,- -,- -,- -,947000000,- -
41,Intangible Assets,- -,- -,272000000,281000000,274000000,411000000,516000000,556000000,445000000,356000000,358000000,400000000,447000000,518000000,643000000,1226000000,1292000000,1467000000,1143000000,1376000000,1293000000,1195000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,248000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000000,147000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-18000000,-125000000,-121000000,235000000,282000000,271000000,411000000,566000000,452000000,500000000,509000000,438000000,444000000,787000000,1356000000,805000000,649000000
45,Total Non-Current Assets,- -,- -,272000000,281000000,274000000,1749000000,1388000000,1397000000,2364000000,2474000000,2319000000,2173000000,2069000000,2139000000,1884000000,2163000000,2149000000,2336000000,2377000000,3041000000,2796000000,2650000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,569000000,591000000,471000000,2456000000,1843000000,1750000000,2908000000,2893000000,2785000000,2751000000,2729000000,2725000000,2508000000,3769000000,2927000000,3175000000,3753000000,3957000000,5039000000,4716000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,579000000
49,Short-Term Debt,- -,- -,- -,23000000,82000000,3000000,20000000,15999361,21000000,106000000,18000000,21000000,16000000,16000000,126000000,427000000,106000000,126000000,120000000,152000000,903000000,327000000
50,Tax Payable,- -,- -,- -,- -,500613779,557505678,452577340,425999809,374000000,194000000,167000000,120000000,89000000,79000000,47000000,130000000,88000000,112000000,94000000,92000000,67000000,52000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-572000000,-555000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,-797000000,-663000000,-625999361,-1162000000,-1159000000,-961000000,-881000000,-796000000,-830000000,-1069000000,-1796000000,-1240000000,-1430000000,-918000000,-962000000,884000000,718000000
53,Total Current Liabilities,- -,- -,- -,23000000,82000000,-794000000,-643000000,-610000000,-1141000000,-1053000000,-943000000,-860000000,-780000000,-814000000,-943000000,-1369000000,-1134000000,-1304000000,-1370000000,-1365000000,1867000000,1624000000
