,https://roic.ai/company/PBR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,16358000000,26955000000,24549000000,22612000000,30797000000,2487000000,920000000,685000000,87735000000,973000000,476000000,720000000,145915000000,144103000000,141462000000,143657000000,97314000000,81405000000,6904000000,-13937000000,-6359000000,53683000000,83966000000
2,COGS,8780000000,13449000000,13211000000,11941000000,15416000000,7093000000,665000000,948000000,49789000000,21130000000,16329000000,928000000,99595000000,107534000000,108254000000,109477000000,67485000000,- -,4589000000,9010000000,3856000000,29195000000,43164000000
3,Gross Profit,7578000000,13506000000,11338000000,10671000000,15381000000,-4606000000,255000000,-263000000,37946000000,-20157000000,-15853000000,-208000000,46320000000,36569000000,33208000000,34180000000,29829000000,81405000000,2315000000,-22947000000,-10215000000,24488000000,40802000000
4,Gross Profit Ratio,0.4633,0.5011,0.4619,0.4719,0.4994,-1.8520,0.2772,-0.3839,0.4325,-20.7163,-33.3046,-0.2889,0.3174,0.2538,0.2347,0.2379,0.3065,1.0000,0.3353,1.6465,1.6064,0.4562,0.4859
5,Research and Development Exp.,108000000,152000000,132000000,147000000,- -,-109000000,- -,- -,881000000,-494000000,-254000000,- -,-2630000000,1143000000,1132000000,1099000000,630000000,- -,-43000000,73000000,74000000,355000000,563000000
6,General and Administrative Exp.,- -,- -,- -,- -,2091000000,-235000000,-123000000,-154000000,6250000000,-419000000,-322000000,-155000000,185000000,7666000000,7448000000,8151000000,5140000000,- -,70000000,-324000000,-164000000,551000000,3026000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5346000000,4927000000,4904000000,6827000000,4627000000,- -,-301000000,665000000,347000000,4884000000,4229000000
8,"Selling, General and Administrative Exp.",1282000000,1927000000,1751000000,1741000000,2091000000,2901000000,4474000000,6070000000,6250000000,8270000000,7739000000,9729000000,-5161000000,12593000000,12352000000,14978000000,9767000000,10271000000,-231000000,341000000,183000000,5435000000,7255000000
9,Other Expenses,2114000000,2267000000,2024000000,2290000000,-1820000000,-2833000000,-4597000000,-6074000000,-4995000000,-7893000000,-8778000000,-9736000000,3807000000,4171000000,3736000000,4548000000,4623000000,66826000000,-301000000,665000000,347000000,1274000000,593000000
10,Operating Expenses,3504000000,4346000000,3907000000,4178000000,271000000,-41000000,-123000000,-4000000,2136000000,-117000000,-1293000000,-7000000,-3984000000,17907000000,17220000000,20625000000,15020000000,77097000000,-575000000,1079000000,604000000,7064000000,8411000000
11,COGS and Expenses,12284000000,17795000000,17118000000,16119000000,15687000000,7052000000,542000000,944000000,66294000000,21013000000,15036000000,921000000,95611000000,125441000000,125474000000,130102000000,82505000000,- -,4014000000,10089000000,4460000000,36259000000,51575000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,1427000000,1641000000,1899000000,2630000000,3943000000,2635000000,1183000000,968000000,718000000,552000000,604000000,563000000,5000000,79000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,242000000,848000000,1295000000,1643000000,1424000000,1345000000,1570000000,3134000000,5085000000,6035000000,5412000000,4206000000,6684000000,5771000000,4977000000
14,Depreciation and Amortization,1987000000,2043000000,1731000000,1951000000,- -,5198000000,10150000000,20725000000,7909000000,5928000000,7188000000,8507000000,24055000000,11119000000,13188000000,13023000000,11591000000,13965000000,13307000000,12028000000,14836000000,11445000000,11695000000
15,EBITDA,2963000000,9908000000,6611000000,5415000000,8773000000,7942000000,10744000000,21428000000,27450000000,38433000000,23071000000,11318000000,52764000000,27060000000,28430000000,7469000000,7089000000,24308000000,19006000000,15274000000,20445000000,17183000000,44786000000
16,EBITDA ratio,0.1811,0.3676,0.2693,0.2395,0.2849,3.1934,11.6783,31.2818,0.3129,39.4995,48.4685,15.7194,0.3616,0.1878,0.2010,0.0520,0.0728,0.2986,2.7529,-1.0959,-3.2151,0.3201,0.5334
17,Operating Income,4074000000,9160000000,7431000000,6493000000,-1218000000,9400000000,594000000,703000000,21441000000,31846000000,14717000000,1195000000,-3984000000,18662000000,15988000000,13555000000,14809000000,4308000000,1333000000,-2320000000,20614000000,17424000000,32391000000
18,Operating Income ratio,0.2491,0.3398,0.3027,0.2871,-0.0395,3.7797,0.6457,1.0263,0.2444,32.7297,30.9181,1.6597,-0.0273,0.1295,0.1130,0.0944,0.1522,0.0529,0.1931,0.1665,-3.2417,0.3246,0.3858
19,Total Other Income Expenses (Gains),-3098000000,-1295000000,-2639000000,-3029000000,9991000000,- -,- -,- -,-2142000000,-189000000,-129000000,-27000000,31269000000,-4169000000,-2578000000,-22379000000,-24557000000,- -,-747000000,688000000,-21689000000,-17650000000,-4166000000
20,Income Before Tax,976000000,7865000000,4792000000,3464000000,8773000000,9400000000,594000000,703000000,19299000000,31657000000,14588000000,1168000000,27285000000,14493000000,13410000000,-8824000000,-9748000000,4308000000,586000000,-1632000000,-1075000000,-226000000,28225000000
21,Income Before Tax Ratio,0.0597,0.2918,0.1952,0.1532,0.2849,3.7797,0.6457,1.0263,0.2200,32.5355,30.6471,1.6222,0.1870,0.1006,0.0948,-0.0614,-0.1002,0.0529,0.0849,0.1171,0.1691,-0.0042,0.3361
22,Income Tax expense (Gain),249000000,2523000000,1389000000,1153000000,-2663000000,-3217000000,-221000000,-305000000,- -,-10764000000,-4961000000,-306000000,- -,3562000000,2578000000,-1321000000,-1137000000,- -,- -,- -,- -,-1174000000,8239000000
23,Net Income,727000000,5342000000,3491000000,2311000000,11436000000,5961000000,815000000,1008000000,19299000000,42421000000,19549000000,1474000000,27285000000,11034000000,11094000000,-7367000000,-8450000000,4308000000,287000000,-960000000,-1075000000,1141000000,19875000000
24,Net Income ratio,0.0444,0.1982,0.1422,0.1022,0.3713,2.3969,0.8859,1.4715,0.2200,43.5982,41.0693,2.0472,0.1870,0.0766,0.0784,-0.0513,-0.0868,0.0529,0.0416,0.0689,0.1691,0.0213,0.2367
25,EPS,0.34,2.46,0.80,0.53,1.50,1.41,2.36,2.92,3.00,4.30,3.54,3.88,5.10,1.70,1.70,-1.12,-1.30,-0.74,-0.02,1.10,1.56,0.18,3.05
26,EPS Diluted,0.34,2.46,0.80,0.53,1.50,1.41,2.36,2.92,3.00,4.30,3.54,3.88,5.10,1.70,1.70,-1.12,-1.30,-0.74,-0.02,1.10,1.56,0.18,3.05
27,Weighted Average Shares Outstanding,1268336838,1268336836,4344416348,4344416348,4386151700,4386151700,4386151700,4386576816,4387038370,4387038370,4387038370,4936413032,6531960784,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522100630,6522100630
28,Weighted Average Shares Outstanding Diluted,1268336838,1268336836,4344416348,4344416348,4386151700,4386151700,4386151700,4386576816,4387038370,4387038370,4387038370,4936413032,6531960784,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522100630,6522100630
