,https://roic.ai/company/LRN,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,71434000,85310000,116902000,140556000,226235000,315573000,384470000,522434000,708407000,848220000,919553000,948294000,872700000,888519000,917734000,1015752000,1040765000,1536760000
2,COGS,39943000,- -,64828000,76064000,131282000,196976000,222029000,307111000,416999000,498398000,569219000,607756000,546510000,557316000,592495000,663437000,693232000,1001860000
3,Gross Profit,31491000,- -,52074000,64492000,94953000,118597000,162441000,215323000,291408000,349822000,350334000,340538000,326190000,331203000,325239000,352315000,347533000,534900000
4,Gross Profit Ratio,0.4408,- -,0.4455,0.4588,0.4197,0.3758,0.4225,0.4122,0.4114,0.4124,0.3810,0.3591,0.3738,0.3728,0.3544,0.3469,0.3339,0.3481
5,Research and Development Exp.,12750000,- -,8568000,8611000,9550000,9575000,9576000,16347000,25593000,21084000,14220000,14381000,10071000,12457000,9248000,9479000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,72393000,86683000,117398000,174762000,236835000,283032000,313258000,307730000,302205000,305617000,290446000,297350000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",25656000,- -,41660000,51159000,72393000,86683000,117398000,174762000,236835000,283032000,313258000,307730000,302205000,305617000,290446000,297350000,315076000,424444000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,38406000,- -,50228000,59770000,81943000,96258000,126974000,191109000,262428000,304116000,327478000,322111000,312276000,318074000,299694000,306829000,315076000,424444000
11,COGS and Expenses,78349000,- -,115056000,135834000,213225000,293234000,349003000,498220000,679427000,802514000,896697000,929867000,858786000,875390000,892189000,970266000,1008308000,1426304000
