,https://roic.ai/company/ICTSF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,29800000,53800000,64100000,134800000,147364000,212137000,279931000,71571000,62778000,57713000,60791000,64780000,98809000,95861000,98426000,105931000,102950000,125703000,172929000,187022000,255576000,297682000,345221000,333307000,248419000
2,COGS,- -,- -,53700000,118100000,131540000,189925000,214054000,57562000,57904000,53721000,55284000,52397000,85107000,83491000,85624000,94496000,90330000,110067000,152224000,167844000,222927000,254009000,311994000,290461000,196569000
3,Gross Profit,- -,- -,10400000,16700000,15824000,22212000,65877000,14009000,4874000,3992000,5507000,12383000,13702000,12370000,12802000,11435000,12620000,15636000,20705000,19178000,32649000,43673000,33227000,42846000,51850000
4,Gross Profit Ratio,- -,- -,0.1622,0.1239,0.1074,0.1047,0.2353,0.1957,0.0776,0.0692,0.0906,0.1912,0.1387,0.1290,0.1301,0.1079,0.1226,0.1244,0.1197,0.1025,0.1277,0.1467,0.0962,0.1285,0.2087
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1724000,2810000,2264000,2182000,2207000,2565000,2660000,2683000,3657000,5060000,6541000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34924000,33063000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,6800000,10100000,11768000,18091000,25636000,9216000,13212000,11690000,14878000,13338000,15341000,14313000,14211000,16100000,15019000,17089000,17316000,20406000,22142000,26920000,34924000,33063000,37239000
9,Other Expenses,- -,- -,900000,1600000,1151000,820000,9156000,14352000,15422000,- -,- -,- -,- -,- -,1455000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,7700000,11700000,12919000,18911000,34792000,23568000,28634000,11690000,14878000,13338000,15341000,14313000,17390000,18910000,17283000,19271000,19523000,22971000,24802000,29603000,38581000,38123000,43780000
11,COGS and Expenses,- -,- -,61400000,129800000,144459000,208836000,248846000,81130000,86538000,65411000,70162000,65735000,100448000,97804000,103014000,113406000,107613000,129338000,171747000,190815000,247729000,283612000,350575000,328584000,240349000
12,Interest Income ,- -,- -,1100000,- -,733000,1649000,2072000,2248000,470000,- -,327000,325000,228000,40000,10000,4000,26000,306000,104000,169000,116000,170000,- -,151000,178000
13,Interest Expense (Gain),- -,- -,500000,- -,1927000,1637000,1678000,1222000,1160000,908000,1137000,3537000,1660000,1554000,2032000,1925000,2572000,3250000,3385000,3975000,5601000,3948000,4007000,2697000,1072000
14,Depreciation and Amortization,- -,- -,900000,1600000,2001000,2105000,1481000,3417000,3618000,743000,1127000,1218000,781000,715000,720000,633000,734000,764000,761000,713000,893000,1416000,1897000,1688000,2090000
15,EBITDA,1100000,4000000,3100000,6500000,5749000,34898000,76416000,-11150000,-24368000,-20842000,-10960000,3163000,874000,4774000,-4823000,151000,-5466000,-445000,5667000,135000,9840000,13217000,-4641000,-2108000,8155000
16,EBITDA ratio,0.0369,0.0743,0.0484,0.0482,0.0390,0.1645,0.2730,-0.1558,-0.3882,-0.3611,-0.1803,0.0488,0.0088,0.0498,-0.0490,0.0014,-0.0531,-0.0035,0.0328,0.0007,0.0385,0.0444,-0.0134,-0.0063,0.0328
17,Operating Income,29800000,53800000,2700000,5000000,2905000,3301000,31085000,-9559000,-23760000,-7698000,-9371000,-955000,-1639000,-1943000,-4588000,-7475000,-4663000,-2323000,1182000,-3793000,7847000,14070000,-6917000,4723000,8070000
18,Operating Income ratio,1.0000,1.0000,0.0421,0.0371,0.0197,0.0156,0.1110,-0.1336,-0.3785,-0.1334,-0.1542,-0.0147,-0.0166,-0.0203,-0.0466,-0.0706,-0.0453,-0.0185,0.0068,-0.0203,0.0307,0.0473,-0.0200,0.0142,0.0325
19,Total Other Income Expenses (Gains),- -,- -,-1000000,- -,-1084000,27855000,42172000,431000,-3680000,-761000,527000,-3580000,-856000,-1638000,-2232000,-719000,-3113000,-3989000,448000,-760000,-4501000,-6172000,-3462000,-10427000,-2078000
20,Income Before Tax,- -,- -,1700000,5000000,1821000,31156000,73257000,-9128000,-27440000,-8459000,-8844000,-4535000,-2495000,-3581000,-6820000,-8194000,-7776000,-6312000,1630000,-4553000,3346000,7898000,-10379000,-5704000,5992000
21,Income Before Tax Ratio,- -,- -,0.0265,0.0371,0.0124,0.1469,0.2617,-0.1275,-0.4371,-0.1466,-0.1455,-0.0700,-0.0253,-0.0374,-0.0693,-0.0774,-0.0755,-0.0502,0.0094,-0.0243,0.0131,0.0265,-0.0301,-0.0171,0.0241
22,Income Tax expense (Gain),- -,- -,800000,2600000,737000,4919000,16442000,3115000,-3184000,2387000,846000,966000,402000,-418000,549000,-259000,244000,-1026000,90000,149000,1004000,2033000,685000,1549000,590000
23,Net Income,1100000,4000000,900000,2300000,1084000,26237000,56815000,-18904000,-25962000,-24880000,-14070000,-2558000,-1969000,2923000,-8124000,-2148000,-9016000,-3433000,1431000,-4702000,2342000,5820000,-11230000,-8042000,4403000
